1	Stayed	_	VBN	VBN	_	8	csubj	_	_
9	we	_	PRP	PRP	_	10	nsubj	_	_
10	got	_	VBD	VBD	_	3	parataxis	_	_
11	a	_	DT	DT	_	13	det	_	_
12	great	_	JJ	JJ	_	13	amod	_	_
13	rate	_	NN	NN	_	10	dobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	But	_	CC	CC	_	5	cc	_	_
2	the	_	DT	DT	_	3	det	_	_
3	work	_	NN	NN	_	5	nsubj	_	_
4	never	_	RB	RB	_	5	neg	_	_
5	bothered	_	VBD	VBD	_	0	root	_	_
6	us	_	PRP	PRP	_	5	dobj	_	_
7	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	room	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	great	_	JJ	JJ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	with	_	IN	IN	_	4	prep	_	_
7	the	_	DT	DT	_	9	det	_	_
8	walk-in	_	JJ	JJ	_	9	amod	_	_
9	shower	_	NN	NN	_	6	pobj	_	_
10	in	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	13	det	_	_
12	spacious	_	JJ	JJ	_	13	amod	_	_
13	bathroom	_	NN	NN	_	10	pobj	_	_
14	a	_	DT	DT	_	16	det	_	_
15	wonderful	_	JJ	JJ	_	16	amod	_	_
16	surprise	_	NN	NN	_	13	dep	_	_
17	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	would	_	MD	MD	_	4	aux	_	_
3	definately	_	RB	RB	_	4	advmod	_	_
4	stay	_	VB	VB	_	0	root	_	_
5	here	_	RB	RB	_	4	advmod	_	_
6	again	_	RB	RB	_	4	advmod	_	_
7	and	_	CC	CC	_	4	cc	_	_
8	would	_	MD	MD	_	9	aux	_	_
9	recommend	_	VB	VB	_	4	conj	_	_
10	to	_	TO	TO	_	9	prep	_	_
11	others	_	NNS	NNS	_	10	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

