1	Hey	_	UH	UH	_	6	discourse	_	_
25	right	_	RB	RB	_	26	advmod	_	_
26	down	_	RB	RB	_	24	advmod	_	_
27	to	_	TO	TO	_	26	prep	_	_
28	``	_	``	``	_	0	erased	_	_
29	would	_	MD	MD	_	30	aux	_	_
30	you	_	PRP	PRP	_	22	ccomp	_	_
31	like	_	IN	IN	_	30	prep	_	_
32	one	_	CD	CD	_	31	pobj	_	_
33	large	_	JJ	JJ	_	32	amod	_	_
34	,	_	,	,	_	0	erased	_	_
35	or	_	CC	CC	_	14	cc	_	_
36	two	_	CD	CD	_	40	num	_	_
37	small	_	JJ	JJ	_	40	amod	_	_
38	''	_	''	''	_	0	erased	_	_
39	bottled	_	JJ	JJ	_	40	amod	_	_
40	waters	_	NNS	NNS	_	14	conj	_	_
41	!	_	.	.	_	0	erased	_	_

1	Whatever	_	WDT	WDT	_	3	dobj	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	need	_	VBP	VBP	_	7	advcl	_	_
4	,	_	,	,	_	0	erased	_	_
5	they	_	PRP	PRP	_	7	nsubj	_	_
6	will	_	MD	MD	_	7	aux	_	_
7	find	_	VB	VB	_	0	root	_	_
8	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	Weber	_	NNP	NNP	_	3	nn	_	_
3	Grill	_	NNP	NNP	_	12	nsubj	_	_
4	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
5	in	_	IN	IN	_	3	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	building	_	NN	NN	_	5	pobj	_	_
8	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
9	is	_	VBZ	VBZ	_	12	cop	_	_
10	a	_	DT	DT	_	12	det	_	_
11	fun	_	NN	NN	_	12	nn	_	_
12	hang-out	_	NN	NN	_	0	root	_	_
13	,	_	,	,	_	0	erased	_	_
14	sports	_	NNS	NNS	_	12	appos	_	_
15	oriented	_	JJ	JJ	_	16	dep	_	_
16	bar	_	NN	NN	_	14	rcmod	_	_
17	with	_	IN	IN	_	16	prep	_	_
18	giant	_	JJ	JJ	_	19	amod	_	_
19	grills	_	NNS	NNS	_	17	pobj	_	_
20	so	_	IN	IN	_	23	mark	_	_
21	you	_	PRP	PRP	_	23	nsubj	_	_
22	can	_	MD	MD	_	23	aux	_	_
23	watch	_	VB	VB	_	16	dep	_	_
24	your	_	PRP$	PRP$	_	25	poss	_	_
25	steak	_	NN	NN	_	23	dobj	_	_
26	being	_	VBG	VBG	_	27	auxpass	_	_
27	cooked	_	VBN	VBN	_	25	vmod	_	_
28	.	_	.	.	_	0	erased	_	_

1	Believe	_	VB	VB	_	8	ccomp	_	_
2	me	_	PRP	PRP	_	1	dobj	_	_
3	,	_	,	,	_	0	erased	_	_
4	you	_	PRP	PRP	_	8	nsubj	_	_
5	wo	_	MD	MD	_	8	aux	_	_
6	n't	_	RB	RB	_	8	neg	_	_
7	be	_	VB	VB	_	8	cop	_	_
8	disappointed	_	JJ	JJ	_	0	root	_	_
9	.	_	.	.	_	0	erased	_	_

1	Ask	_	VB	VB	_	0	root	_	_
2	about	_	IN	IN	_	1	prep	_	_
3	special	_	JJ	JJ	_	4	amod	_	_
4	rates	_	NNS	NNS	_	2	pobj	_	_
5	,	_	,	,	_	0	erased	_	_
6	and	_	CC	CC	_	4	cc	_	_
7	``	_	``	``	_	0	erased	_	_
8	The	_	DT	DT	_	10	det	_	_
9	parking	_	NN	NN	_	10	nn	_	_
10	package	_	NN	NN	_	4	conj	_	_
11	''	_	''	''	_	0	erased	_	_
12	.	_	.	.	_	0	erased	_	_

1	Happy	_	JJ	JJ	_	2	amod	_	_
2	Travels	_	NNS	NNS	_	0	root	_	_
3	!	_	.	.	_	0	erased	_	_

