1	Wow	_	UH	UH	_	3	discourse	_	_
15	stay	_	NN	NN	_	16	nn	_	_
16	parking	_	NN	NN	_	13	pobj	_	_
17	,	_	,	,	_	0	erased	_	_
18	we	_	PRP	PRP	_	19	nsubj	_	_
19	decided	_	VBD	VBD	_	0	root	_	_
20	to	_	TO	TO	_	21	aux	_	_
21	give	_	VB	VB	_	19	xcomp	_	_
22	Midway	_	NNP	NNP	_	24	nn	_	_
23	Park	_	NNP	NNP	_	24	nn	_	_
24	Ride	_	NNP	NNP	_	21	iobj	_	_
25	&	_	CC	CC	_	24	cc	_	_
26	Fly	_	NNP	NNP	_	24	conj	_	_
27	a	_	DT	DT	_	28	det	_	_
28	go	_	NN	NN	_	21	dobj	_	_
29	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	4	nsubj	_	_
2	were	_	VBD	VBD	_	4	cop	_	_
3	so	_	RB	RB	_	4	advmod	_	_
4	impressed	_	JJ	JJ	_	0	root	_	_
5	with	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	service	_	NN	NN	_	5	pobj	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	the	_	DT	DT	_	10	det	_	_
10	ease	_	NN	NN	_	7	conj	_	_
11	of	_	IN	IN	_	10	prep	_	_
12	getting	_	VBG	VBG	_	11	pcomp	_	_
13	to	_	TO	TO	_	12	prep	_	_
14	and	_	CC	CC	_	13	cc	_	_
15	from	_	IN	IN	_	13	conj	_	_
16	the	_	DT	DT	_	17	det	_	_
17	airport	_	NN	NN	_	13	pobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	a	_	DT	DT	_	4	det	_	_
4	breeze	_	NN	NN	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	When	_	WRB	WRB	_	3	advmod	_	_
2	we	_	PRP	PRP	_	3	nsubj	_	_
3	arrived	_	VBD	VBD	_	9	advcl	_	_
4	back	_	RB	RB	_	3	advmod	_	_
5	at	_	IN	IN	_	3	prep	_	_
6	Midway	_	NNP	NNP	_	5	pobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	we	_	PRP	PRP	_	9	nsubj	_	_
9	placed	_	VBD	VBD	_	0	root	_	_
10	a	_	DT	DT	_	11	det	_	_
11	call	_	NN	NN	_	9	dobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	got	_	VBD	VBD	_	9	conj	_	_
14	our	_	PRP$	PRP$	_	15	poss	_	_
15	luggage	_	NN	NN	_	13	dobj	_	_
16	,	_	,	,	_	0	erased	_	_
17	walked	_	VBD	VBD	_	9	conj	_	_
18	out	_	RP	RP	_	17	prt	_	_
19	the	_	DT	DT	_	20	det	_	_
20	door	_	NN	NN	_	17	dobj	_	_
21	and	_	CC	CC	_	9	cc	_	_
22	immediately	_	RB	RB	_	23	advmod	_	_
23	got	_	VBD	VBD	_	9	conj	_	_
24	on	_	IN	IN	_	23	prep	_	_
25	the	_	DT	DT	_	26	det	_	_
26	shuttle	_	NN	NN	_	24	pobj	_	_
27	.	_	.	.	_	0	erased	_	_

1	Our	_	PRP$	PRP$	_	2	poss	_	_
2	vehicle	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	aux	_	_
4	waiting	_	VBG	VBG	_	0	root	_	_
5	for	_	IN	IN	_	4	prep	_	_
6	us	_	PRP	PRP	_	5	pobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	in	_	IN	IN	_	4	prep	_	_
9	the	_	DT	DT	_	11	det	_	_
10	same	_	JJ	JJ	_	11	amod	_	_
11	condition	_	NN	NN	_	8	pobj	_	_
12	it	_	PRP	PRP	_	14	nsubjpass	_	_
13	was	_	VBD	VBD	_	14	auxpass	_	_
14	left	_	VBN	VBN	_	11	rcmod	_	_
15	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	driver	_	NN	NN	_	3	nsubj	_	_
3	pulled	_	VBD	VBD	_	0	root	_	_
4	right	_	RB	RB	_	5	advmod	_	_
5	up	_	RB	RB	_	3	advmod	_	_
6	to	_	TO	TO	_	3	prep	_	_
7	our	_	PRP$	PRP$	_	8	poss	_	_
8	spot	_	NN	NN	_	6	pobj	_	_
9	and	_	CC	CC	_	3	cc	_	_
10	unloaded	_	JJ	JJ	_	3	conj	_	_
11	our	_	PRP$	PRP$	_	12	poss	_	_
12	luggage	_	NN	NN	_	10	dobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	were	_	VBD	VBD	_	0	root	_	_
3	out	_	IN	IN	_	2	advmod	_	_
4	of	_	IN	IN	_	3	prep	_	_
5	the	_	DT	DT	_	6	det	_	_
6	lot	_	NN	NN	_	4	pobj	_	_
7	in	_	IN	IN	_	6	prep	_	_
8	a	_	DT	DT	_	9	det	_	_
9	matter	_	NN	NN	_	7	pobj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	minutes	_	NNS	NNS	_	10	pobj	_	_
12	and	_	CC	CC	_	7	cc	_	_
13	on	_	IN	IN	_	7	conj	_	_
14	our	_	PRP$	PRP$	_	15	poss	_	_
15	way	_	NN	NN	_	13	pobj	_	_
16	back	_	RB	RB	_	4	advmod	_	_
17	to	_	TO	TO	_	2	prep	_	_
18	Indiana	_	NNP	NNP	_	17	pobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	4	nsubj	_	_
2	will	_	MD	MD	_	4	aux	_	_
3	certainly	_	RB	RB	_	4	advmod	_	_
4	use	_	VB	VB	_	0	root	_	_
5	this	_	DT	DT	_	6	det	_	_
6	option	_	NN	NN	_	4	dobj	_	_
7	in	_	IN	IN	_	4	prep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	future	_	NN	NN	_	7	pobj	_	_
10	when	_	WRB	WRB	_	11	advmod	_	_
11	flying	_	VBG	VBG	_	4	advcl	_	_
12	out	_	RP	RP	_	11	prt	_	_
13	of	_	IN	IN	_	11	prep	_	_
14	Midway	_	NNP	NNP	_	13	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

