1	Hello	_	UH	UH	_	2	discourse	_	_
29	make	_	VB	VB	_	22	dep	_	_
30	me	_	PRP	PRP	_	31	nsubj	_	_
31	aware	_	JJ	JJ	_	29	xcomp	_	_
32	of	_	IN	IN	_	31	prep	_	_
33	that	_	DT	DT	_	32	pobj	_	_
34	,	_	,	,	_	0	erased	_	_
35	just	_	RB	RB	_	33	advmod	_	_
36	an	_	DT	DT	_	37	det	_	_
37	FYI	_	NNP	NNP	_	33	dep	_	_
38	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	root	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	leave	_	VB	VB	_	2	xcomp	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	go	_	VB	VB	_	4	conj	_	_
7	to	_	TO	TO	_	4	prep	_	_
8	the	_	DT	DT	_	11	det	_	_
9	local	_	JJ	JJ	_	11	amod	_	_
10	gas	_	NN	NN	_	11	nn	_	_
11	station	_	NN	NN	_	7	pobj	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	get	_	VB	VB	_	2	xcomp	_	_
14	the	_	DT	DT	_	15	det	_	_
15	items	_	NNS	NNS	_	13	dobj	_	_
16	I	_	PRP	PRP	_	19	nsubj	_	_
17	did	_	VBD	VBD	_	19	aux	_	_
18	n't	_	RB	RB	_	19	neg	_	_
19	have	_	VB	VB	_	15	rcmod	_	_
20	with	_	IN	IN	_	19	prep	_	_
21	me	_	PRP	PRP	_	20	pobj	_	_
22	.	_	.	.	_	0	erased	_	_

1	Good	_	JJ	JJ	_	0	root	_	_
2	to	_	TO	TO	_	3	aux	_	_
3	know	_	VB	VB	_	1	dep	_	_
4	.	_	.	.	_	0	erased	_	_

1	HOWEVER	_	NNP	NNP	_	10	nsubj	_	_
2	,	_	,	,	_	0	erased	_	_
3	as	_	RB	RB	_	4	advmod	_	_
4	far	_	RB	RB	_	10	advmod	_	_
5	as	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	parking	_	NN	NN	_	5	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	I	_	PRP	PRP	_	10	nsubj	_	_
10	think	_	VBP	VBP	_	0	root	_	_
11	you	_	PRP	PRP	_	13	nsubj	_	_
12	are	_	VBP	VBP	_	13	aux	_	_
13	missing	_	VBG	VBG	_	10	ccomp	_	_
14	my	_	PRP$	PRP$	_	15	poss	_	_
15	point	_	NN	NN	_	13	dobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	3	nsubj	_	_
2	are	_	VBP	VBP	_	3	aux	_	_
3	using	_	VBG	VBG	_	21	dep	_	_
4	``	_	``	``	_	0	erased	_	_
5	downtown	_	JJ	JJ	_	7	amod	_	_
6	''	_	''	''	_	0	erased	_	_
7	hotels	_	NNS	NNS	_	3	dobj	_	_
8	as	_	IN	IN	_	7	prep	_	_
9	justification	_	NN	NN	_	8	pobj	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	validate	_	VB	VB	_	3	vmod	_	_
12	your	_	PRP$	PRP$	_	14	poss	_	_
13	pricing	_	NN	NN	_	14	nn	_	_
14	model	_	NN	NN	_	11	dobj	_	_
15	however	_	RB	RB	_	11	advmod	_	_
16	you	_	PRP	PRP	_	21	nsubj	_	_
17	are	_	VBP	VBP	_	21	cop	_	_
18	NOT	_	RB	RB	_	21	neg	_	_
19	a	_	DT	DT	_	21	det	_	_
20	downtown	_	JJ	JJ	_	21	amod	_	_
21	location	_	NN	NN	_	0	root	_	_
22	.	_	.	.	_	0	erased	_	_

1	Matter-of-fact	_	NN	NN	_	12	nsubj	_	_
2	,	_	,	,	_	0	erased	_	_
3	the	_	DT	DT	_	5	det	_	_
4	only	_	JJ	JJ	_	5	amod	_	_
5	advantage	_	NN	NN	_	1	appos	_	_
6	your	_	PRP$	PRP$	_	7	poss	_	_
7	hotel	_	NN	NN	_	5	dep	_	_
8	has	_	VBZ	VBZ	_	12	aux	_	_
9	is	_	VBZ	VBZ	_	12	cop	_	_
10	it	_	PRP	PRP	_	12	poss	_	_
11	's	_	POS	POS	_	10	possessive	_	_
12	convenience	_	NN	NN	_	0	root	_	_
13	to	_	TO	TO	_	12	prep	_	_
14	McCormick	_	NNP	NNP	_	15	nn	_	_
15	Place	_	NNP	NNP	_	13	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	are	_	VBP	VBP	_	0	root	_	_
3	on	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	Southside	_	NN	NN	_	3	pobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	Chicago	_	NNP	NNP	_	6	pobj	_	_
8	in	_	IN	IN	_	2	prep	_	_
9	a	_	DT	DT	_	13	det	_	_
10	less	_	RBR	RBR	_	12	advmod	_	_
11	than	_	IN	IN	_	12	dep	_	_
12	desirable	_	JJ	JJ	_	13	amod	_	_
13	area	_	NN	NN	_	8	pobj	_	_
14	,	_	,	,	_	0	erased	_	_
15	requiring	_	VBG	VBG	_	13	vmod	_	_
16	a	_	DT	DT	_	18	det	_	_
17	rental	_	JJ	JJ	_	18	amod	_	_
18	car	_	NN	NN	_	15	dobj	_	_
19	,	_	,	,	_	0	erased	_	_
20	because	_	IN	IN	_	15	prep	_	_
21	,	_	,	,	_	0	erased	_	_
22	if	_	IN	IN	_	24	mark	_	_
23	you	_	PRP	PRP	_	24	nsubj	_	_
24	walk	_	VBP	VBP	_	13	rcmod	_	_
25	immediately	_	RB	RB	_	24	advmod	_	_
26	,	_	,	,	_	0	erased	_	_
27	North	_	JJ	JJ	_	43	dep	_	_
28	,	_	,	,	_	0	erased	_	_
29	South	_	JJ	JJ	_	27	conj	_	_
30	or	_	CC	CC	_	27	cc	_	_
31	West	_	JJ	JJ	_	27	conj	_	_
32	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
33	no	_	RB	RB	_	34	neg	_	_
34	east	_	JJ	JJ	_	35	dep	_	_
35	due	_	JJ	JJ	_	43	dep	_	_
36	to	_	TO	TO	_	35	prep	_	_
37	lake	_	NNP	NNP	_	38	nn	_	_
38	Michigan	_	NNP	NNP	_	36	pobj	_	_
39	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
40	you	_	PRP	PRP	_	43	nsubj	_	_
41	would	_	MD	MD	_	43	aux	_	_
42	be	_	VB	VB	_	43	aux	_	_
43	walking	_	VBG	VBG	_	24	dep	_	_
44	into	_	IN	IN	_	43	prep	_	_
45	a	_	DT	DT	_	48	det	_	_
46	HIGH	_	NNP	NNP	_	48	nn	_	_
47	crime	_	NN	NN	_	48	nn	_	_
48	situation	_	NN	NN	_	44	pobj	_	_
49	.	_	.	.	_	0	erased	_	_

1	So	_	RB	RB	_	14	advmod	_	_
2	to	_	TO	TO	_	3	aux	_	_
3	rationalize	_	VB	VB	_	14	csubj	_	_
4	your	_	PRP$	PRP$	_	5	poss	_	_
5	pricing	_	NN	NN	_	3	dobj	_	_
6	with	_	IN	IN	_	3	prep	_	_
7	``	_	``	``	_	0	erased	_	_
8	Downtown	_	NN	NN	_	10	nn	_	_
9	''	_	''	''	_	0	erased	_	_
10	locations	_	NNS	NNS	_	6	pobj	_	_
11	as	_	IN	IN	_	10	prep	_	_
12	vindication	_	NN	NN	_	11	pobj	_	_
13	only	_	RB	RB	_	14	advmod	_	_
14	proves	_	VBZ	VBZ	_	0	root	_	_
15	my	_	PRP$	PRP$	_	16	poss	_	_
16	point	_	NN	NN	_	14	dobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	3	mark	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	want	_	VBP	VBP	_	17	advcl	_	_
4	to	_	TO	TO	_	6	aux	_	_
5	truly	_	RB	RB	_	6	advmod	_	_
6	compare	_	VB	VB	_	3	xcomp	_	_
7	rates	_	NNS	NNS	_	6	dobj	_	_
8	&	_	CC	CC	_	7	cc	_	_
9	amenity	_	JJ	JJ	_	10	amod	_	_
10	costs	_	NNS	NNS	_	7	conj	_	_
11	based	_	VBN	VBN	_	10	vmod	_	_
12	on	_	IN	IN	_	11	prep	_	_
13	comparable	_	JJ	JJ	_	14	amod	_	_
14	locations	_	NNS	NNS	_	12	pobj	_	_
15	you	_	PRP	PRP	_	17	nsubj	_	_
16	would	_	MD	MD	_	17	aux	_	_
17	need	_	VB	VB	_	0	root	_	_
18	to	_	TO	TO	_	19	aux	_	_
19	analyze	_	VB	VB	_	17	xcomp	_	_
20	hotels/motels	_	NNS	NNS	_	19	dobj	_	_
21	from	_	IN	IN	_	19	prep	_	_
22	22nd	_	JJ	JJ	_	23	amod	_	_
23	street	_	NN	NN	_	21	pobj	_	_
24	south	_	RB	RB	_	23	advmod	_	_
25	to	_	TO	TO	_	24	prep	_	_
26	35th	_	JJ	JJ	_	27	amod	_	_
27	street	_	NN	NN	_	25	pobj	_	_
28	from	_	IN	IN	_	19	prep	_	_
29	Lake	_	NNP	NNP	_	30	nn	_	_
30	Shore	_	NNP	NNP	_	28	pobj	_	_
31	to	_	TO	TO	_	30	prep	_	_
32	Halsted	_	NNP	NNP	_	31	pobj	_	_
33	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	promise	_	VBP	VBP	_	0	root	_	_
3	you	_	PRP	PRP	_	13	nsubj	_	_
4	,	_	,	,	_	0	erased	_	_
5	if	_	IN	IN	_	7	mark	_	_
6	you	_	PRP	PRP	_	7	nsubj	_	_
7	do	_	VBP	VBP	_	13	advcl	_	_
8	so	_	RB	RB	_	7	advmod	_	_
9	,	_	,	,	_	0	erased	_	_
10	you	_	PRP	PRP	_	13	nsubj	_	_
11	will	_	MD	MD	_	13	aux	_	_
12	completely	_	RB	RB	_	13	advmod	_	_
13	understand	_	VB	VB	_	2	ccomp	_	_
14	why	_	WRB	WRB	_	16	advmod	_	_
15	I	_	PRP	PRP	_	16	nsubj	_	_
16	say	_	VBP	VBP	_	13	ccomp	_	_
17	your	_	PRP$	PRP$	_	18	poss	_	_
18	pricing	_	NN	NN	_	23	nsubj	_	_
19	for	_	IN	IN	_	18	prep	_	_
20	hotel	_	NN	NN	_	21	nn	_	_
21	parking	_	NN	NN	_	19	pobj	_	_
22	is	_	VBZ	VBZ	_	23	cop	_	_
23	WAY	_	NNP	NNP	_	16	ccomp	_	_
24	off	_	IN	IN	_	23	prep	_	_
25	base	_	NN	NN	_	24	pobj	_	_
26	and	_	CC	CC	_	16	cc	_	_
27	that	_	IN	IN	_	38	mark	_	_
28	taking	_	VBG	VBG	_	38	csubj	_	_
29	advantage	_	NN	NN	_	30	nn	_	_
30	/	_	NNS	NNS	_	28	dobj	_	_
31	over	_	IN	IN	_	28	prep	_	_
32	leveraging	_	VBG	VBG	_	31	pcomp	_	_
33	amenities	_	NNS	NNS	_	32	dobj	_	_
34	like	_	IN	IN	_	32	prep	_	_
35	parking	_	NN	NN	_	34	pobj	_	_
36	are	_	VBP	VBP	_	38	cop	_	_
37	solely	_	RB	RB	_	38	advmod	_	_
38	due	_	JJ	JJ	_	16	conj	_	_
39	to	_	TO	TO	_	38	prep	_	_
40	your	_	PRP$	PRP$	_	41	poss	_	_
41	vicinity	_	NN	NN	_	39	pobj	_	_
42	to	_	TO	TO	_	38	prep	_	_
43	McCormick	_	NNP	NNP	_	44	nn	_	_
44	Place	_	NNP	NNP	_	42	pobj	_	_
45	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	have	_	VBP	VBP	_	0	root	_	_
3	no	_	DT	DT	_	4	neg	_	_
4	competitors	_	NNS	NNS	_	6	nsubj	_	_
5	this	_	RB	RB	_	6	advmod	_	_
6	local	_	JJ	JJ	_	2	xcomp	_	_
7	to	_	TO	TO	_	6	prep	_	_
8	McCormick	_	NNP	NNP	_	9	nn	_	_
9	Place	_	NNP	NNP	_	7	pobj	_	_
10	which	_	WDT	WDT	_	11	nsubj	_	_
11	allows	_	VBZ	VBZ	_	9	rcmod	_	_
12	your	_	PRP$	PRP$	_	13	poss	_	_
13	hotel	_	NN	NN	_	11	dobj	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	exploit	_	VB	VB	_	13	vmod	_	_
16	and	_	CC	CC	_	15	cc	_	_
17	profit	_	VB	VB	_	15	conj	_	_
18	from	_	IN	IN	_	15	prep	_	_
19	items	_	NNS	NNS	_	18	pobj	_	_
20	such	_	JJ	JJ	_	21	mwe	_	_
21	as	_	IN	IN	_	19	prep	_	_
22	these	_	DT	DT	_	21	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	am	_	VBP	VBP	_	4	aux	_	_
3	merely	_	RB	RB	_	4	advmod	_	_
4	saying	_	VBG	VBG	_	0	root	_	_
5	that	_	IN	IN	_	14	mark	_	_
6	your	_	PRP$	PRP$	_	8	poss	_	_
7	profit	_	NN	NN	_	8	nn	_	_
8	margin	_	NN	NN	_	14	nsubjpass	_	_
9	from	_	IN	IN	_	8	prep	_	_
10	this	_	DT	DT	_	11	det	_	_
11	item	_	NN	NN	_	9	pobj	_	_
12	has	_	VBZ	VBZ	_	14	aux	_	_
13	been	_	VBN	VBN	_	14	auxpass	_	_
14	taken	_	VBN	VBN	_	4	ccomp	_	_
15	way	_	RB	RB	_	17	advmod	_	_
16	too	_	RB	RB	_	17	advmod	_	_
17	far	_	RB	RB	_	14	advmod	_	_
18	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	hope	_	VBP	VBP	_	0	root	_	_
3	you	_	PRP	PRP	_	4	nsubj	_	_
4	decide	_	VBP	VBP	_	2	ccomp	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	change	_	VB	VB	_	4	xcomp	_	_
7	those	_	DT	DT	_	8	det	_	_
8	items	_	NNS	NNS	_	6	dobj	_	_
9	because	_	IN	IN	_	12	mark	_	_
10	it	_	PRP	PRP	_	12	nsubj	_	_
11	will	_	MD	MD	_	12	aux	_	_
12	make	_	VB	VB	_	6	advcl	_	_
13	for	_	IN	IN	_	12	prep	_	_
14	happier	_	NNP	NNP	_	13	pobj	_	_
15	,	_	,	,	_	0	erased	_	_
16	return	_	NN	NN	_	17	nn	_	_
17	customers	_	NNS	NNS	_	14	appos	_	_
18	.	_	.	.	_	0	erased	_	_

1	As	_	IN	IN	_	3	mark	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
3	said	_	VBD	VBD	_	8	advcl	_	_
4	,	_	,	,	_	0	erased	_	_
5	everything	_	NN	NN	_	8	nsubj	_	_
6	else	_	RB	RB	_	5	advmod	_	_
7	was	_	VBD	VBD	_	8	cop	_	_
8	great	_	JJ	JJ	_	0	root	_	_
9	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	wonderful	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	Good	_	JJ	JJ	_	0	root	_	_
2	luck	_	NN	NN	_	1	dep	_	_
3	.	_	.	.	_	0	erased	_	_

1	Jason	_	NNP	NNP	_	2	nn	_	_
2	Gobeyn	_	NNP	NNP	_	0	root	_	_

