1	My	_	PRP$	PRP$	_	2	poss	_	_
19	there	_	EX	EX	_	20	expl	_	_
20	was	_	VBD	VBD	_	16	ccomp	_	_
21	nothing	_	NN	NN	_	20	nsubj	_	_
22	they	_	PRP	PRP	_	24	nsubj	_	_
23	could	_	MD	MD	_	24	aux	_	_
24	do	_	VB	VB	_	21	rcmod	_	_
25	about	_	IN	IN	_	24	prep	_	_
26	ice	_	NN	NN	_	25	pobj	_	_
27	being	_	VBG	VBG	_	28	cop	_	_
28	out	_	IN	IN	_	4	dep	_	_
29	on	_	IN	IN	_	28	prep	_	_
30	two	_	CD	CD	_	31	num	_	_
31	floors	_	NNS	NNS	_	29	pobj	_	_
32	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	beds	_	NNS	NNS	_	5	nsubj	_	_
3	were	_	VBD	VBD	_	5	cop	_	_
4	super	_	RB	RB	_	5	advmod	_	_
5	comfortable	_	JJ	JJ	_	0	root	_	_
6	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	think	_	VBP	VBP	_	0	root	_	_
3	that	_	IN	IN	_	10	mark	_	_
4	this	_	DT	DT	_	10	nsubj	_	_
5	is	_	VBZ	VBZ	_	10	cop	_	_
6	probably	_	RB	RB	_	10	advmod	_	_
7	a	_	DT	DT	_	10	det	_	_
8	nice	_	JJ	JJ	_	10	amod	_	_
9	business	_	NN	NN	_	10	nn	_	_
10	hotel	_	NN	NN	_	2	ccomp	_	_
11	with	_	IN	IN	_	10	prep	_	_
12	top	_	NN	NN	_	11	pobj	_	_
13	of	_	IN	IN	_	12	prep	_	_
14	the	_	DT	DT	_	16	det	_	_
15	line	_	NN	NN	_	16	nn	_	_
16	conference	_	NN	NN	_	13	pobj	_	_
17	and	_	CC	CC	_	16	cc	_	_
18	meeting	_	NN	NN	_	19	nn	_	_
19	facilities	_	NNS	NNS	_	16	conj	_	_
20	but	_	CC	CC	_	2	cc	_	_
21	for	_	IN	IN	_	27	prep	_	_
22	couples	_	NNS	NNS	_	21	pobj	_	_
23	or	_	CC	CC	_	22	cc	_	_
24	families	_	NNS	NNS	_	22	conj	_	_
25	you	_	PRP	PRP	_	27	nsubj	_	_
26	can	_	MD	MD	_	27	aux	_	_
27	do	_	VB	VB	_	2	conj	_	_
28	MUCH	_	NNS	NNS	_	27	dobj	_	_
29	better	_	RBR	RBR	_	27	advmod	_	_
30	in	_	IN	IN	_	27	prep	_	_
31	downtown	_	JJ	JJ	_	32	amod	_	_
32	Chicago	_	NNP	NNP	_	30	pobj	_	_
33	.	_	.	.	_	0	erased	_	_

