1	Wow	_	UH	UH	_	6	discourse	_	_
12	were	_	VBD	VBD	_	13	auxpass	_	_
13	made	_	VBN	VBN	_	6	dep	_	_
14	of	_	IN	IN	_	13	prep	_	_
15	and	_	CC	CC	_	13	cc	_	_
16	how	_	WRB	WRB	_	19	advmod	_	_
17	they	_	PRP	PRP	_	19	nsubjpass	_	_
18	were	_	VBD	VBD	_	19	auxpass	_	_
19	prepared	_	VBN	VBN	_	13	conj	_	_
20	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	5	nsubj	_	_
2	's	_	VBZ	VBZ	_	5	cop	_	_
3	an	_	DT	DT	_	5	det	_	_
4	excellent	_	JJ	JJ	_	5	amod	_	_
5	chance	_	NN	NN	_	0	root	_	_
6	to	_	TO	TO	_	7	aux	_	_
7	find	_	VB	VB	_	5	vmod	_	_
8	out	_	RP	RP	_	7	prt	_	_
9	what	_	WP	WP	_	11	dobj	_	_
10	you	_	PRP	PRP	_	11	nsubj	_	_
11	like	_	VBP	VBP	_	7	ccomp	_	_
12	,	_	,	,	_	0	erased	_	_
13	so	_	IN	IN	_	5	dep	_	_
14	when	_	WRB	WRB	_	16	advmod	_	_
15	you	_	PRP	PRP	_	16	nsubj	_	_
16	go	_	VBP	VBP	_	25	advcl	_	_
17	to	_	TO	TO	_	16	prep	_	_
18	any	_	DT	DT	_	17	pobj	_	_
19	of	_	IN	IN	_	18	prep	_	_
20	the	_	DT	DT	_	21	det	_	_
21	restaurant	_	NN	NN	_	19	pobj	_	_
22	you	_	PRP	PRP	_	25	nsubj	_	_
23	'll	_	MD	MD	_	25	aux	_	_
24	be	_	VB	VB	_	25	cop	_	_
25	able	_	JJ	JJ	_	5	parataxis	_	_
26	to	_	TO	TO	_	27	aux	_	_
27	order	_	VB	VB	_	25	xcomp	_	_
28	like	_	IN	IN	_	32	mark	_	_
29	you	_	PRP	PRP	_	32	nsubj	_	_
30	've	_	VBP	VBP	_	32	aux	_	_
31	been	_	VBN	VBN	_	32	aux	_	_
32	eating	_	VBG	VBG	_	27	advcl	_	_
33	for	_	IN	IN	_	32	prep	_	_
34	a	_	DT	DT	_	36	det	_	_
35	long	_	JJ	JJ	_	36	amod	_	_
36	time	_	NN	NN	_	33	pobj	_	_
37	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
2	also	_	RB	RB	_	3	advmod	_	_
3	visited	_	VBD	VBD	_	0	root	_	_
4	a	_	DT	DT	_	5	det	_	_
5	temple	_	NN	NN	_	3	dobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	which	_	WDT	WDT	_	10	dobj	_	_
8	I	_	PRP	PRP	_	10	nsubj	_	_
9	had	_	VBD	VBD	_	10	aux	_	_
10	walked	_	VBN	VBN	_	5	rcmod	_	_
11	by	_	IN	IN	_	10	prep	_	_
12	many	_	JJ	JJ	_	13	quantmod	_	_
13	times	_	NNS	NNS	_	11	pobj	_	_
14	without	_	IN	IN	_	10	prep	_	_
15	realizing	_	VBG	VBG	_	14	pcomp	_	_
16	what	_	WP	WP	_	18	dobj	_	_
17	it	_	PRP	PRP	_	18	nsubj	_	_
18	was	_	VBD	VBD	_	15	ccomp	_	_
19	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	've	_	VBP	VBP	_	4	aux	_	_
3	never	_	RB	RB	_	4	neg	_	_
4	been	_	VBN	VBN	_	0	root	_	_
5	inside	_	IN	IN	_	4	prep	_	_
6	one	_	CD	CD	_	5	pobj	_	_
7	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	are	_	VBP	VBP	_	0	root	_	_
3	rule	_	NN	NN	_	2	nsubj	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	follow	_	VB	VB	_	3	vmod	_	_
6	!	_	.	.	_	0	erased	_	_

1	No	_	DT	DT	_	2	neg	_	_
2	shoes	_	NNS	NNS	_	7	nsubjpass	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	hair	_	NN	NN	_	2	conj	_	_
5	must	_	MD	MD	_	7	aux	_	_
6	be	_	VB	VB	_	7	auxpass	_	_
7	covered	_	VBN	VBN	_	0	root	_	_
8	.	_	.	.	_	0	erased	_	_

1	Unfortunately	_	RB	RB	_	6	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	the	_	DT	DT	_	4	det	_	_
4	service	_	NN	NN	_	6	nsubj	_	_
5	had	_	VBD	VBD	_	6	aux	_	_
6	ended	_	VBN	VBN	_	0	root	_	_
7	before	_	IN	IN	_	9	mark	_	_
8	we	_	PRP	PRP	_	9	nsubj	_	_
9	arrived	_	VBD	VBD	_	6	advcl	_	_
10	.	_	.	.	_	0	erased	_	_

1	Also	_	RB	RB	_	2	advmod	_	_
2	on	_	IN	IN	_	8	prep	_	_
3	the	_	DT	DT	_	4	det	_	_
4	tour	_	NN	NN	_	2	pobj	_	_
5	,	_	,	,	_	0	erased	_	_
6	you	_	PRP	PRP	_	8	nsubj	_	_
7	'll	_	MD	MD	_	8	aux	_	_
8	stop	_	VB	VB	_	0	root	_	_
9	in	_	IN	IN	_	8	prep	_	_
10	a	_	DT	DT	_	13	det	_	_
11	few	_	JJ	JJ	_	13	amod	_	_
12	clothing	_	NN	NN	_	13	nn	_	_
13	stores	_	NNS	NNS	_	9	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	Do	_	VB	VB	_	3	aux	_	_
2	n't	_	RB	RB	_	3	neg	_	_
3	expect	_	VB	VB	_	0	root	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	find	_	VB	VB	_	3	xcomp	_	_
6	blue	_	JJ	JJ	_	7	amod	_	_
7	jeans	_	NNS	NNS	_	5	dobj	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	tennis	_	NN	NN	_	10	nn	_	_
10	shoes	_	NNS	NNS	_	7	conj	_	_
11	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	3	nsubj	_	_
2	'll	_	MD	MD	_	3	aux	_	_
3	learn	_	VB	VB	_	0	root	_	_
4	about	_	IN	IN	_	3	prep	_	_
5	traditional	_	JJ	JJ	_	7	amod	_	_
6	Indian/Pakistani	_	NNP	NNP	_	7	nn	_	_
7	clothing	_	NN	NN	_	4	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	One	_	CD	CD	_	9	nsubjpass	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	the	_	DT	DT	_	4	det	_	_
4	women	_	NNS	NNS	_	2	pobj	_	_
5	on	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	tour	_	NN	NN	_	5	pobj	_	_
8	was	_	VBD	VBD	_	9	auxpass	_	_
9	fitted	_	VBN	VBN	_	0	root	_	_
10	in	_	IN	IN	_	9	prep	_	_
11	a	_	DT	DT	_	12	det	_	_
12	Sari	_	NNP	NNP	_	10	pobj	_	_
13	to	_	TO	TO	_	14	aux	_	_
14	demonstrate	_	VB	VB	_	9	xcomp	_	_
15	Indian	_	JJ	JJ	_	16	amod	_	_
16	fashion	_	NN	NN	_	14	dobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	clothing	_	NN	NN	_	9	nsubj	_	_
3	for	_	IN	IN	_	2	prep	_	_
4	men	_	NNS	NNS	_	3	pobj	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	women	_	NNS	NNS	_	4	conj	_	_
7	is	_	VBZ	VBZ	_	9	cop	_	_
8	quite	_	RB	RB	_	9	advmod	_	_
9	interesting	_	JJ	JJ	_	0	root	_	_
10	.	_	.	.	_	0	erased	_	_

1	Overall	_	RB	RB	_	4	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	I	_	PRP	PRP	_	4	nsubj	_	_
4	learned	_	VBD	VBD	_	0	root	_	_
5	about	_	IN	IN	_	4	prep	_	_
6	odds	_	NNS	NNS	_	5	pobj	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	ends	_	NNS	NNS	_	6	conj	_	_
9	that	_	IN	IN	_	13	mark	_	_
10	I	_	PRP	PRP	_	13	nsubj	_	_
11	just	_	RB	RB	_	13	advmod	_	_
12	never	_	RB	RB	_	13	neg	_	_
13	crossed	_	VBD	VBD	_	4	ccomp	_	_
14	my	_	PRP$	PRP$	_	15	poss	_	_
15	mind	_	NN	NN	_	13	dobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	3	mark	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	want	_	VBP	VBP	_	12	advcl	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	learn/experience	_	VB	VB	_	3	xcomp	_	_
6	Devon	_	NNP	NNP	_	7	nn	_	_
7	Street	_	NNP	NNP	_	5	dobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	I	_	PRP	PRP	_	12	nsubj	_	_
10	would	_	MD	MD	_	12	aux	_	_
11	highly	_	RB	RB	_	12	advmod	_	_
12	encourage	_	VB	VB	_	0	root	_	_
13	you	_	PRP	PRP	_	12	dobj	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	join	_	VB	VB	_	12	xcomp	_	_
16	the	_	DT	DT	_	17	det	_	_
17	tour	_	NN	NN	_	15	dobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	Thanks	_	NNP	NNP	_	2	nn	_	_
2	Ali	_	NNP	NNP	_	0	root	_	_
3	!	_	.	.	_	0	erased	_	_

