1	There	_	EX	EX	_	2	expl	_	_
7	and	_	CC	CC	_	3	cc	_	_
8	answer	_	VB	VB	_	3	conj	_	_
9	any	_	DT	DT	_	10	det	_	_
10	questions	_	NNS	NNS	_	8	dobj	_	_
11	with	_	IN	IN	_	8	prep	_	_
12	sincere	_	JJ	JJ	_	13	amod	_	_
13	kindness	_	NN	NN	_	11	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	guess	_	VBP	VBP	_	0	root	_	_
3	it	_	PRP	PRP	_	5	nsubj	_	_
4	's	_	VBZ	VBZ	_	5	cop	_	_
5	kind	_	NN	NN	_	2	ccomp	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	a	_	DT	DT	_	8	det	_	_
8	pain	_	NN	NN	_	6	pobj	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	have	_	VB	VB	_	8	vmod	_	_
11	to	_	TO	TO	_	12	aux	_	_
12	line	_	VB	VB	_	10	xcomp	_	_
13	up	_	RP	RP	_	12	prt	_	_
14	when	_	WRB	WRB	_	18	advmod	_	_
15	your	_	PRP$	PRP$	_	16	poss	_	_
16	group	_	NN	NN	_	18	nsubjpass	_	_
17	is	_	VBZ	VBZ	_	18	auxpass	_	_
18	called	_	VBN	VBN	_	12	advcl	_	_
19	and	_	CC	CC	_	12	cc	_	_
20	not	_	RB	RB	_	21	neg	_	_
21	have	_	VB	VB	_	12	conj	_	_
22	an	_	DT	DT	_	25	det	_	_
23	actual	_	JJ	JJ	_	25	amod	_	_
24	seat	_	NN	NN	_	25	nn	_	_
25	assignment	_	NN	NN	_	21	dobj	_	_
26	-	_	:	:	_	0	erased	_	_
27	but	_	CC	CC	_	2	cc	_	_
28	on	_	IN	IN	_	34	prep	_	_
29	the	_	DT	DT	_	31	det	_	_
30	bright	_	JJ	JJ	_	31	amod	_	_
31	side	_	NN	NN	_	28	pobj	_	_
32	,	_	,	,	_	0	erased	_	_
33	it	_	PRP	PRP	_	34	nsubj	_	_
34	allows	_	VBZ	VBZ	_	2	conj	_	_
35	you	_	PRP	PRP	_	34	dobj	_	_
36	to	_	TO	TO	_	38	aux	_	_
37	``	_	``	``	_	0	erased	_	_
38	pass	_	VB	VB	_	34	xcomp	_	_
39	by	_	RP	RP	_	38	prt	_	_
40	''	_	''	''	_	0	erased	_	_
41	that	_	DT	DT	_	43	det	_	_
42	undesirable	_	JJ	JJ	_	43	amod	_	_
43	passenger	_	NN	NN	_	38	dobj	_	_
44	and	_	CC	CC	_	38	cc	_	_
45	not	_	RB	RB	_	47	neg	_	_
46	be	_	VB	VB	_	47	auxpass	_	_
47	forced	_	VBN	VBN	_	38	conj	_	_
48	to	_	TO	TO	_	49	aux	_	_
49	sit	_	VB	VB	_	47	xcomp	_	_
50	in	_	IN	IN	_	49	prep	_	_
51	close	_	JJ	JJ	_	52	amod	_	_
52	quarters	_	NNS	NNS	_	50	pobj	_	_
53	with	_	IN	IN	_	49	prep	_	_
54	them	_	PRP	PRP	_	53	pobj	_	_
55	.	_	.	.	_	0	erased	_	_

1	Then	_	RB	RB	_	17	dep	_	_
2	again	_	RB	RB	_	1	dep	_	_
3	-	_	:	:	_	0	erased	_	_
4	with	_	IN	IN	_	17	prep	_	_
5	all	_	DT	DT	_	4	pobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	those	_	DT	DT	_	10	det	_	_
8	free	_	JJ	JJ	_	10	amod	_	_
9	drink	_	NN	NN	_	10	nn	_	_
10	coupons	_	NNS	NNS	_	6	pobj	_	_
11	,	_	,	,	_	0	erased	_	_
12	I	_	PRP	PRP	_	17	nsubj	_	_
13	might	_	MD	MD	_	17	aux	_	_
14	be	_	VB	VB	_	17	cop	_	_
15	THAT	_	JJ	JJ	_	17	amod	_	_
16	passenger	_	NN	NN	_	17	nn	_	_
17	lol	_	NN	NN	_	0	root	_	_
18	.	_	.	.	_	0	erased	_	_

1	Thanks	_	NNS	NNS	_	2	nsubj	_	_
2	southwest	_	VBZ	VBZ	_	0	root	_	_
3	for	_	IN	IN	_	2	prep	_	_
4	always	_	RB	RB	_	5	advmod	_	_
5	providing	_	VBG	VBG	_	3	pcomp	_	_
6	outstanding	_	JJ	JJ	_	10	amod	_	_
7	service	_	NN	NN	_	10	nn	_	_
8	,	_	,	,	_	0	erased	_	_
9	free	_	JJ	JJ	_	10	amod	_	_
10	bags	_	NNS	NNS	_	5	iobj	_	_
11	&	_	SYM	SYM	_	5	dobj	_	_
12	of	_	IN	IN	_	11	prep	_	_
13	course	_	NN	NN	_	15	nn	_	_
14	free	_	JJ	JJ	_	15	amod	_	_
15	drinks	_	NNS	NNS	_	12	pobj	_	_
16	!	_	.	.	_	0	erased	_	_

