1	Pretty	_	NNP	NNP	_	3	dep	_	_
10	few	_	JJ	JJ	_	12	amod	_	_
11	more	_	JJR	JJR	_	12	amod	_	_
12	minutes	_	NNS	NNS	_	8	dobj	_	_
13	for	_	IN	IN	_	8	prep	_	_
14	a	_	DT	DT	_	15	det	_	_
15	couple	_	NN	NN	_	13	pobj	_	_
16	of	_	IN	IN	_	15	prep	_	_
17	other	_	JJ	JJ	_	18	amod	_	_
18	cars	_	NNS	NNS	_	16	pobj	_	_
19	and	_	CC	CC	_	8	cc	_	_
20	then	_	RB	RB	_	23	advmod	_	_
21	were	_	VBD	VBD	_	23	auxpass	_	_
22	swiftly	_	RB	RB	_	23	advmod	_	_
23	driven	_	VBN	VBN	_	8	conj	_	_
24	to	_	TO	TO	_	23	prep	_	_
25	the	_	DT	DT	_	26	det	_	_
26	airport	_	NN	NN	_	24	pobj	_	_
27	.	_	.	.	_	0	erased	_	_

1	On	_	IN	IN	_	15	prep	_	_
2	return	_	NN	NN	_	1	pobj	_	_
3	after	_	IN	IN	_	2	prep	_	_
4	I	_	PRP	PRP	_	5	nsubj	_	_
5	picked	_	VBD	VBD	_	3	pcomp	_	_
6	up	_	RP	RP	_	5	prt	_	_
7	my	_	PRP$	PRP$	_	8	poss	_	_
8	bags	_	NNS	NNS	_	5	dobj	_	_
9	from	_	IN	IN	_	5	prep	_	_
10	the	_	DT	DT	_	12	det	_	_
11	baggage	_	NN	NN	_	12	nn	_	_
12	claim	_	NN	NN	_	9	pobj	_	_
13	,	_	,	,	_	0	erased	_	_
14	I	_	PRP	PRP	_	15	nsubj	_	_
15	texted	_	VBD	VBD	_	0	root	_	_
16	them	_	PRP	PRP	_	15	dobj	_	_
17	according	_	VBG	VBG	_	15	prep	_	_
18	to	_	TO	TO	_	17	pcomp	_	_
19	the	_	DT	DT	_	20	det	_	_
20	ticket	_	NN	NN	_	18	pobj	_	_
21	the	_	DT	DT	_	23	det	_	_
22	first	_	JJ	JJ	_	23	amod	_	_
23	driver	_	NN	NN	_	24	nsubj	_	_
24	gave	_	VBD	VBD	_	20	rcmod	_	_
25	me	_	PRP	PRP	_	24	dobj	_	_
26	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	looked	_	VBD	VBD	_	0	root	_	_
3	outside	_	RB	RB	_	2	advmod	_	_
4	and	_	CC	CC	_	2	cc	_	_
5	the	_	DT	DT	_	6	det	_	_
6	shuttle	_	NN	NN	_	8	nsubj	_	_
7	just	_	RB	RB	_	8	advmod	_	_
8	happened	_	VBD	VBD	_	2	conj	_	_
9	to	_	TO	TO	_	11	aux	_	_
10	be	_	VB	VB	_	11	aux	_	_
11	waiting	_	VBG	VBG	_	8	xcomp	_	_
12	.	_	.	.	_	0	erased	_	_

1	Driver	_	NN	NN	_	3	nsubj	_	_
2	was	_	VBD	VBD	_	3	cop	_	_
3	friendly	_	JJ	JJ	_	0	root	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	took	_	VBD	VBD	_	3	conj	_	_
6	my	_	PRP$	PRP$	_	7	poss	_	_
7	ticket	_	NN	NN	_	5	dobj	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	bags	_	NNS	NNS	_	7	conj	_	_
10	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	aux	_	_
3	not	_	RB	RB	_	4	neg	_	_
4	looking	_	VBG	VBG	_	0	root	_	_
5	forward	_	RB	RB	_	4	advmod	_	_
6	to	_	TO	TO	_	4	prep	_	_
7	cleaning	_	VBG	VBG	_	6	pcomp	_	_
8	the	_	DT	DT	_	9	det	_	_
9	snow	_	NN	NN	_	7	dobj	_	_
10	off	_	IN	IN	_	7	prep	_	_
11	my	_	PRP$	PRP$	_	12	poss	_	_
12	car	_	NN	NN	_	10	pobj	_	_
13	as	_	IN	IN	_	16	mark	_	_
14	it	_	PRP	PRP	_	16	nsubj	_	_
15	had	_	VBD	VBD	_	16	aux	_	_
16	snowed	_	VBN	VBN	_	7	advcl	_	_
17	while	_	IN	IN	_	19	mark	_	_
18	I	_	PRP	PRP	_	19	nsubj	_	_
19	was	_	VBD	VBD	_	16	advcl	_	_
20	away	_	RB	RB	_	19	advmod	_	_
21	.	_	.	.	_	0	erased	_	_

1	He	_	PRP	PRP	_	2	nsubj	_	_
2	drove	_	VBD	VBD	_	0	root	_	_
3	right	_	RB	RB	_	4	advmod	_	_
4	up	_	RB	RB	_	2	advmod	_	_
5	to	_	TO	TO	_	2	prep	_	_
6	my	_	PRP$	PRP$	_	7	poss	_	_
7	car	_	NN	NN	_	5	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	brought	_	VBD	VBD	_	2	advcl	_	_
10	my	_	PRP$	PRP$	_	11	poss	_	_
11	bags	_	NNS	NNS	_	9	dobj	_	_
12	out	_	RP	RP	_	9	prt	_	_
13	and	_	CC	CC	_	9	cc	_	_
14	as	_	IN	IN	_	17	mark	_	_
15	I	_	PRP	PRP	_	17	nsubj	_	_
16	was	_	VBD	VBD	_	17	aux	_	_
17	loading	_	VBG	VBG	_	9	conj	_	_
18	them	_	PRP	PRP	_	17	dobj	_	_
19	-	_	:	:	_	0	erased	_	_
20	he	_	PRP	PRP	_	21	nsubj	_	_
21	cleaned	_	VBD	VBD	_	2	parataxis	_	_
22	the	_	DT	DT	_	23	det	_	_
23	snow	_	NN	NN	_	21	dobj	_	_
24	off	_	IN	IN	_	21	prep	_	_
25	my	_	PRP$	PRP$	_	27	poss	_	_
26	car	_	NN	NN	_	27	nn	_	_
27	!!!	_	NN	NN	_	24	pobj	_	_

