1	Wow	_	UH	UH	_	5	discourse	_	_
24	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
25	and	_	CC	CC	_	30	cc	_	_
26	it	_	PRP	PRP	_	30	nsubj	_	_
27	was	_	VBD	VBD	_	30	cop	_	_
28	only	_	RB	RB	_	30	advmod	_	_
29	ten	_	CD	CD	_	30	num	_	_
30	minutes	_	NNS	NNS	_	20	dep	_	_
31	late	_	RB	RB	_	30	advmod	_	_
32	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
33	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	fares	_	NNS	NNS	_	4	nsubj	_	_
3	are	_	VBP	VBP	_	4	cop	_	_
4	reasonable	_	JJ	JJ	_	0	root	_	_
5	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
6	$	_	$	$	_	4	dep	_	_
7	3.60	_	CD	CD	_	6	num	_	_
8	from	_	IN	IN	_	6	prep	_	_
9	Downer	_	NNP	NNP	_	11	poss	_	_
10	's	_	POS	POS	_	9	possessive	_	_
11	Grove	_	NNP	NNP	_	8	pobj	_	_
12	to	_	TO	TO	_	11	prep	_	_
13	Union	_	NNP	NNP	_	14	nn	_	_
14	Station	_	NNP	NNP	_	12	pobj	_	_
15	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
16	and	_	CC	CC	_	4	cc	_	_
17	you	_	PRP	PRP	_	18	nsubj	_	_
18	have	_	VBP	VBP	_	4	conj	_	_
19	many	_	JJ	JJ	_	20	amod	_	_
20	options	_	NNS	NNS	_	18	dobj	_	_
21	for	_	IN	IN	_	20	prep	_	_
22	rides	_	NNS	NNS	_	21	pobj	_	_
23	,	_	,	,	_	0	erased	_	_
24	like	_	IN	IN	_	22	prep	_	_
25	a	_	DT	DT	_	27	det	_	_
26	10-ride	_	JJ	JJ	_	27	amod	_	_
27	ticket	_	NN	NN	_	24	pobj	_	_
28	,	_	,	,	_	0	erased	_	_
29	or	_	CC	CC	_	20	cc	_	_
30	a	_	DT	DT	_	32	det	_	_
31	monthly	_	JJ	JJ	_	32	amod	_	_
32	pass	_	NN	NN	_	20	conj	_	_
33	for	_	IN	IN	_	32	prep	_	_
34	only	_	RB	RB	_	35	quantmod	_	_
35	$	_	$	$	_	33	pobj	_	_
36	120	_	CD	CD	_	35	num	_	_
37	.	_	.	.	_	0	erased	_	_

1	All	_	DT	DT	_	7	advmod	_	_
2	in	_	IN	IN	_	1	prep	_	_
3	all	_	DT	DT	_	2	pobj	_	_
4	,	_	,	,	_	0	erased	_	_
5	I	_	PRP	PRP	_	7	nsubj	_	_
6	'm	_	VBP	VBP	_	7	cop	_	_
7	glad	_	JJ	JJ	_	0	root	_	_
8	I	_	PRP	PRP	_	9	nsubj	_	_
9	have	_	VBP	VBP	_	7	ccomp	_	_
10	the	_	DT	DT	_	11	det	_	_
11	option	_	NN	NN	_	9	dobj	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	take	_	VB	VB	_	11	vmod	_	_
14	Metra	_	NNP	NNP	_	13	dobj	_	_
15	,	_	,	,	_	0	erased	_	_
16	and	_	CC	CC	_	7	cc	_	_
17	would	_	MD	MD	_	18	aux	_	_
18	suggest	_	VB	VB	_	7	conj	_	_
19	it	_	PRP	PRP	_	18	dobj	_	_
20	to	_	TO	TO	_	18	prep	_	_
21	anyone	_	NN	NN	_	20	pobj	_	_
22	trying	_	VBG	VBG	_	21	vmod	_	_
23	to	_	TO	TO	_	24	aux	_	_
24	ease	_	VB	VB	_	22	xcomp	_	_
25	a	_	DT	DT	_	26	det	_	_
26	commute	_	NN	NN	_	24	dobj	_	_
27	.	_	.	.	_	0	erased	_	_

