1	Wow	_	UH	UH	_	6	discourse	_	_
33	with	_	IN	IN	_	32	prep	_	_
34	outstanding	_	JJ	JJ	_	35	amod	_	_
35	elegance	_	JJ	JJ	_	41	amod	_	_
36	and	_	CC	CC	_	35	cc	_	_
37	24	_	CD	CD	_	38	num	_	_
38	hour	_	NN	NN	_	39	npadvmod	_	_
39	PERSONAL	_	JJ	JJ	_	35	conj	_	_
40	service	_	NN	NN	_	41	nn	_	_
41	!!	_	NNS	NNS	_	33	pobj	_	_

1	We	_	PRP	PRP	_	5	nsubj	_	_
2	will	_	MD	MD	_	5	aux	_	_
3	be	_	VB	VB	_	5	aux	_	_
4	back	_	RB	RB	_	5	advmod	_	_
5	!!	_	VBG	VBG	_	0	root	_	_
6	Margaret	_	NNP	NNP	_	8	nn	_	_
7	W	_	NNP	NNP	_	8	nn	_	_
8	Raleigh	_	NNP	NNP	_	5	dobj	_	_
9	,	_	,	,	_	0	erased	_	_
10	NC	_	NNP	NNP	_	8	appos	_	_
11	1/27/09	_	CD	CD	_	10	num	_	_

