1	Oh	_	UH	UH	_	3	discourse	_	_
15	to	_	TO	TO	_	12	prep	_	_
16	the	_	DT	DT	_	17	det	_	_
17	public	_	NN	NN	_	15	pobj	_	_
18	in	_	IN	IN	_	17	prep	_	_
19	2010	_	CD	CD	_	18	pobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	4	nsubjpass	_	_
2	're	_	VBP	VBP	_	4	auxpass	_	_
3	even	_	RB	RB	_	4	advmod	_	_
4	ranked	_	VBN	VBN	_	18	ccomp	_	_
5	#	_	#	#	_	6	dep	_	_
6	1	_	CD	CD	_	4	dobj	_	_
7	by	_	IN	IN	_	6	prep	_	_
8	TripAdvisor	_	NNP	NNP	_	7	pobj	_	_
9	--	_	:	:	_	0	erased	_	_
10	and	_	CC	CC	_	6	cc	_	_
11	many	_	JJ	JJ	_	14	amod	_	_
12	other	_	JJ	JJ	_	14	amod	_	_
13	hot	_	JJ	JJ	_	14	amod	_	_
14	lists	_	NNS	NNS	_	6	conj	_	_
15	,	_	,	,	_	0	erased	_	_
16	I	_	PRP	PRP	_	18	nsubj	_	_
17	'm	_	VBP	VBP	_	18	cop	_	_
18	sure	_	JJ	JJ	_	0	root	_	_
19	.	_	.	.	_	0	erased	_	_

1	2	_	LS	LS	_	5	dep	_	_
2	.	_	.	.	_	0	erased	_	_
3	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
4	You	_	PRP	PRP	_	5	advmod	_	_
5	cater	_	VB	VB	_	0	root	_	_
6	to	_	TO	TO	_	5	prep	_	_
7	my	_	PRP$	PRP$	_	9	poss	_	_
8	every	_	DT	DT	_	9	quantmod	_	_
9	whim	_	CD	CD	_	6	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	3	nsubj	_	_
2	've	_	VBP	VBP	_	3	aux	_	_
3	given	_	VBN	VBN	_	0	root	_	_
4	me	_	PRP	PRP	_	3	iobj	_	_
5	a	_	DT	DT	_	7	det	_	_
6	free	_	JJ	JJ	_	7	amod	_	_
7	upgrade	_	NN	NN	_	3	dobj	_	_
8	every	_	DT	DT	_	9	det	_	_
9	time	_	NN	NN	_	7	dep	_	_
10	I	_	PRP	PRP	_	12	nsubj	_	_
11	've	_	VBP	VBP	_	12	aux	_	_
12	visited	_	VBN	VBN	_	7	rcmod	_	_
13	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	have	_	VBP	VBP	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	tested	_	VBN	VBN	_	0	root	_	_
5	you	_	PRP	PRP	_	4	dobj	_	_
6	yet	_	RB	RB	_	8	advmod	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	see	_	VB	VB	_	4	vmod	_	_
9	how	_	WRB	WRB	_	10	advmod	_	_
10	many	_	JJ	JJ	_	11	advmod	_	_
11	hoops	_	VBZ	VBZ	_	8	ccomp	_	_
12	you	_	PRP	PRP	_	14	nsubj	_	_
13	'd	_	MD	MD	_	14	aux	_	_
14	jump	_	VB	VB	_	11	ccomp	_	_
15	through	_	RP	RP	_	14	prt	_	_
16	to	_	TO	TO	_	17	aux	_	_
17	satisfy	_	VB	VB	_	14	xcomp	_	_
18	me	_	PRP	PRP	_	17	dobj	_	_
19	,	_	,	,	_	0	erased	_	_
20	but	_	CC	CC	_	4	cc	_	_
21	my	_	PRP$	PRP$	_	22	poss	_	_
22	gut	_	NN	NN	_	23	nsubj	_	_
23	tells	_	VBZ	VBZ	_	4	conj	_	_
24	me	_	PRP	PRP	_	23	dobj	_	_
25	you	_	PRP	PRP	_	27	nsubj	_	_
26	'd	_	MD	MD	_	27	aux	_	_
27	rise	_	VB	VB	_	23	dep	_	_
28	to	_	TO	TO	_	27	prep	_	_
29	the	_	DT	DT	_	30	det	_	_
30	occasion	_	NN	NN	_	28	pobj	_	_
31	.	_	.	.	_	0	erased	_	_

1	3	_	LS	LS	_	4	dep	_	_
2	.	_	.	.	_	0	erased	_	_
3	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
4	Your	_	VB	VB	_	0	root	_	_
5	understated	_	VBN	VBN	_	6	amod	_	_
6	elegance	_	NN	NN	_	4	dobj	_	_
7	.	_	.	.	_	0	erased	_	_

1	Most	_	JJS	JJS	_	13	nsubj	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	your	_	PRP$	PRP$	_	4	poss	_	_
4	peers	_	NNS	NNS	_	2	pobj	_	_
5	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
6	Four	_	NNP	NNP	_	7	nn	_	_
7	Seasons	_	NNPS	NNPS	_	1	appos	_	_
8	,	_	,	,	_	0	erased	_	_
9	Peninsula	_	NNP	NNP	_	7	dep	_	_
10	,	_	,	,	_	0	erased	_	_
11	Ritz	_	NNP	NNP	_	7	dep	_	_
12	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
13	prefer	_	VBP	VBP	_	0	root	_	_
14	more	_	JJR	JJR	_	16	amod	_	_
15	gaudy	_	NN	NN	_	16	nn	_	_
16	displays	_	NNS	NNS	_	13	dobj	_	_
17	of	_	IN	IN	_	16	prep	_	_
18	luxury	_	NN	NN	_	17	pobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	To	_	TO	TO	_	6	prep	_	_
2	me	_	PRP	PRP	_	1	pobj	_	_
3	,	_	,	,	_	0	erased	_	_
4	their	_	PRP$	PRP$	_	5	poss	_	_
5	guestrooms	_	NNS	NNS	_	6	nsubj	_	_
6	look	_	VBP	VBP	_	0	root	_	_
7	like	_	IN	IN	_	12	mark	_	_
8	a	_	DT	DT	_	11	det	_	_
9	Vera	_	NNP	NNP	_	11	nn	_	_
10	Bradley	_	NNP	NNP	_	11	nn	_	_
11	store	_	NN	NN	_	12	nsubj	_	_
12	vomited	_	VBD	VBD	_	6	advcl	_	_
13	all	_	DT	DT	_	12	dobj	_	_
14	over	_	IN	IN	_	13	prep	_	_
15	the	_	DT	DT	_	16	det	_	_
16	place	_	NN	NN	_	14	pobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	Your	_	PRP$	PRP$	_	3	poss	_	_
2	muted	_	JJ	JJ	_	3	amod	_	_
3	palate	_	NN	NN	_	6	nsubj	_	_
4	is	_	VBZ	VBZ	_	6	aux	_	_
5	aesthetically	_	RB	RB	_	6	advmod	_	_
6	pleasing	_	VBG	VBG	_	0	root	_	_
7	to	_	TO	TO	_	6	prep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	eye	_	NN	NN	_	7	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	Having	_	VBG	VBG	_	11	vmod	_	_
2	a	_	DT	DT	_	3	det	_	_
3	courtyard	_	NN	NN	_	5	nsubj	_	_
4	may	_	MD	MD	_	5	aux	_	_
5	seem	_	VB	VB	_	1	ccomp	_	_
6	a	_	DT	DT	_	8	det	_	_
7	bit	_	NN	NN	_	8	nn	_	_
8	pretentious	_	NNS	NNS	_	5	xcomp	_	_
9	,	_	,	,	_	0	erased	_	_
10	you	_	PRP	PRP	_	11	nsubj	_	_
11	manage	_	VBP	VBP	_	0	root	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	pull	_	VB	VB	_	11	xcomp	_	_
14	it	_	PRP	PRP	_	13	dobj	_	_
15	off	_	RP	RP	_	13	prt	_	_
16	beautifully	_	RB	RB	_	13	advmod	_	_
17	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	4	nsubj	_	_
2	's	_	VBZ	VBZ	_	4	cop	_	_
3	even	_	RB	RB	_	4	advmod	_	_
4	heated	_	JJ	JJ	_	0	root	_	_
5	so	_	IN	IN	_	9	mark	_	_
6	I	_	PRP	PRP	_	9	nsubj	_	_
7	do	_	VBP	VBP	_	9	aux	_	_
8	n't	_	RB	RB	_	9	neg	_	_
9	have	_	VB	VB	_	4	advcl	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	worry	_	VB	VB	_	9	xcomp	_	_
12	about	_	IN	IN	_	11	prep	_	_
13	slipping	_	VBG	VBG	_	12	pcomp	_	_
14	on	_	IN	IN	_	13	prep	_	_
15	ice	_	NN	NN	_	14	pobj	_	_
16	in	_	IN	IN	_	15	prep	_	_
17	the	_	DT	DT	_	18	det	_	_
18	winter	_	NN	NN	_	16	pobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	6	cc	_	_
2	your	_	PRP$	PRP$	_	3	poss	_	_
3	spa	_	NN	NN	_	6	nsubj	_	_
4	is	_	VBZ	VBZ	_	6	cop	_	_
5	absolutely	_	RB	RB	_	6	advmod	_	_
6	sublime	_	JJ	JJ	_	0	root	_	_
7	.	_	.	.	_	0	erased	_	_

1	4	_	LS	LS	_	5	dep	_	_
2	.	_	.	.	_	0	erased	_	_
3	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
4	You	_	PRP	PRP	_	5	advmod	_	_
5	give	_	VB	VB	_	0	root	_	_
6	me	_	PRP	PRP	_	8	dep	_	_
7	a	_	DT	DT	_	8	det	_	_
8	lot	_	NN	NN	_	5	dobj	_	_
9	of	_	IN	IN	_	8	prep	_	_
10	bang	_	NN	NN	_	9	pobj	_	_
11	for	_	IN	IN	_	10	prep	_	_
12	my	_	PRP$	PRP$	_	13	poss	_	_
13	buck	_	NN	NN	_	11	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	4	nsubj	_	_
2	're	_	VBP	VBP	_	4	cop	_	_
3	typically	_	RB	RB	_	4	advmod	_	_
4	cheaper	_	JJR	JJR	_	0	root	_	_
5	than	_	IN	IN	_	4	prep	_	_
6	your	_	PRP$	PRP$	_	7	poss	_	_
7	peers	_	NNS	NNS	_	5	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	especially	_	RB	RB	_	13	advmod	_	_
10	if	_	IN	IN	_	13	mark	_	_
11	I	_	PRP	PRP	_	13	nsubj	_	_
12	can	_	MD	MD	_	13	aux	_	_
13	get	_	VB	VB	_	4	advcl	_	_
14	a	_	DT	DT	_	15	det	_	_
15	room	_	NN	NN	_	13	dobj	_	_
16	at	_	IN	IN	_	13	prep	_	_
17	the	_	DT	DT	_	21	det	_	_
18	Advance	_	NNP	NNP	_	21	nn	_	_
19	Purchase	_	NNP	NNP	_	21	nn	_	_
20	Non-Refundable	_	JJ	JJ	_	21	amod	_	_
21	rate	_	NN	NN	_	16	pobj	_	_
22	.	_	.	.	_	0	erased	_	_

1	During	_	IN	IN	_	9	prep	_	_
2	the	_	DT	DT	_	3	det	_	_
3	off-season	_	NN	NN	_	1	pobj	_	_
4	,	_	,	,	_	0	erased	_	_
5	your	_	PRP$	PRP$	_	6	poss	_	_
6	rooms	_	NNS	NNS	_	9	nsubj	_	_
7	are	_	VBP	VBP	_	9	cop	_	_
8	a	_	DT	DT	_	9	det	_	_
9	steal	_	NN	NN	_	0	root	_	_
10	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	've	_	VBP	VBP	_	3	aux	_	_
3	booked	_	VBN	VBN	_	0	root	_	_
4	an	_	DT	DT	_	6	det	_	_
5	executive	_	JJ	JJ	_	6	amod	_	_
6	suite	_	NN	NN	_	3	dobj	_	_
7	for	_	IN	IN	_	6	prep	_	_
8	$	_	$	$	_	7	pobj	_	_
9	265/night	_	CD	CD	_	8	num	_	_
10	.	_	.	.	_	0	erased	_	_

1	Plus	_	CC	CC	_	9	cc	_	_
2	,	_	,	,	_	0	erased	_	_
3	your	_	PRP$	PRP$	_	6	poss	_	_
4	room	_	NN	NN	_	6	nn	_	_
5	service	_	NN	NN	_	6	nn	_	_
6	prices	_	NNS	NNS	_	9	nsubj	_	_
7	are	_	VBP	VBP	_	9	cop	_	_
8	very	_	RB	RB	_	9	advmod	_	_
9	reasonable	_	JJ	JJ	_	0	root	_	_
10	.	_	.	.	_	0	erased	_	_

1	Breakfast	_	VB	VB	_	0	root	_	_
2	for	_	IN	IN	_	1	prep	_	_
3	three	_	CD	CD	_	5	num	_	_
4	only	_	JJ	JJ	_	5	amod	_	_
5	costs	_	NNS	NNS	_	2	pobj	_	_
6	about	_	IN	IN	_	5	prep	_	_
7	$	_	$	$	_	6	pobj	_	_
8	30	_	CD	CD	_	7	num	_	_
9	.	_	.	.	_	0	erased	_	_

1	5	_	JJ	JJ	_	3	dep	_	_
2	.	_	.	.	_	0	erased	_	_
3	-RRB-	_	NNP	NNP	_	0	erased	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	care	_	VBP	VBP	_	0	root	_	_
3	about	_	IN	IN	_	2	prep	_	_
4	my	_	PRP$	PRP$	_	5	poss	_	_
5	health	_	NN	NN	_	3	pobj	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	well-being	_	NN	NN	_	5	conj	_	_
8	.	_	.	.	_	0	erased	_	_

1	Your	_	PRP$	PRP$	_	3	poss	_	_
2	workout	_	NN	NN	_	3	nn	_	_
3	facilities	_	NNS	NNS	_	5	nsubj	_	_
4	are	_	VBP	VBP	_	5	cop	_	_
5	top-notch	_	JJ	JJ	_	0	root	_	_
6	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	realize	_	VBP	VBP	_	0	root	_	_
3	this	_	DT	DT	_	5	nsubj	_	_
4	may	_	MD	MD	_	5	aux	_	_
5	be	_	VB	VB	_	2	ccomp	_	_
6	because	_	IN	IN	_	10	mark	_	_
7	you	_	PRP	PRP	_	10	nsubj	_	_
8	do	_	VBP	VBP	_	10	aux	_	_
9	n't	_	RB	RB	_	10	neg	_	_
10	want	_	VB	VB	_	5	advcl	_	_
11	me	_	PRP	PRP	_	10	dobj	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	let	_	VB	VB	_	10	xcomp	_	_
14	myself	_	PRP	PRP	_	15	nsubj	_	_
15	go	_	VB	VB	_	13	ccomp	_	_
16	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	have	_	VBP	VBP	_	0	root	_	_
3	complimentary	_	JJ	JJ	_	4	amod	_	_
4	headphones	_	NNS	NNS	_	2	dobj	_	_
5	in	_	IN	IN	_	4	prep	_	_
6	case	_	NN	NN	_	5	pobj	_	_
7	I	_	PRP	PRP	_	8	nsubj	_	_
8	forget	_	VB	VB	_	4	rcmod	_	_
9	mine	_	NN	NN	_	8	dobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	3	nsubj	_	_
2	even	_	RB	RB	_	3	advmod	_	_
3	send	_	VBP	VBP	_	0	root	_	_
4	someone	_	NN	NN	_	3	dobj	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	give	_	VB	VB	_	3	vmod	_	_
7	me	_	PRP	PRP	_	6	iobj	_	_
8	a	_	DT	DT	_	9	det	_	_
9	towel	_	NN	NN	_	6	dobj	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	water	_	NN	NN	_	9	conj	_	_
12	while	_	IN	IN	_	15	mark	_	_
13	I	_	PRP	PRP	_	15	nsubj	_	_
14	'm	_	VBP	VBP	_	15	aux	_	_
15	exercising	_	VBG	VBG	_	9	rcmod	_	_
16	so	_	IN	IN	_	20	mark	_	_
17	I	_	PRP	PRP	_	20	nsubj	_	_
18	do	_	VBP	VBP	_	20	aux	_	_
19	n't	_	RB	RB	_	20	neg	_	_
20	have	_	VB	VB	_	15	advcl	_	_
21	to	_	TO	TO	_	22	aux	_	_
22	interrupt	_	VB	VB	_	20	xcomp	_	_
23	my	_	PRP$	PRP$	_	24	poss	_	_
24	workout	_	NN	NN	_	22	dobj	_	_
25	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	4	nsubj	_	_
2	also	_	RB	RB	_	4	advmod	_	_
3	have	_	VBP	VBP	_	4	aux	_	_
4	orange-infused	_	VBN	VBN	_	0	root	_	_
5	water	_	NN	NN	_	4	dobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	snacks	_	NN	NN	_	5	conj	_	_
8	,	_	,	,	_	0	erased	_	_
9	and	_	CC	CC	_	5	cc	_	_
10	fruit	_	NN	NN	_	5	conj	_	_
11	in	_	IN	IN	_	4	prep	_	_
12	case	_	NN	NN	_	11	pobj	_	_
13	I	_	PRP	PRP	_	15	nsubj	_	_
14	need	_	MD	MD	_	15	aux	_	_
15	sustenance	_	VB	VB	_	12	rcmod	_	_
16	during	_	IN	IN	_	15	prep	_	_
17	a	_	DT	DT	_	19	det	_	_
18	rough	_	JJ	JJ	_	19	amod	_	_
19	workout	_	NN	NN	_	16	pobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	tiling	_	NN	NN	_	6	nsubj	_	_
3	in	_	IN	IN	_	2	prep	_	_
4	your	_	PRP$	PRP$	_	5	poss	_	_
5	pool	_	NN	NN	_	3	pobj	_	_
6	makes	_	VBZ	VBZ	_	0	root	_	_
7	laps	_	NNS	NNS	_	8	nsubj	_	_
8	fly	_	VB	VB	_	6	ccomp	_	_
9	by	_	IN	IN	_	8	prep	_	_
10	.	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	3	mark	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
3	want	_	VBP	VBP	_	13	advcl	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	step	_	VB	VB	_	3	xcomp	_	_
6	my	_	PRP$	PRP$	_	7	poss	_	_
7	workouts	_	NNS	NNS	_	5	dobj	_	_
8	up	_	RB	RB	_	5	advmod	_	_
9	a	_	DT	DT	_	10	det	_	_
10	notch	_	NN	NN	_	8	pobj	_	_
11	,	_	,	,	_	0	erased	_	_
12	you	_	PRP	PRP	_	13	nsubj	_	_
13	offer	_	VBP	VBP	_	0	root	_	_
14	Gyrotronics	_	NNP	NNP	_	17	nn	_	_
15	and	_	CC	CC	_	14	cc	_	_
16	Reformer	_	NNP	NNP	_	14	conj	_	_
17	lessons	_	NNS	NNS	_	13	dobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	After	_	IN	IN	_	12	prep	_	_
2	--	_	:	:	_	0	erased	_	_
3	or	_	CC	CC	_	4	cc	_	_
4	in	_	IN	IN	_	1	dep	_	_
5	lieu	_	NN	NN	_	4	pobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	,	_	,	,	_	0	erased	_	_
8	my	_	PRP$	PRP$	_	9	poss	_	_
9	workout	_	NN	NN	_	5	appos	_	_
10	--	_	:	:	_	0	erased	_	_
11	you	_	PRP	PRP	_	12	nsubj	_	_
12	pamper	_	VBP	VBP	_	0	root	_	_
13	me	_	PRP	PRP	_	12	dobj	_	_
14	in	_	IN	IN	_	12	prep	_	_
15	your	_	PRP$	PRP$	_	17	poss	_	_
16	luxurious	_	JJ	JJ	_	17	amod	_	_
17	spa	_	NN	NN	_	14	pobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	have	_	VBP	VBP	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	experienced	_	VBN	VBN	_	0	root	_	_
5	one	_	CD	CD	_	4	dobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	your	_	PRP$	PRP$	_	8	poss	_	_
8	massages	_	NNS	NNS	_	6	pobj	_	_
9	yet	_	RB	RB	_	4	advmod	_	_
10	,	_	,	,	_	0	erased	_	_
11	but	_	CC	CC	_	4	cc	_	_
12	some	_	DT	DT	_	16	nsubj	_	_
13	of	_	IN	IN	_	12	prep	_	_
14	my	_	PRP$	PRP$	_	15	poss	_	_
15	friends	_	NNS	NNS	_	13	pobj	_	_
16	tell	_	VBP	VBP	_	4	conj	_	_
17	me	_	PRP	PRP	_	16	dobj	_	_
18	that	_	IN	IN	_	20	mark	_	_
19	they	_	PRP	PRP	_	20	nsubj	_	_
20	leave	_	VBP	VBP	_	16	ccomp	_	_
21	you	_	PRP	PRP	_	22	nsubj	_	_
22	weak	_	JJ	JJ	_	20	xcomp	_	_
23	in	_	IN	IN	_	22	prep	_	_
24	the	_	DT	DT	_	25	det	_	_
25	knees	_	NNS	NNS	_	23	pobj	_	_
26	.	_	.	.	_	0	erased	_	_

1	6	_	JJ	JJ	_	3	dep	_	_
2	.	_	.	.	_	0	erased	_	_
3	-RRB-	_	NNP	NNP	_	0	erased	_	_

1	You	_	PRP	PRP	_	3	nsubj	_	_
2	never	_	RB	RB	_	3	neg	_	_
3	make	_	VBP	VBP	_	0	root	_	_
4	me	_	PRP	PRP	_	5	nsubj	_	_
5	pay	_	VB	VB	_	3	ccomp	_	_
6	tip	_	NN	NN	_	5	dobj	_	_
7	.	_	.	.	_	0	erased	_	_

1	Your	_	VBG	VBG	_	9	csubj	_	_
2	``	_	``	``	_	0	erased	_	_
3	no	_	DT	DT	_	6	neg	_	_
4	tip	_	NN	NN	_	6	nn	_	_
5	''	_	''	''	_	0	erased	_	_
6	policy	_	NN	NN	_	1	dobj	_	_
7	is	_	VBZ	VBZ	_	9	cop	_	_
8	pretty	_	RB	RB	_	9	advmod	_	_
9	sweet	_	JJ	JJ	_	0	root	_	_
10	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	'm	_	VBP	VBP	_	4	cop	_	_
3	pretty	_	RB	RB	_	4	advmod	_	_
4	cheap	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	do	_	VBP	VBP	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	use	_	VB	VB	_	0	root	_	_
5	my	_	PRP$	PRP$	_	6	poss	_	_
6	car	_	NN	NN	_	4	dobj	_	_
7	during	_	IN	IN	_	4	prep	_	_
8	my	_	PRP$	PRP$	_	9	poss	_	_
9	stay	_	NN	NN	_	7	pobj	_	_
10	or	_	CC	CC	_	4	cc	_	_
11	let	_	VB	VB	_	4	conj	_	_
12	the	_	DT	DT	_	14	det	_	_
13	doorman	_	NN	NN	_	14	nn	_	_
14	hail	_	NN	NN	_	11	dobj	_	_
15	a	_	DT	DT	_	16	det	_	_
16	taxi	_	NN	NN	_	4	dobj	_	_
17	for	_	IN	IN	_	16	prep	_	_
18	me	_	PRP	PRP	_	17	pobj	_	_
19	because	_	IN	IN	_	23	mark	_	_
20	I	_	PRP	PRP	_	23	nsubj	_	_
21	do	_	VBP	VBP	_	23	aux	_	_
22	n't	_	RB	RB	_	23	neg	_	_
23	want	_	VB	VB	_	4	advcl	_	_
24	to	_	TO	TO	_	23	prep	_	_
25	tip	_	NN	NN	_	24	pobj	_	_
26	,	_	,	,	_	0	erased	_	_
27	but	_	CC	CC	_	4	cc	_	_
28	I	_	PRP	PRP	_	31	nsubj	_	_
29	do	_	VBP	VBP	_	31	aux	_	_
30	n't	_	RB	RB	_	31	neg	_	_
31	have	_	VB	VB	_	4	conj	_	_
32	to	_	TO	TO	_	33	aux	_	_
33	worry	_	VB	VB	_	31	xcomp	_	_
34	about	_	IN	IN	_	33	prep	_	_
35	either	_	DT	DT	_	34	pobj	_	_
36	of	_	IN	IN	_	35	prep	_	_
37	those	_	DT	DT	_	38	det	_	_
38	things	_	NNS	NNS	_	36	pobj	_	_
