1	Wow	_	UH	UH	_	6	discourse	_	_
4	expensive	_	JJ	JJ	_	8	amod	_	_
5	for	_	IN	IN	_	4	prep	_	_
6	us	_	PRP	PRP	_	5	pobj	_	_
7	non-city	_	JJ	JJ	_	8	amod	_	_
8	dwellers	_	NNS	NNS	_	11	advcl	_	_
9	,	_	,	,	_	0	erased	_	_
10	it	_	PRP	PRP	_	11	nsubj	_	_
11	was	_	VBD	VBD	_	0	root	_	_
12	no	_	RB	RB	_	14	neg	_	_
13	more	_	RBR	RBR	_	14	advmod	_	_
14	so	_	RB	RB	_	11	advmod	_	_
15	than	_	IN	IN	_	11	prep	_	_
16	the	_	DT	DT	_	18	det	_	_
17	other	_	JJ	JJ	_	18	amod	_	_
18	companies	_	NNS	NNS	_	15	pobj	_	_
19	out	_	IN	IN	_	11	prep	_	_
20	there	_	RB	RB	_	19	pobj	_	_
21	and	_	CC	CC	_	11	cc	_	_
22	we	_	PRP	PRP	_	24	nsubj	_	_
23	definitely	_	RB	RB	_	24	advmod	_	_
24	got	_	VBD	VBD	_	11	conj	_	_
25	our	_	PRP$	PRP$	_	26	poss	_	_
26	money	_	NN	NN	_	28	nsubj	_	_
27	's	_	VBZ	VBZ	_	28	cop	_	_
28	worth	_	JJ	JJ	_	24	ccomp	_	_
29	.	_	.	.	_	0	erased	_	_

