1	5	_	CD	CD	_	2	num	_	_
6	Hancock	_	NNP	NNP	_	3	pobj	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	the	_	DT	DT	_	9	det	_	_
9	lake	_	NN	NN	_	6	conj	_	_
10	.	_	.	.	_	0	erased	_	_

1	My	_	PRP$	PRP$	_	2	poss	_	_
2	partner	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	made	_	VBD	VBD	_	0	root	_	_
6	great	_	JJ	JJ	_	7	amod	_	_
7	use	_	NN	NN	_	5	dobj	_	_
8	of	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	balcony	_	NN	NN	_	8	pobj	_	_
11	with	_	IN	IN	_	5	prep	_	_
12	a	_	DT	DT	_	14	det	_	_
13	few	_	JJ	JJ	_	14	amod	_	_
14	glasses	_	NNS	NNS	_	11	pobj	_	_
15	of	_	IN	IN	_	14	prep	_	_
16	champagne	_	NN	NN	_	15	pobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	wish	_	VBP	VBP	_	0	root	_	_
3	we	_	PRP	PRP	_	6	nsubj	_	_
4	would	_	MD	MD	_	6	aux	_	_
5	have	_	VB	VB	_	6	aux	_	_
6	used	_	VBN	VBN	_	2	ccomp	_	_
7	the	_	DT	DT	_	8	det	_	_
8	fireplace	_	NN	NN	_	6	dobj	_	_
9	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	bathroom	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	spacious	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	the	_	DT	DT	_	8	det	_	_
7	large	_	JJ	JJ	_	8	amod	_	_
8	tub	_	NN	NN	_	10	nsubj	_	_
9	was	_	VBD	VBD	_	10	cop	_	_
10	perfect	_	JJ	JJ	_	4	conj	_	_
11	for	_	IN	IN	_	10	prep	_	_
12	soaking	_	VBG	VBG	_	11	pcomp	_	_
13	in	_	RP	RP	_	12	prt	_	_
14	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	'm	_	VBP	VBP	_	4	cop	_	_
3	not	_	RB	RB	_	4	neg	_	_
4	sure	_	JJ	JJ	_	25	ccomp	_	_
5	how	_	WRB	WRB	_	7	advmod	_	_
6	they	_	PRP	PRP	_	7	nsubj	_	_
7	knew	_	VBD	VBD	_	4	ccomp	_	_
8	that	_	IN	IN	_	13	mark	_	_
9	my	_	PRP$	PRP$	_	10	poss	_	_
10	partner	_	NN	NN	_	13	nsubj	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	I	_	PRP	PRP	_	10	conj	_	_
13	were	_	VBD	VBD	_	7	advcl	_	_
14	together	_	RB	RB	_	13	advmod	_	_
15	,	_	,	,	_	0	erased	_	_
16	but	_	CC	CC	_	13	cc	_	_
17	after	_	IN	IN	_	19	mark	_	_
18	we	_	PRP	PRP	_	19	nsubj	_	_
19	returned	_	VBD	VBD	_	13	conj	_	_
20	from	_	IN	IN	_	19	prep	_	_
21	dinner	_	NN	NN	_	20	pobj	_	_
22	,	_	,	,	_	0	erased	_	_
23	our	_	PRP$	PRP$	_	24	poss	_	_
24	room	_	NN	NN	_	25	nsubj	_	_
25	had	_	VBD	VBD	_	0	root	_	_
26	a	_	DT	DT	_	27	det	_	_
27	walkway	_	NN	NN	_	25	dobj	_	_
28	and	_	CC	CC	_	27	cc	_	_
29	a	_	DT	DT	_	30	det	_	_
30	heart	_	NN	NN	_	27	conj	_	_
31	on	_	IN	IN	_	25	prep	_	_
32	our	_	PRP$	PRP$	_	33	poss	_	_
33	bed	_	NN	NN	_	31	pobj	_	_
34	made	_	VBN	VBN	_	33	vmod	_	_
35	of	_	IN	IN	_	34	prep	_	_
36	rose	_	NN	NN	_	35	pcomp	_	_
37	petals	_	NNS	NNS	_	36	dobj	_	_
38	.	_	.	.	_	0	erased	_	_

1	Honestly	_	RB	RB	_	7	advmod	_	_
2	it	_	PRP	PRP	_	7	nsubj	_	_
3	was	_	VBD	VBD	_	7	cop	_	_
4	the	_	DT	DT	_	7	det	_	_
5	best	_	JJS	JJS	_	7	amod	_	_
6	hotel	_	NN	NN	_	7	nn	_	_
7	service	_	NN	NN	_	0	root	_	_
8	I	_	PRP	PRP	_	11	nsubj	_	_
9	have	_	VBP	VBP	_	11	aux	_	_
10	ever	_	RB	RB	_	11	advmod	_	_
11	had	_	VBN	VBN	_	7	rcmod	_	_
12	.	_	.	.	_	0	erased	_	_

1	My	_	PRP$	PRP$	_	2	poss	_	_
2	partner	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	ecstatic	_	JJ	JJ	_	0	root	_	_
5	when	_	WRB	WRB	_	7	advmod	_	_
6	she	_	PRP	PRP	_	7	nsubj	_	_
7	saw	_	VBD	VBD	_	4	advcl	_	_
8	this	_	DT	DT	_	7	dobj	_	_
9	and	_	CC	CC	_	7	cc	_	_
10	thought	_	VBD	VBD	_	7	conj	_	_
11	that	_	IN	IN	_	14	mark	_	_
12	I	_	PRP	PRP	_	14	nsubj	_	_
13	had	_	VBD	VBD	_	14	aux	_	_
14	arranged	_	VBN	VBN	_	10	ccomp	_	_
15	this	_	DT	DT	_	14	dobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	Can	_	MD	MD	_	3	aux	_	_
2	not	_	RB	RB	_	3	nsubj	_	_
3	wait	_	VB	VB	_	0	root	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	stay	_	VB	VB	_	3	xcomp	_	_
6	here	_	RB	RB	_	5	advmod	_	_
7	again	_	RB	RB	_	5	advmod	_	_
8	!	_	.	.	_	0	erased	_	_

