1	Wow	_	UH	UH	_	4	discourse	_	_
2	was	_	VBD	VBD	_	4	auxpass	_	_
3	all	_	RB	RB	_	4	advmod	_	_
4	included	_	VBN	VBN	_	0	root	_	_
5	in	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	price	_	NN	NN	_	5	pobj	_	_
8	too	_	RB	RB	_	4	advmod	_	_
9	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	ate	_	VBD	VBD	_	0	root	_	_
3	at	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	restaurant	_	NN	NN	_	3	pobj	_	_
6	on	_	IN	IN	_	2	prep	_	_
7	the	_	DT	DT	_	9	det	_	_
8	second	_	JJ	JJ	_	9	amod	_	_
9	floor	_	NN	NN	_	6	pobj	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	everything	_	NN	NN	_	9	conj	_	_
12	we	_	PRP	PRP	_	13	nsubj	_	_
13	ordered	_	VBD	VBD	_	9	rcmod	_	_
14	was	_	VBD	VBD	_	15	cop	_	_
15	great	_	JJ	JJ	_	13	ccomp	_	_
16	.	_	.	.	_	0	erased	_	_

1	Make	_	VB	VB	_	0	root	_	_
2	sure	_	JJ	JJ	_	1	acomp	_	_
3	you	_	PRP	PRP	_	4	nsubj	_	_
4	ask	_	VBP	VBP	_	2	ccomp	_	_
5	for	_	IN	IN	_	4	prep	_	_
6	military	_	JJ	JJ	_	7	amod	_	_
7	discount	_	NN	NN	_	5	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	6	nsubj	_	_
2	was	_	VBD	VBD	_	6	cop	_	_
3	almost	_	RB	RB	_	4	quantmod	_	_
4	half	_	PDT	PDT	_	6	num	_	_
5	the	_	DT	DT	_	6	det	_	_
6	price	_	NN	NN	_	0	root	_	_
7	.	_	.	.	_	0	erased	_	_

