1	Stayed	_	VBN	VBN	_	13	vmod	_	_
1	Room	_	NNP	NNP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	very	_	RB	RB	_	4	advmod	_	_
4	clean	_	JJ	JJ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	had	_	VBD	VBD	_	4	conj	_	_
7	separate	_	JJ	JJ	_	9	amod	_	_
8	seating	_	VBG	VBG	_	9	amod	_	_
9	area	_	NN	NN	_	6	dobj	_	_
10	with	_	IN	IN	_	9	prep	_	_
11	sofa	_	NN	NN	_	10	pobj	_	_
12	and	_	CC	CC	_	4	cc	_	_
13	chairs	_	VBZ	VBZ	_	4	conj	_	_
14	with	_	IN	IN	_	13	prep	_	_
15	a	_	DT	DT	_	19	det	_	_
16	42in	_	JJ	JJ	_	19	amod	_	_
17	flat	_	JJ	JJ	_	19	amod	_	_
18	screen	_	NN	NN	_	19	nn	_	_
19	tv	_	NN	NN	_	14	pobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	was	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	5	det	_	_
4	bar	_	NN	NN	_	5	nn	_	_
5	area	_	NN	NN	_	2	nsubj	_	_
6	with	_	IN	IN	_	5	prep	_	_
7	stereo	_	NN	NN	_	10	nn	_	_
8	,	_	,	,	_	0	erased	_	_
9	mini	_	NNS	NNS	_	10	dep	_	_
10	bar	_	NN	NN	_	6	pobj	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	coffee	_	NN	NN	_	13	nn	_	_
13	maker	_	NN	NN	_	10	conj	_	_
14	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	was	_	VBD	VBD	_	0	root	_	_
3	another	_	DT	DT	_	6	det	_	_
4	flat	_	JJ	JJ	_	6	amod	_	_
5	screen	_	NN	NN	_	6	nn	_	_
6	tv	_	NN	NN	_	2	nsubj	_	_
7	in	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	10	det	_	_
9	bedroom	_	NN	NN	_	10	nn	_	_
10	area	_	NN	NN	_	7	pobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	Bathroom	_	VB	VB	_	0	root	_	_
2	very	_	RB	RB	_	3	advmod	_	_
3	good	_	JJ	JJ	_	1	acomp	_	_
4	with	_	IN	IN	_	3	prep	_	_
5	complimentary	_	JJ	JJ	_	11	amod	_	_
6	shampoo	_	NN	NN	_	11	nn	_	_
7	,	_	,	,	_	0	erased	_	_
8	conditioner	_	NN	NN	_	11	dep	_	_
9	,	_	,	,	_	0	erased	_	_
10	shower	_	NNS	NNS	_	11	dep	_	_
11	gel	_	NN	NN	_	4	pobj	_	_
12	and	_	CC	CC	_	11	cc	_	_
13	body	_	NN	NN	_	14	nn	_	_
14	lotion	_	NN	NN	_	11	conj	_	_
15	.	_	.	.	_	0	erased	_	_

1	Hotel	_	NNP	NNP	_	6	nsubj	_	_
2	is	_	VBZ	VBZ	_	6	cop	_	_
3	also	_	RB	RB	_	6	advmod	_	_
4	``	_	``	``	_	0	erased	_	_
5	pet	_	RB	RB	_	6	advmod	_	_
6	friendly	_	JJ	JJ	_	0	root	_	_
7	''	_	''	''	_	0	erased	_	_
8	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	was	_	VBD	VBD	_	0	root	_	_
3	even	_	RB	RB	_	6	advmod	_	_
4	a	_	DT	DT	_	6	det	_	_
5	large	_	JJ	JJ	_	6	amod	_	_
6	bowl	_	NN	NN	_	2	nsubj	_	_
7	of	_	IN	IN	_	6	prep	_	_
8	iced	_	JJ	JJ	_	9	amod	_	_
9	water	_	NN	NN	_	7	pobj	_	_
10	and	_	CC	CC	_	6	cc	_	_
11	a	_	DT	DT	_	12	det	_	_
12	barrel	_	NN	NN	_	6	conj	_	_
13	of	_	IN	IN	_	12	prep	_	_
14	dog	_	NN	NN	_	15	nn	_	_
15	biscuits	_	NNS	NNS	_	13	pobj	_	_
16	at	_	IN	IN	_	2	prep	_	_
17	the	_	DT	DT	_	19	det	_	_
18	front	_	JJ	JJ	_	19	amod	_	_
19	door	_	NN	NN	_	16	pobj	_	_
20	of	_	IN	IN	_	19	prep	_	_
21	the	_	DT	DT	_	23	det	_	_
22	hotel	_	NN	NN	_	23	nn	_	_
23	!!!	_	NN	NN	_	20	pobj	_	_
24	.	_	.	.	_	0	erased	_	_

1	Pets	_	NNS	NNS	_	3	nsubj	_	_
2	even	_	RB	RB	_	3	advmod	_	_
3	had	_	VBD	VBD	_	0	root	_	_
4	their	_	PRP$	PRP$	_	6	poss	_	_
5	own	_	JJ	JJ	_	6	amod	_	_
6	options	_	NNS	NNS	_	3	dobj	_	_
7	on	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	11	det	_	_
9	room	_	NN	NN	_	11	nn	_	_
10	sevice	_	NN	NN	_	11	nn	_	_
11	menu	_	NN	NN	_	7	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

