1	Wow	_	UH	UH	_	5	discourse	_	_
8	that	_	IN	IN	_	12	mark	_	_
9	the	_	DT	DT	_	11	det	_	_
10	front	_	JJ	JJ	_	11	amod	_	_
11	desk	_	NN	NN	_	12	nsubj	_	_
12	gives	_	VBZ	VBZ	_	4	ccomp	_	_
13	out	_	RP	RP	_	12	prt	_	_
14	free	_	JJ	JJ	_	15	amod	_	_
15	toiletries	_	NNS	NNS	_	12	dobj	_	_
16	and	_	CC	CC	_	15	cc	_	_
17	other	_	JJ	JJ	_	18	amod	_	_
18	things	_	NNS	NNS	_	15	conj	_	_
19	.	_	.	.	_	0	erased	_	_

1	Usually	_	RB	RB	_	3	advmod	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
3	have	_	VBP	VBP	_	0	root	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	pay	_	VB	VB	_	3	xcomp	_	_
6	5	_	CD	CD	_	5	iobj	_	_
7	$	_	$	$	_	5	dobj	_	_
8	for	_	IN	IN	_	9	quantmod	_	_
9	a	_	DT	DT	_	7	num	_	_
10	stupid	_	JJ	JJ	_	11	amod	_	_
11	toothbrush	_	JJ	JJ	_	7	amod	_	_
12	,	_	,	,	_	0	erased	_	_
13	but	_	CC	CC	_	3	cc	_	_
14	not	_	RB	RB	_	3	conj	_	_
15	here	_	RB	RB	_	14	dep	_	_
16	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	really	_	RB	RB	_	3	advmod	_	_
3	enjoyed	_	VBD	VBD	_	0	root	_	_
4	staying	_	VBG	VBG	_	3	xcomp	_	_
5	at	_	IN	IN	_	4	prep	_	_
6	InterContintental	_	NNP	NNP	_	5	pobj	_	_
7	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	very	_	RB	RB	_	4	advmod	_	_
4	worried	_	JJ	JJ	_	0	root	_	_
5	about	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	8	det	_	_
7	Chicago	_	NNP	NNP	_	8	nn	_	_
8	area	_	NN	NN	_	10	poss	_	_
9	's	_	POS	POS	_	8	possessive	_	_
10	reputation	_	NN	NN	_	5	pobj	_	_
11	of	_	IN	IN	_	10	prep	_	_
12	bad	_	JJ	JJ	_	13	amod	_	_
13	hotels	_	NNS	NNS	_	11	pobj	_	_
14	,	_	,	,	_	0	erased	_	_
15	but	_	CC	CC	_	4	cc	_	_
16	this	_	DT	DT	_	17	nsubj	_	_
17	turned	_	VBD	VBD	_	4	conj	_	_
18	out	_	RP	RP	_	17	prt	_	_
19	just	_	RB	RB	_	20	advmod	_	_
20	great	_	JJ	JJ	_	17	dobj	_	_
21	.	_	.	.	_	0	erased	_	_

1	Next	_	JJ	JJ	_	2	amod	_	_
2	time	_	NN	NN	_	5	nsubj	_	_
3	my	_	PRP$	PRP$	_	4	poss	_	_
4	boss	_	NN	NN	_	5	nsubj	_	_
5	flies	_	VBZ	VBZ	_	12	ccomp	_	_
6	me	_	PRP	PRP	_	5	dobj	_	_
7	out	_	RP	RP	_	5	prt	_	_
8	to	_	TO	TO	_	5	prep	_	_
9	Chicago	_	NNP	NNP	_	8	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	I	_	PRP	PRP	_	12	nsubj	_	_
12	know	_	VBP	VBP	_	0	root	_	_
13	where	_	WRB	WRB	_	16	advmod	_	_
14	I	_	PRP	PRP	_	16	nsubj	_	_
15	am	_	VBP	VBP	_	16	aux	_	_
16	staying	_	VBG	VBG	_	12	ccomp	_	_
17	!	_	.	.	_	0	erased	_	_

