1	Our	_	PRP$	PRP$	_	3	poss	_	_
2	all	_	DT	DT	_	3	advmod	_	_
3	want	_	VBP	VBP	_	0	root	_	_
4	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
5	and	_	CC	CC	_	6	cc	_	_
6	need	_	VBP	VBP	_	3	dep	_	_
7	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
8	to	_	TO	TO	_	9	aux	_	_
9	do	_	VB	VB	_	3	xcomp	_	_
10	it	_	PRP	PRP	_	9	dobj	_	_
11	again	_	RB	RB	_	9	advmod	_	_
12	,	_	,	,	_	0	erased	_	_
13	and	_	CC	CC	_	3	cc	_	_
14	I	_	PRP	PRP	_	17	nsubj	_	_
15	'm	_	VBP	VBP	_	17	aux	_	_
16	always	_	RB	RB	_	17	advmod	_	_
17	telling	_	VBG	VBG	_	3	conj	_	_
18	people	_	NNS	NNS	_	17	dobj	_	_
19	that	_	WDT	WDT	_	20	nsubj	_	_
20	express	_	VBP	VBP	_	18	rcmod	_	_
21	an	_	DT	DT	_	22	det	_	_
22	interest	_	NN	NN	_	20	dobj	_	_
23	that	_	IN	IN	_	27	mark	_	_
24	CGI	_	NNP	NNP	_	27	nsubj	_	_
25	is	_	VBZ	VBZ	_	27	cop	_	_
26	the	_	DT	DT	_	27	det	_	_
27	way	_	NN	NN	_	20	ccomp	_	_
28	to	_	TO	TO	_	29	aux	_	_
29	go	_	VB	VB	_	27	vmod	_	_
30	.	_	.	.	_	0	erased	_	_

