1	Wow	_	UH	UH	_	2	discourse	_	_
4	wrong	_	JJ	JJ	_	6	amod	_	_
5	birth	_	NN	NN	_	6	nn	_	_
6	certificate	_	NN	NN	_	10	nsubjpass	_	_
7	lucky	_	JJ	JJ	_	10	dep	_	_
8	I	_	PRP	PRP	_	10	nsubjpass	_	_
9	was	_	VBD	VBD	_	10	auxpass	_	_
10	born	_	VBN	VBN	_	2	xcomp	_	_
11	in	_	IN	IN	_	10	prep	_	_
12	chicago	_	NNP	NNP	_	11	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	She	_	PRP	PRP	_	2	nsubj	_	_
2	told	_	VBD	VBD	_	0	root	_	_
3	me	_	PRP	PRP	_	2	dobj	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	go	_	VB	VB	_	2	xcomp	_	_
6	to	_	TO	TO	_	5	prep	_	_
7	a	_	DT	DT	_	8	det	_	_
8	building	_	NN	NN	_	6	pobj	_	_
9	and	_	CC	CC	_	5	cc	_	_
10	get	_	VB	VB	_	5	conj	_	_
11	it	_	PRP	PRP	_	12	nsubj	_	_
12	printed	_	VBN	VBN	_	10	dep	_	_
13	off	_	RP	RP	_	12	prt	_	_
14	and	_	CC	CC	_	10	cc	_	_
15	come	_	VB	VB	_	10	conj	_	_
16	back	_	RB	RB	_	15	advmod	_	_
17	did	_	VBD	VBD	_	19	aux	_	_
18	not	_	RB	RB	_	19	neg	_	_
19	have	_	VB	VB	_	16	dep	_	_
20	to	_	TO	TO	_	21	aux	_	_
21	wait	_	VB	VB	_	19	xcomp	_	_
22	in	_	IN	IN	_	21	prep	_	_
23	line	_	NN	NN	_	22	pobj	_	_
24	.	_	.	.	_	0	erased	_	_

1	When	_	WRB	WRB	_	3	advmod	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
3	came	_	VBD	VBD	_	13	advcl	_	_
4	back	_	RP	RP	_	3	prt	_	_
5	It	_	PRP	PRP	_	7	nsubjpass	_	_
6	was	_	VBD	VBD	_	7	auxpass	_	_
7	packed	_	VBN	VBN	_	3	ccomp	_	_
8	good	_	JJ	JJ	_	9	amod	_	_
9	thing	_	NN	NN	_	7	dobj	_	_
10	I	_	PRP	PRP	_	13	nsubj	_	_
11	did	_	VBD	VBD	_	13	aux	_	_
12	not	_	RB	RB	_	13	neg	_	_
13	have	_	VB	VB	_	0	root	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	wait	_	VB	VB	_	13	xcomp	_	_
16	in	_	IN	IN	_	15	prep	_	_
17	line	_	NN	NN	_	16	pobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	Took	_	VB	VB	_	8	ccomp	_	_
2	about	_	RB	RB	_	3	advmod	_	_
3	20mins	_	JJ	JJ	_	1	dobj	_	_
4	after	_	IN	IN	_	1	prep	_	_
5	wards	_	NNS	NNS	_	4	pobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	they	_	PRP	PRP	_	8	nsubj	_	_
8	told	_	VBD	VBD	_	0	root	_	_
9	me	_	PRP	PRP	_	8	dobj	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	come	_	VB	VB	_	8	xcomp	_	_
12	at	_	IN	IN	_	11	prep	_	_
13	3pm	_	NNP	NNP	_	12	pobj	_	_
14	!	_	.	.	_	0	erased	_	_

