1	OK	_	UH	UH	_	7	discourse	_	_
9	.	_	.	.	_	0	erased	_	_

1	Friendly	_	JJ	JJ	_	0	root	_	_
2	and	_	CC	CC	_	1	cc	_	_
3	very	_	RB	RB	_	4	advmod	_	_
4	helpful	_	JJ	JJ	_	1	conj	_	_
5	...	_	:	:	_	0	erased	_	_
6	including	_	VBG	VBG	_	1	prep	_	_
7	the	_	DT	DT	_	8	det	_	_
8	hotel	_	NN	NN	_	11	poss	_	_
9	's	_	POS	POS	_	8	possessive	_	_
10	official	_	JJ	JJ	_	11	amod	_	_
11	dog	_	NN	NN	_	6	pobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	Buddy	_	NNP	NNP	_	11	appos	_	_
14	!	_	.	.	_	0	erased	_	_

1	My	_	PRP$	PRP$	_	2	poss	_	_
2	room	_	NN	NN	_	4	nsubjpass	_	_
3	was	_	VBD	VBD	_	4	auxpass	_	_
4	remodeled	_	VBN	VBN	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	included	_	VBN	VBN	_	4	conj	_	_
7	a	_	DT	DT	_	15	det	_	_
8	small	_	JJ	JJ	_	15	amod	_	_
9	fridge	_	NN	NN	_	15	nn	_	_
10	,	_	,	,	_	0	erased	_	_
11	microwave	_	NN	NN	_	15	dep	_	_
12	,	_	,	,	_	0	erased	_	_
13	flat	_	JJ	JJ	_	15	amod	_	_
14	screen	_	NN	NN	_	15	nn	_	_
15	TV	_	NN	NN	_	6	dobj	_	_
16	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
17	including	_	VBG	VBG	_	6	dep	_	_
18	a	_	DT	DT	_	19	det	_	_
19	bunch	_	NN	NN	_	17	pobj	_	_
20	of	_	IN	IN	_	19	prep	_	_
21	premium	_	NN	NN	_	22	nn	_	_
22	channels	_	NNS	NNS	_	20	pobj	_	_
23	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
24	,	_	,	,	_	0	erased	_	_
25	free	_	JJ	JJ	_	26	amod	_	_
26	Wi-Fi	_	NN	NN	_	4	dobj	_	_
27	and	_	CC	CC	_	26	cc	_	_
28	breakfast	_	NN	NN	_	26	conj	_	_
29	.	_	.	.	_	0	erased	_	_

1	Lots	_	NNS	NNS	_	18	nsubj	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	yummy	_	JJ	JJ	_	9	amod	_	_
4	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
5	not	_	RB	RB	_	3	dep	_	_
6	fancy	_	JJ	JJ	_	5	dep	_	_
7	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
8	local	_	JJ	JJ	_	9	amod	_	_
9	restaurants	_	NNS	NNS	_	2	pobj	_	_
10	...	_	:	:	_	0	erased	_	_
11	as	_	RB	RB	_	2	dep	_	_
12	well	_	RB	RB	_	2	dep	_	_
13	as	_	IN	IN	_	2	prep	_	_
14	a	_	DT	DT	_	17	det	_	_
15	few	_	JJ	JJ	_	17	amod	_	_
16	chain	_	NN	NN	_	17	nn	_	_
17	restaurants	_	NNS	NNS	_	13	pobj	_	_
18	are	_	VBP	VBP	_	0	root	_	_
19	within	_	IN	IN	_	18	prep	_	_
20	walking	_	VBG	VBG	_	19	pcomp	_	_
21	distance	_	NN	NN	_	20	dobj	_	_
22	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	Orange	_	NNP	NNP	_	3	nn	_	_
3	Line	_	NNP	NNP	_	6	nsubj	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	downtown	_	NN	NN	_	4	pobj	_	_
6	is	_	VBZ	VBZ	_	0	root	_	_
7	just	_	RB	RB	_	10	advmod	_	_
8	a	_	DT	DT	_	10	det	_	_
9	few	_	JJ	JJ	_	10	amod	_	_
10	blocks	_	NNS	NNS	_	11	npadvmod	_	_
11	away	_	RB	RB	_	6	advmod	_	_
12	.	_	.	.	_	0	erased	_	_

1	Love	_	VB	VB	_	0	root	_	_
2	this	_	DT	DT	_	3	det	_	_
3	place	_	NN	NN	_	1	dobj	_	_
4	.	_	.	.	_	0	erased	_	_

1	Highly	_	NNP	NNP	_	2	nsubj	_	_
2	recommend	_	VBP	VBP	_	0	root	_	_
3	.	_	.	.	_	0	erased	_	_

