1	There	_	EX	EX	_	2	expl	_	_
5	dog	_	NN	NN	_	2	conj	_	_
6	and	_	CC	CC	_	2	cc	_	_
7	I	_	PRP	PRP	_	2	conj	_	_
8	stood	_	VBD	VBD	_	0	root	_	_
9	here	_	RB	RB	_	8	advmod	_	_
10	for	_	IN	IN	_	8	prep	_	_
11	New	_	NNP	NNP	_	13	nn	_	_
12	Years	_	NNP	NNP	_	13	nn	_	_
13	Eve	_	NNP	NNP	_	10	pobj	_	_
14	and	_	CC	CC	_	8	cc	_	_
15	loved	_	VBD	VBD	_	8	conj	_	_
16	every	_	DT	DT	_	18	det	_	_
17	single	_	JJ	JJ	_	18	amod	_	_
18	part	_	NN	NN	_	15	dobj	_	_
19	of	_	IN	IN	_	18	prep	_	_
20	our	_	PRP$	PRP$	_	21	poss	_	_
21	stay	_	NN	NN	_	19	pobj	_	_
22	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	5	det	_	_
2	quiet	_	JJ	JJ	_	5	amod	_	_
3	,	_	,	,	_	0	erased	_	_
4	vintage	_	JJ	JJ	_	5	amod	_	_
5	building	_	NN	NN	_	7	nsubjpass	_	_
6	is	_	VBZ	VBZ	_	7	auxpass	_	_
7	tucked	_	VBN	VBN	_	0	root	_	_
8	away	_	RP	RP	_	7	prt	_	_
9	in	_	IN	IN	_	7	prep	_	_
10	Streeterville	_	NNP	NNP	_	9	pobj	_	_
11	with	_	IN	IN	_	7	prep	_	_
12	hundreds	_	NNS	NNS	_	11	pobj	_	_
13	of	_	IN	IN	_	12	prep	_	_
14	venues	_	NNS	NNS	_	13	pobj	_	_
15	,	_	,	,	_	0	erased	_	_
16	restaurants	_	NNS	NNS	_	14	conj	_	_
17	,	_	,	,	_	0	erased	_	_
18	stores	_	NNS	NNS	_	14	conj	_	_
19	and	_	CC	CC	_	14	cc	_	_
20	parks	_	NNS	NNS	_	14	conj	_	_
21	nearby	_	RB	RB	_	7	advmod	_	_
22	.	_	.	.	_	0	erased	_	_

1	Northwestern	_	NNP	NNP	_	3	nn	_	_
2	Memorial	_	NNP	NNP	_	3	nn	_	_
3	Hospital	_	NNP	NNP	_	12	nsubj	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	RIC	_	NNP	NNP	_	3	conj	_	_
6	,	_	,	,	_	0	erased	_	_
7	as	_	RB	RB	_	8	advmod	_	_
8	well	_	RB	RB	_	3	cc	_	_
9	as	_	IN	IN	_	8	mwe	_	_
10	the	_	DT	DT	_	11	det	_	_
11	MCA	_	NNP	NNP	_	3	conj	_	_
12	are	_	VBP	VBP	_	0	root	_	_
13	all	_	RB	RB	_	12	advmod	_	_
14	within	_	IN	IN	_	12	prep	_	_
15	walking	_	VBG	VBG	_	14	pcomp	_	_
16	distance	_	NN	NN	_	15	dobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	studio	_	NN	NN	_	5	nsubj	_	_
3	is	_	VBZ	VBZ	_	5	cop	_	_
4	fully	_	RB	RB	_	5	advmod	_	_
5	furnished	_	JJ	JJ	_	0	root	_	_
6	,	_	,	,	_	0	erased	_	_
7	complete	_	JJ	JJ	_	5	dep	_	_
8	with	_	IN	IN	_	7	prep	_	_
9	dishes	_	NNS	NNS	_	8	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	Be	_	VB	VB	_	2	auxpass	_	_
2	prepared	_	VBN	VBN	_	0	root	_	_
3	for	_	IN	IN	_	2	prep	_	_
4	a	_	DT	DT	_	7	det	_	_
5	tiny	_	JJ	JJ	_	7	amod	_	_
6	Euro-style	_	JJ	JJ	_	7	amod	_	_
7	bathroom	_	NN	NN	_	3	pobj	_	_
8	with	_	IN	IN	_	7	prep	_	_
9	tub	_	NN	NN	_	8	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	Juan	_	NNP	NNP	_	9	nsubj	_	_
2	,	_	,	,	_	0	erased	_	_
3	the	_	DT	DT	_	5	det	_	_
4	Reservations	_	NNP	NNP	_	5	nn	_	_
5	Manager	_	NNP	NNP	_	1	appos	_	_
6	,	_	,	,	_	0	erased	_	_
7	was	_	VBD	VBD	_	9	cop	_	_
8	very	_	RB	RB	_	9	advmod	_	_
9	professional	_	JJ	JJ	_	0	root	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	very	_	RB	RB	_	12	advmod	_	_
12	helpful	_	JJ	JJ	_	9	conj	_	_
13	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	would	_	MD	MD	_	4	aux	_	_
3	highly	_	RB	RB	_	4	advmod	_	_
4	recommend	_	VB	VB	_	0	root	_	_
5	900	_	CD	CD	_	8	num	_	_
6	N.	_	NNP	NNP	_	8	nn	_	_
7	DeWitt	_	NNP	NNP	_	8	nn	_	_
8	Place	_	NNS	NNS	_	4	dobj	_	_
9	to	_	TO	TO	_	4	prep	_	_
10	anybody	_	NN	NN	_	9	pobj	_	_
11	looking	_	VBG	VBG	_	10	vmod	_	_
12	for	_	IN	IN	_	11	prep	_	_
13	a	_	DT	DT	_	14	det	_	_
14	place	_	NN	NN	_	12	pobj	_	_
15	to	_	TO	TO	_	16	aux	_	_
16	stay	_	VB	VB	_	11	xcomp	_	_
17	in	_	IN	IN	_	16	prep	_	_
18	Chicago	_	NNP	NNP	_	17	pobj	_	_
19	at	_	IN	IN	_	16	prep	_	_
20	an	_	DT	DT	_	22	det	_	_
21	affordable	_	JJ	JJ	_	22	amod	_	_
22	price	_	NN	NN	_	19	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

