1	Minutes	_	VBG	VBG	_	10	vmod	_	_
20	encountered	_	VBN	VBN	_	4	dep	_	_
21	in	_	IN	IN	_	20	prep	_	_
22	the	_	DT	DT	_	23	det	_	_
23	US	_	NNP	NNP	_	21	pobj	_	_
24	or	_	CC	CC	_	23	cc	_	_
25	Europe	_	NNP	NNP	_	23	conj	_	_
26	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	4	det	_	_
2	free	_	JJ	JJ	_	4	amod	_	_
3	shuttle	_	NN	NN	_	4	nn	_	_
4	wil	_	NN	NN	_	5	nsubj	_	_
5	take	_	VBP	VBP	_	0	root	_	_
6	you	_	PRP	PRP	_	5	dobj	_	_
7	to	_	TO	TO	_	5	prep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	airport	_	NN	NN	_	7	pobj	_	_
10	or	_	CC	CC	_	7	cc	_	_
11	to	_	TO	TO	_	7	conj	_	_
12	the	_	DT	DT	_	15	det	_	_
13	nearest	_	NNP	NNP	_	15	nn	_	_
14	El	_	NNP	NNP	_	15	nn	_	_
15	train	_	NN	NN	_	11	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	modest	_	JJ	JJ	_	3	amod	_	_
3	breakfast	_	NN	NN	_	5	nsubj	_	_
4	was	_	VBD	VBD	_	5	cop	_	_
5	excellent	_	JJ	JJ	_	0	root	_	_
6	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
7	they	_	PRP	PRP	_	8	nsubj	_	_
8	served	_	VBD	VBD	_	5	dep	_	_
9	Dunkin	_	NNP	NNP	_	12	nn	_	_
10	Donuts	_	NNP	NNP	_	12	nn	_	_
11	breakfast	_	NN	NN	_	12	nn	_	_
12	sandwiches	_	NNS	NNS	_	8	dobj	_	_
13	-	_	:	:	_	0	erased	_	_
14	egg	_	NN	NN	_	12	dep	_	_
15	,	_	,	,	_	0	erased	_	_
16	sausage	_	NN	NN	_	14	conj	_	_
17	and	_	CC	CC	_	14	cc	_	_
18	cheese	_	NN	NN	_	14	conj	_	_
19	between	_	IN	IN	_	14	prep	_	_
20	a	_	DT	DT	_	21	det	_	_
21	bagel	_	NN	NN	_	19	pobj	_	_
22	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
23	as	_	RB	RB	_	24	advmod	_	_
24	well	_	RB	RB	_	5	cc	_	_
25	as	_	IN	IN	_	24	mwe	_	_
26	donuts	_	NNS	NNS	_	5	conj	_	_
27	.	_	.	.	_	0	erased	_	_

