1	Wow	_	UH	UH	_	3	discourse	_	_
24	.	_	.	.	_	0	erased	_	_

1	Great	_	JJ	JJ	_	2	amod	_	_
2	view	_	NN	NN	_	0	root	_	_
3	of	_	IN	IN	_	2	prep	_	_
4	LARGE	_	NNP	NNP	_	5	nn	_	_
5	TV	_	NNP	NNP	_	3	pobj	_	_
6	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
7	but	_	CC	CC	_	9	cc	_	_
8	that	_	DT	DT	_	9	nsubj	_	_
9	seems	_	VBZ	VBZ	_	5	dep	_	_
10	to	_	TO	TO	_	12	aux	_	_
11	be	_	VB	VB	_	12	cop	_	_
12	standard	_	NN	NN	_	9	xcomp	_	_
13	nowadays	_	RB	RB	_	12	advmod	_	_
14	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
15	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	couch	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	comfortable	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	at	_	IN	IN	_	4	conj	_	_
7	a	_	DT	DT	_	9	det	_	_
8	good	_	JJ	JJ	_	9	amod	_	_
9	distance	_	NN	NN	_	6	pobj	_	_
10	from	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	bed	_	NN	NN	_	10	pobj	_	_
13	with	_	IN	IN	_	12	prep	_	_
14	great	_	JJ	JJ	_	16	amod	_	_
15	reading	_	NN	NN	_	16	nn	_	_
16	lamps	_	NNS	NNS	_	13	pobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	bathroom	_	NN	NN	_	3	nn	_	_
3	entry	_	NN	NN	_	11	nsubj	_	_
4	was	_	VBD	VBD	_	11	cop	_	_
5	off	_	RB	RB	_	11	advmod	_	_
6	to	_	TO	TO	_	5	prep	_	_
7	the	_	DT	DT	_	8	det	_	_
8	side	_	NN	NN	_	6	pobj	_	_
9	and	_	CC	CC	_	8	cc	_	_
10	not	_	RB	RB	_	8	conj	_	_
11	visible	_	JJ	JJ	_	0	root	_	_
12	from	_	IN	IN	_	11	prep	_	_
13	the	_	DT	DT	_	14	det	_	_
14	bed	_	NN	NN	_	12	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	Loved	_	JJ	JJ	_	3	amod	_	_
2	the	_	DT	DT	_	3	det	_	_
3	sense	_	NN	NN	_	0	root	_	_
4	of	_	IN	IN	_	3	prep	_	_
5	being	_	VBG	VBG	_	4	pcomp	_	_
6	on	_	IN	IN	_	5	prep	_	_
7	a	_	DT	DT	_	9	det	_	_
8	high	_	JJ	JJ	_	9	amod	_	_
9	floor	_	NN	NN	_	6	pobj	_	_
10	--	_	:	:	_	0	erased	_	_
11	not	_	RB	RB	_	3	neg	_	_
12	a	_	DT	DT	_	14	det	_	_
13	vista	_	NN	NN	_	14	nn	_	_
14	view	_	NN	NN	_	3	dep	_	_
15	for	_	IN	IN	_	14	prep	_	_
16	sure	_	JJ	JJ	_	15	pobj	_	_
17	but	_	CC	CC	_	14	cc	_	_
18	a	_	DT	DT	_	19	det	_	_
19	sense	_	NN	NN	_	14	conj	_	_
20	of	_	IN	IN	_	19	prep	_	_
21	tall	_	JJ	JJ	_	25	amod	_	_
22	,	_	,	,	_	0	erased	_	_
23	tall	_	JJ	JJ	_	25	amod	_	_
24	,	_	,	,	_	0	erased	_	_
25	tall	_	JJ	JJ	_	20	pobj	_	_
26	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	4	det	_	_
2	reception	_	NN	NN	_	4	nn	_	_
3	staff	_	NN	NN	_	4	nn	_	_
4	member	_	NN	NN	_	11	nsubj	_	_
5	when	_	WRB	WRB	_	7	advmod	_	_
6	i	_	FW	FW	_	7	nsubj	_	_
7	checked	_	VBD	VBD	_	4	rcmod	_	_
8	in	_	RP	RP	_	7	prt	_	_
9	was	_	VBD	VBD	_	11	cop	_	_
10	very	_	RB	RB	_	11	advmod	_	_
11	positive	_	JJ	JJ	_	0	root	_	_
12	and	_	CC	CC	_	11	cc	_	_
13	upbeat	_	JJ	JJ	_	11	conj	_	_
14	!	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	6	nsubj	_	_
2	is	_	VBZ	VBZ	_	6	cop	_	_
3	a	_	DT	DT	_	6	det	_	_
4	fabulous	_	JJ	JJ	_	6	amod	_	_
5	charming	_	JJ	JJ	_	6	amod	_	_
6	place	_	NN	NN	_	0	root	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	stay	_	VB	VB	_	6	vmod	_	_
9	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
10	and	_	CC	CC	_	11	cc	_	_
11	eat	_	VBP	VBP	_	8	dep	_	_
12	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
13	--	_	:	:	_	0	erased	_	_
14	do	_	VBP	VBP	_	16	aux	_	_
15	n't	_	RB	RB	_	16	neg	_	_
16	forget	_	VB	VB	_	6	rcmod	_	_
17	the	_	DT	DT	_	20	det	_	_
18	29th	_	JJ	JJ	_	20	amod	_	_
19	floor	_	NN	NN	_	20	nn	_	_
20	bar	_	NN	NN	_	16	dobj	_	_
21	with	_	IN	IN	_	16	prep	_	_
22	outdoor	_	JJ	JJ	_	23	amod	_	_
23	space	_	NN	NN	_	21	pobj	_	_
24	for	_	IN	IN	_	23	prep	_	_
25	summer	_	NN	NN	_	24	pobj	_	_
26	.	_	.	.	_	0	erased	_	_

