1	5	_	CD	CD	_	2	num	_	_
2	hotel	_	NN	NN	_	5	nsubjpass	_	_
3	is	_	VBZ	VBZ	_	5	auxpass	_	_
4	conveniently	_	RB	RB	_	5	advmod	_	_
5	located	_	VBN	VBN	_	0	root	_	_
6	next	_	JJ	JJ	_	5	advmod	_	_
7	to	_	TO	TO	_	5	prep	_	_
8	Cumberland	_	NNP	NNP	_	10	nn	_	_
9	train	_	NN	NN	_	10	nn	_	_
10	station	_	NN	NN	_	7	pobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	9	cc	_	_
2	when	_	WRB	WRB	_	4	advmod	_	_
3	I	_	PRP	PRP	_	4	nsubj	_	_
4	mean	_	VBP	VBP	_	9	advcl	_	_
5	conveniently	_	RB	RB	_	4	advmod	_	_
6	located	_	VBN	VBN	_	5	dep	_	_
7	,	_	,	,	_	0	erased	_	_
8	I	_	PRP	PRP	_	9	nsubj	_	_
9	mean	_	VBP	VBP	_	0	root	_	_
10	we	_	PRP	PRP	_	11	nsubj	_	_
11	walked	_	VBD	VBD	_	9	ccomp	_	_
12	our	_	PRP$	PRP$	_	13	poss	_	_
13	asses	_	NNS	NNS	_	11	dobj	_	_
14	there	_	RB	RB	_	11	advmod	_	_
15	!	_	.	.	_	0	erased	_	_

1	:-RRB-	_	VBG	VBG	_	23	dep	_	_
2	Great	_	JJ	JJ	_	4	amod	_	_
3	room	_	NN	NN	_	4	nn	_	_
4	service	_	NN	NN	_	1	dobj	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	a	_	DT	DT	_	8	det	_	_
7	great	_	JJ	JJ	_	8	amod	_	_
8	gym	_	NN	NN	_	4	conj	_	_
9	with	_	IN	IN	_	8	prep	_	_
10	complimentary	_	JJ	JJ	_	12	amod	_	_
11	headphones	_	NNS	NNS	_	12	nn	_	_
12	fruits	_	NNS	NNS	_	9	pobj	_	_
13	,	_	,	,	_	0	erased	_	_
14	and	_	CC	CC	_	4	cc	_	_
15	water	_	NN	NN	_	4	conj	_	_
16	to	_	TO	TO	_	17	aux	_	_
17	burn	_	VB	VB	_	15	vmod	_	_
18	off	_	RP	RP	_	17	prt	_	_
19	all	_	PDT	PDT	_	21	predet	_	_
20	the	_	DT	DT	_	21	det	_	_
21	food	_	NN	NN	_	17	dobj	_	_
22	you	_	PRP	PRP	_	23	nsubj	_	_
23	ate	_	VBD	VBD	_	0	root	_	_
24	!	_	NNP	NNP	_	0	erased	_	_
25	Thank	_	VB	VB	_	23	ccomp	_	_
26	you	_	PRP	PRP	_	29	nsubj	_	_
27	Chicago	_	NNP	NNP	_	29	nn	_	_
28	Marriott	_	NNP	NNP	_	29	nn	_	_
29	O'hare	_	NNP	NNP	_	25	xcomp	_	_
30	.	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	3	mark	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
3	am	_	VBP	VBP	_	14	advcl	_	_
4	ever	_	RB	RB	_	3	advmod	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	go	_	VB	VB	_	3	xcomp	_	_
7	back	_	RP	RP	_	6	prt	_	_
8	to	_	TO	TO	_	6	prep	_	_
9	Chicago	_	NNP	NNP	_	8	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	I	_	PRP	PRP	_	14	nsubj	_	_
12	will	_	MD	MD	_	14	aux	_	_
13	definitely	_	RB	RB	_	14	advmod	_	_
14	stay	_	VB	VB	_	0	root	_	_
15	here	_	RB	RB	_	14	advmod	_	_
16	again	_	RB	RB	_	14	advmod	_	_
17	!	_	.	.	_	0	erased	_	_

1	:	_	NNP	NNP	_	0	erased	_	_
2	-RRB-	_	NNP	NNP	_	0	erased	_	_

