1	Wow	_	UH	UH	_	8	discourse	_	_
17	the	_	DT	DT	_	18	det	_	_
18	most	_	JJS	JJS	_	16	dobj	_	_
19	out	_	RP	RP	_	16	prt	_	_
20	of	_	IN	IN	_	16	prep	_	_
21	his/her	_	NN	NN	_	22	nn	_	_
22	experience	_	NN	NN	_	20	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	got	_	VBD	VBD	_	0	root	_	_
3	an	_	DT	DT	_	6	det	_	_
4	excellent	_	JJ	JJ	_	6	amod	_	_
5	group	_	NN	NN	_	6	nn	_	_
6	discount	_	NN	NN	_	2	dobj	_	_
7	and	_	CC	CC	_	2	cc	_	_
8	they	_	PRP	PRP	_	11	nsubj	_	_
9	were	_	VBD	VBD	_	11	cop	_	_
10	so	_	RB	RB	_	11	advmod	_	_
11	accommodating	_	VBG	VBG	_	2	conj	_	_
12	as	_	IN	IN	_	14	mark	_	_
13	I	_	PRP	PRP	_	14	nsubj	_	_
14	worked	_	VBD	VBD	_	11	dep	_	_
15	to	_	TO	TO	_	16	aux	_	_
16	get	_	VB	VB	_	14	xcomp	_	_
17	together	_	RP	RP	_	16	prt	_	_
18	all	_	PDT	PDT	_	20	dep	_	_
19	the	_	DT	DT	_	20	det	_	_
20	money	_	NN	NN	_	16	dobj	_	_
21	and	_	CC	CC	_	20	cc	_	_
22	info	_	NN	NN	_	20	conj	_	_
23	for	_	IN	IN	_	16	prep	_	_
24	the	_	DT	DT	_	26	det	_	_
25	26	_	CD	CD	_	26	num	_	_
26	people	_	NNS	NNS	_	23	pobj	_	_
27	in	_	IN	IN	_	26	prep	_	_
28	our	_	PRP$	PRP$	_	29	poss	_	_
29	party	_	NN	NN	_	27	pobj	_	_
30	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	days	_	NNS	NNS	_	3	nsubj	_	_
3	leading	_	VBG	VBG	_	11	vmod	_	_
4	up	_	RP	RP	_	3	prt	_	_
5	to	_	TO	TO	_	3	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	event	_	NN	NN	_	5	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	Karen	_	NNP	NNP	_	11	nsubj	_	_
10	was	_	VBD	VBD	_	11	cop	_	_
11	sure	_	JJ	JJ	_	0	root	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	contact	_	VB	VB	_	11	xcomp	_	_
14	me	_	PRP	PRP	_	13	dobj	_	_
15	with	_	IN	IN	_	13	prep	_	_
16	helpful	_	JJ	JJ	_	17	amod	_	_
17	tidbits	_	NNS	NNS	_	15	pobj	_	_
18	for	_	IN	IN	_	17	prep	_	_
19	the	_	DT	DT	_	20	det	_	_
20	day	_	NN	NN	_	18	pobj	_	_
21	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
22	wear	_	VB	VB	_	13	parataxis	_	_
23	comfortable	_	JJ	JJ	_	24	amod	_	_
24	clothing/shoes	_	NNS	NNS	_	22	dobj	_	_
25	,	_	,	,	_	0	erased	_	_
26	bring	_	VB	VB	_	22	dep	_	_
27	a	_	DT	DT	_	29	det	_	_
28	camera/camera	_	NN	NN	_	29	nn	_	_
29	phone	_	NN	NN	_	26	dobj	_	_
30	,	_	,	,	_	0	erased	_	_
31	etc.	_	FW	FW	_	29	appos	_	_
32	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
33	,	_	,	,	_	0	erased	_	_
34	and	_	CC	CC	_	13	cc	_	_
35	answer	_	VB	VB	_	13	conj	_	_
36	any	_	DT	DT	_	37	det	_	_
37	questions	_	NNS	NNS	_	35	dobj	_	_
38	I	_	PRP	PRP	_	39	nsubj	_	_
39	had	_	VBD	VBD	_	37	rcmod	_	_
40	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	night	_	NN	NN	_	6	nsubj	_	_
3	of	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	event	_	NN	NN	_	3	pobj	_	_
6	came	_	VBD	VBD	_	0	root	_	_
7	,	_	,	,	_	0	erased	_	_
8	and	_	CC	CC	_	6	cc	_	_
9	not	_	RB	RB	_	11	neg	_	_
10	one	_	CD	CD	_	11	num	_	_
11	person	_	NN	NN	_	21	nsubj	_	_
12	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
13	out	_	RB	RB	_	14	advmod	_	_
14	of	_	IN	IN	_	11	prep	_	_
15	26	_	CD	CD	_	14	pobj	_	_
16	,	_	,	,	_	0	erased	_	_
17	do	_	VBP	VBP	_	19	aux	_	_
18	n't	_	RB	RB	_	19	neg	_	_
19	forget	_	VB	VB	_	15	dep	_	_
20	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
21	had	_	VBD	VBD	_	6	conj	_	_
22	one	_	CD	CD	_	24	num	_	_
23	bad	_	JJ	JJ	_	24	amod	_	_
24	thing	_	NN	NN	_	21	dobj	_	_
25	to	_	TO	TO	_	26	aux	_	_
26	say	_	VB	VB	_	21	ccomp	_	_
27	about	_	IN	IN	_	26	prep	_	_
28	the	_	DT	DT	_	29	det	_	_
29	experience	_	NN	NN	_	27	pobj	_	_
30	or	_	CC	CC	_	29	cc	_	_
31	any	_	DT	DT	_	29	conj	_	_
32	of	_	IN	IN	_	31	prep	_	_
33	our	_	PRP$	PRP$	_	35	poss	_	_
34	three	_	CD	CD	_	35	num	_	_
35	guides	_	NNS	NNS	_	32	pobj	_	_
36	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
37	Lisa	_	NNP	NNP	_	35	dep	_	_
38	,	_	,	,	_	0	erased	_	_
39	Alison	_	NNP	NNP	_	37	conj	_	_
40	,	_	,	,	_	0	erased	_	_
41	and	_	CC	CC	_	37	cc	_	_
42	Andy	_	NNP	NNP	_	37	conj	_	_
43	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
44	.	_	.	.	_	0	erased	_	_

1	Lisa	_	NNP	NNP	_	9	nsubj	_	_
2	,	_	,	,	_	0	erased	_	_
3	Alison	_	NNP	NNP	_	1	conj	_	_
4	,	_	,	,	_	0	erased	_	_
5	and	_	CC	CC	_	1	cc	_	_
6	Andy	_	NNP	NNP	_	1	conj	_	_
7	were	_	VBD	VBD	_	9	cop	_	_
8	absolutely	_	RB	RB	_	9	advmod	_	_
9	amazing	_	JJ	JJ	_	0	root	_	_
10	!	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	4	nsubj	_	_
2	were	_	VBD	VBD	_	4	cop	_	_
3	incredibly	_	RB	RB	_	4	advmod	_	_
4	kind	_	JJ	JJ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	hilarious	_	JJ	JJ	_	4	conj	_	_
7	,	_	,	,	_	0	erased	_	_
8	and	_	CC	CC	_	4	cc	_	_
9	knowledgeable	_	JJ	JJ	_	4	conj	_	_
10	about	_	IN	IN	_	4	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	experience	_	NN	NN	_	10	pobj	_	_
13	and	_	CC	CC	_	12	cc	_	_
14	all	_	DT	DT	_	12	conj	_	_
15	that	_	WDT	WDT	_	16	nsubj	_	_
16	goes	_	VBZ	VBZ	_	14	rcmod	_	_
17	into	_	IN	IN	_	16	prep	_	_
18	a	_	DT	DT	_	21	det	_	_
19	great	_	JJ	JJ	_	21	amod	_	_
20	ghost	_	NN	NN	_	21	nn	_	_
21	tour	_	NN	NN	_	17	pobj	_	_
22	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	3	nsubj	_	_
2	even	_	RB	RB	_	3	advmod	_	_
3	gave	_	VBD	VBD	_	0	root	_	_
4	me	_	PRP	PRP	_	3	iobj	_	_
5	a	_	DT	DT	_	12	det	_	_
6	cute	_	JJ	JJ	_	7	dep	_	_
7	glow	_	NN	NN	_	12	amod	_	_
8	in	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	11	det	_	_
10	dark	_	JJ	JJ	_	11	amod	_	_
11	ghost	_	NN	NN	_	8	pobj	_	_
12	keychain	_	NN	NN	_	3	dobj	_	_
13	since	_	IN	IN	_	17	mark	_	_
14	it	_	PRP	PRP	_	17	nsubj	_	_
15	was	_	VBD	VBD	_	17	cop	_	_
16	my	_	PRP$	PRP$	_	17	poss	_	_
17	birthday	_	NN	NN	_	3	advcl	_	_
18	!	_	.	.	_	0	erased	_	_

1	:-RRB-	_	RB	RB	_	2	advmod	_	_
2	In	_	IN	IN	_	11	prep	_	_
3	terms	_	NNS	NNS	_	2	pobj	_	_
4	of	_	IN	IN	_	3	prep	_	_
5	the	_	DT	DT	_	6	det	_	_
6	experience	_	NN	NN	_	4	pobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	I	_	PRP	PRP	_	11	nsubj	_	_
9	can	_	MD	MD	_	11	aux	_	_
10	not	_	RB	RB	_	11	neg	_	_
11	tell	_	VB	VB	_	0	root	_	_
12	you	_	PRP	PRP	_	11	dobj	_	_
13	how	_	WRB	WRB	_	14	advmod	_	_
14	many	_	JJ	JJ	_	15	amod	_	_
15	people	_	NNS	NNS	_	17	nsubj	_	_
16	have	_	VBP	VBP	_	17	aux	_	_
17	heard	_	VBN	VBN	_	11	dep	_	_
18	our	_	PRP$	PRP$	_	19	poss	_	_
19	stories	_	NNS	NNS	_	17	dobj	_	_
20	from	_	IN	IN	_	17	prep	_	_
21	the	_	DT	DT	_	22	det	_	_
22	night	_	NN	NN	_	20	pobj	_	_
23	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
24	keep	_	VB	VB	_	22	dep	_	_
25	in	_	IN	IN	_	29	prep	_	_
26	mind	_	NN	NN	_	25	pobj	_	_
27	this	_	DT	DT	_	29	nsubj	_	_
28	was	_	VBD	VBD	_	29	cop	_	_
29	yesterday	_	NN	NN	_	24	dep	_	_
30	and	_	CC	CC	_	29	cc	_	_
31	I	_	PRP	PRP	_	34	nsubj	_	_
32	am	_	VBP	VBP	_	34	aux	_	_
33	already	_	RB	RB	_	34	advmod	_	_
34	writing	_	VBG	VBG	_	29	conj	_	_
35	a	_	DT	DT	_	37	det	_	_
36	glowing	_	JJ	JJ	_	37	amod	_	_
37	review	_	NN	NN	_	34	dobj	_	_
38	because	_	IN	IN	_	40	mark	_	_
39	that	_	DT	DT	_	40	nsubj	_	_
40	is	_	VBZ	VBZ	_	34	advcl	_	_
41	how	_	WRB	WRB	_	44	advmod	_	_
42	amazing	_	JJ	JJ	_	41	dep	_	_
43	this	_	DT	DT	_	44	nsubj	_	_
44	was	_	VBD	VBD	_	40	ccomp	_	_
45	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
46	,	_	,	,	_	0	erased	_	_
47	and	_	CC	CC	_	11	cc	_	_
48	now	_	RB	RB	_	49	advmod	_	_
49	want	_	VBP	VBP	_	11	conj	_	_
50	to	_	TO	TO	_	51	aux	_	_
51	go	_	VB	VB	_	49	xcomp	_	_
52	on	_	IN	IN	_	51	prep	_	_
53	the	_	DT	DT	_	54	det	_	_
54	tour	_	NN	NN	_	52	pobj	_	_
55	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	5	nsubj	_	_
2	definitely	_	RB	RB	_	5	advmod	_	_
3	have	_	VBP	VBP	_	5	aux	_	_
4	always	_	RB	RB	_	5	advmod	_	_
5	believed	_	VBN	VBN	_	0	root	_	_
6	in	_	IN	IN	_	5	prep	_	_
7	ghosts	_	NNS	NNS	_	6	pobj	_	_
8	and	_	CC	CC	_	5	cc	_	_
9	communicating	_	VBG	VBG	_	5	conj	_	_
10	with	_	IN	IN	_	9	prep	_	_
11	those	_	DT	DT	_	10	pobj	_	_
12	who	_	WP	WP	_	16	nsubj	_	_
13	are	_	VBP	VBP	_	16	aux	_	_
14	no	_	RB	RB	_	15	neg	_	_
15	longer	_	RB	RB	_	16	advmod	_	_
16	living	_	VBG	VBG	_	11	rcmod	_	_
17	,	_	,	,	_	0	erased	_	_
18	but	_	CC	CC	_	5	cc	_	_
19	I	_	PRP	PRP	_	24	nsubj	_	_
20	am	_	VBP	VBP	_	24	cop	_	_
21	certainly	_	RB	RB	_	24	advmod	_	_
22	more	_	JJR	JJR	_	23	mwe	_	_
23	of	_	IN	IN	_	24	quantmod	_	_
24	a	_	DT	DT	_	5	conj	_	_
25	see	_	VBP	VBP	_	24	rcmod	_	_
26	it	_	PRP	PRP	_	25	dobj	_	_
27	to	_	TO	TO	_	28	aux	_	_
28	believe	_	VB	VB	_	25	xcomp	_	_
29	it	_	PRP	PRP	_	30	nsubj	_	_
30	kind	_	NN	NN	_	28	xcomp	_	_
31	of	_	IN	IN	_	30	prep	_	_
32	girl	_	NN	NN	_	31	pobj	_	_
33	.	_	.	.	_	0	erased	_	_

1	Let	_	VB	VB	_	7	ccomp	_	_
2	me	_	PRP	PRP	_	3	nsubj	_	_
3	tell	_	VB	VB	_	1	ccomp	_	_
4	you	_	PRP	PRP	_	3	dobj	_	_
5	,	_	,	,	_	0	erased	_	_
6	I	_	PRP	PRP	_	7	nsubj	_	_
7	believe	_	VBP	VBP	_	0	root	_	_
8	it	_	PRP	PRP	_	7	dobj	_	_
9	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	materials	_	NNS	NNS	_	9	nsubj	_	_
3	we	_	PRP	PRP	_	4	nsubj	_	_
4	used	_	VBD	VBD	_	2	rcmod	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	communicate	_	VB	VB	_	4	xcomp	_	_
7	were	_	VBD	VBD	_	9	cop	_	_
8	so	_	RB	RB	_	9	advmod	_	_
9	cool	_	JJ	JJ	_	0	root	_	_
10	,	_	,	,	_	0	erased	_	_
11	and	_	CC	CC	_	9	cc	_	_
12	the	_	DT	DT	_	13	det	_	_
13	amount	_	NN	NN	_	28	nsubj	_	_
14	of	_	IN	IN	_	13	prep	_	_
15	activity	_	NN	NN	_	14	pobj	_	_
16	every	_	DT	DT	_	17	det	_	_
17	group	_	NN	NN	_	18	nsubj	_	_
18	experienced	_	VBD	VBD	_	15	rcmod	_	_
19	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
20	26	_	CD	CD	_	21	num	_	_
21	people	_	NNS	NNS	_	15	dep	_	_
22	divided	_	VBN	VBN	_	21	vmod	_	_
23	into	_	IN	IN	_	22	prep	_	_
24	4	_	CD	CD	_	25	num	_	_
25	groups	_	NNS	NNS	_	23	pobj	_	_
26	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
27	was	_	VBD	VBD	_	28	cop	_	_
28	astounding	_	JJ	JJ	_	9	conj	_	_
29	.	_	.	.	_	0	erased	_	_

1	In	_	IN	IN	_	31	prep	_	_
2	addition	_	NN	NN	_	1	pobj	_	_
3	to	_	TO	TO	_	2	prep	_	_
4	my	_	PRP$	PRP$	_	6	poss	_	_
5	two	_	CD	CD	_	6	num	_	_
6	cousins	_	NNS	NNS	_	3	pobj	_	_
7	in	_	IN	IN	_	6	prep	_	_
8	two	_	CD	CD	_	10	num	_	_
9	separate	_	JJ	JJ	_	10	amod	_	_
10	groups	_	NNS	NNS	_	7	pobj	_	_
11	communicating	_	VBG	VBG	_	10	vmod	_	_
12	with	_	IN	IN	_	11	prep	_	_
13	their	_	PRP$	PRP$	_	14	poss	_	_
14	mother	_	NN	NN	_	12	pobj	_	_
15	who	_	WP	WP	_	16	nsubj	_	_
16	passed	_	VBD	VBD	_	14	rcmod	_	_
17	away	_	RP	RP	_	16	prt	_	_
18	years	_	NNS	NNS	_	16	tmod	_	_
19	ago	_	IN	IN	_	16	advmod	_	_
20	,	_	,	,	_	0	erased	_	_
21	all	_	DT	DT	_	22	quantmod	_	_
22	three	_	CD	CD	_	31	nsubj	_	_
23	of	_	IN	IN	_	22	prep	_	_
24	us	_	PRP	PRP	_	23	pobj	_	_
25	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
26	in	_	IN	IN	_	22	prep	_	_
27	three	_	CD	CD	_	29	num	_	_
28	separate	_	JJ	JJ	_	29	amod	_	_
29	groups	_	NNS	NNS	_	26	pobj	_	_
30	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
31	communicated	_	VBZ	VBZ	_	0	root	_	_
32	with	_	IN	IN	_	31	prep	_	_
33	my	_	PRP$	PRP$	_	34	poss	_	_
34	grandma	_	NN	NN	_	32	pobj	_	_
35	who	_	WP	WP	_	36	nsubj	_	_
36	passed	_	VBD	VBD	_	34	rcmod	_	_
37	away	_	RP	RP	_	36	prt	_	_
38	2	_	CD	CD	_	39	num	_	_
39	years	_	NNS	NNS	_	40	npadvmod	_	_
40	ago	_	RB	RB	_	36	advmod	_	_
41	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	know	_	VBP	VBP	_	0	root	_	_
3	some	_	DT	DT	_	4	det	_	_
4	people	_	NNS	NNS	_	7	nsubj	_	_
5	may	_	MD	MD	_	7	aux	_	_
6	be	_	VB	VB	_	7	cop	_	_
7	skeptical	_	JJ	JJ	_	2	ccomp	_	_
8	,	_	,	,	_	0	erased	_	_
9	but	_	CC	CC	_	2	cc	_	_
10	I	_	PRP	PRP	_	13	nsubj	_	_
11	can	_	MD	MD	_	13	aux	_	_
12	honestly	_	RB	RB	_	13	advmod	_	_
13	say	_	VB	VB	_	2	conj	_	_
14	I	_	PRP	PRP	_	15	nsubj	_	_
15	got	_	VBD	VBD	_	13	ccomp	_	_
16	more	_	RBR	RBR	_	15	advmod	_	_
17	from	_	IN	IN	_	16	prep	_	_
18	this	_	DT	DT	_	19	det	_	_
19	experience	_	NN	NN	_	17	pobj	_	_
20	then	_	RB	RB	_	17	advmod	_	_
21	I	_	PRP	PRP	_	25	nsubj	_	_
22	ever	_	RB	RB	_	25	advmod	_	_
23	could	_	MD	MD	_	25	aux	_	_
24	have	_	VB	VB	_	25	aux	_	_
25	imagined	_	VBN	VBN	_	15	ccomp	_	_
26	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	know	_	VBP	VBP	_	0	root	_	_
3	I	_	PRP	PRP	_	6	nsubj	_	_
4	will	_	MD	MD	_	6	aux	_	_
5	be	_	VB	VB	_	6	aux	_	_
6	talking	_	VBG	VBG	_	2	ccomp	_	_
7	about	_	IN	IN	_	6	prep	_	_
8	this	_	DT	DT	_	7	pobj	_	_
9	for	_	IN	IN	_	8	prep	_	_
10	years	_	NNS	NNS	_	9	pobj	_	_
11	to	_	TO	TO	_	12	aux	_	_
12	come	_	VB	VB	_	6	xcomp	_	_
13	and	_	CC	CC	_	2	cc	_	_
14	I	_	PRP	PRP	_	17	nsubj	_	_
15	can	_	MD	MD	_	17	aux	_	_
16	not	_	RB	RB	_	17	neg	_	_
17	wait	_	VB	VB	_	2	conj	_	_
18	to	_	TO	TO	_	19	aux	_	_
19	go	_	VB	VB	_	17	xcomp	_	_
20	back	_	RB	RB	_	19	advmod	_	_
21	!	_	.	.	_	0	erased	_	_

1	-	_	:	:	_	0	erased	_	_
2	Sarah	_	NNP	NNP	_	4	nn	_	_
3	P.S.	_	NNP	NNP	_	4	nn	_	_
4	Sorry	_	NNP	NNP	_	0	root	_	_
5	for	_	IN	IN	_	4	prep	_	_
6	such	_	PDT	PDT	_	9	predet	_	_
7	a	_	DT	DT	_	9	det	_	_
8	long	_	JJ	JJ	_	9	amod	_	_
9	review	_	NN	NN	_	5	pobj	_	_
10	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	5	nsubj	_	_
2	have	_	VBP	VBP	_	5	aux	_	_
3	never	_	RB	RB	_	5	neg	_	_
4	even	_	RB	RB	_	5	advmod	_	_
5	written	_	VBN	VBN	_	0	root	_	_
6	a	_	DT	DT	_	8	det	_	_
7	YELP	_	NNP	NNP	_	8	nn	_	_
8	review	_	NN	NN	_	5	dobj	_	_
9	,	_	,	,	_	0	erased	_	_
10	as	_	IN	IN	_	12	mark	_	_
11	is	_	VBZ	VBZ	_	12	auxpass	_	_
12	indicated	_	VBN	VBN	_	8	dep	_	_
13	by	_	IN	IN	_	12	prep	_	_
14	me	_	PRP	PRP	_	15	nsubj	_	_
15	using	_	VBG	VBG	_	13	pcomp	_	_
16	my	_	PRP$	PRP$	_	17	poss	_	_
17	boyfriend	_	NN	NN	_	19	poss	_	_
18	's	_	POS	POS	_	17	possessive	_	_
19	account	_	NN	NN	_	15	dobj	_	_
20	to	_	TO	TO	_	21	aux	_	_
21	write	_	VB	VB	_	19	vmod	_	_
22	this	_	DT	DT	_	23	det	_	_
23	one	_	NN	NN	_	21	dobj	_	_
24	,	_	,	,	_	0	erased	_	_
25	but	_	CC	CC	_	27	cc	_	_
26	this	_	DT	DT	_	27	nsubj	_	_
27	is	_	VBZ	VBZ	_	12	ccomp	_	_
28	how	_	WRB	WRB	_	29	advmod	_	_
29	much	_	JJ	JJ	_	31	dep	_	_
30	I	_	PRP	PRP	_	31	nsubj	_	_
31	loved	_	VBD	VBD	_	27	ccomp	_	_
32	this	_	DT	DT	_	34	det	_	_
33	experience	_	NN	NN	_	34	nn	_	_
34	!!	_	NN	NN	_	31	dobj	_	_
35	:	_	:	:	_	0	erased	_	_
36	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_

