1	Wow	_	UH	UH	_	12	discourse	_	_
5	on	_	IN	IN	_	2	prep	_	_
6	priceline	_	NN	NN	_	5	pobj	_	_
7	the	_	DT	DT	_	9	det	_	_
8	first	_	JJ	JJ	_	9	amod	_	_
9	night	_	NN	NN	_	2	tmod	_	_
10	,	_	,	,	_	0	erased	_	_
11	my	_	PRP$	PRP$	_	12	poss	_	_
12	boyfriend	_	NN	NN	_	13	nsubj	_	_
13	got	_	VBD	VBD	_	2	conj	_	_
14	the	_	DT	DT	_	16	det	_	_
15	stomach	_	NN	NN	_	16	nn	_	_
16	flu	_	NN	NN	_	13	dobj	_	_
17	and	_	CC	CC	_	2	cc	_	_
18	we	_	PRP	PRP	_	19	nsubj	_	_
19	decided	_	VBD	VBD	_	2	conj	_	_
20	to	_	TO	TO	_	21	aux	_	_
21	stay	_	VB	VB	_	19	xcomp	_	_
22	another	_	DT	DT	_	23	det	_	_
23	night	_	NN	NN	_	21	tmod	_	_
24	for	_	IN	IN	_	27	mark	_	_
25	him	_	PRP	PRP	_	27	nsubj	_	_
26	to	_	TO	TO	_	27	aux	_	_
27	get	_	VB	VB	_	21	advcl	_	_
28	some	_	DT	DT	_	29	det	_	_
29	rest	_	NN	NN	_	27	dobj	_	_
30	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	3	nsubj	_	_
2	was	_	VBD	VBD	_	3	cop	_	_
3	cheaper	_	JJR	JJR	_	0	root	_	_
4	again	_	RB	RB	_	3	advmod	_	_
5	on	_	IN	IN	_	3	prep	_	_
6	priceline	_	NN	NN	_	5	pobj	_	_
7	so	_	IN	IN	_	9	mark	_	_
8	I	_	PRP	PRP	_	9	nsubj	_	_
9	tried	_	VBD	VBD	_	3	advcl	_	_
10	to	_	TO	TO	_	9	prep	_	_
11	book	_	NN	NN	_	10	pobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	and	_	CC	CC	_	9	cc	_	_
14	got	_	VBD	VBD	_	9	conj	_	_
15	a	_	DT	DT	_	17	det	_	_
16	different	_	JJ	JJ	_	17	amod	_	_
17	hotel	_	NN	NN	_	14	dobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	Moving	_	VBG	VBG	_	13	csubj	_	_
2	to	_	TO	TO	_	1	prep	_	_
3	a	_	DT	DT	_	5	det	_	_
4	different	_	JJ	JJ	_	5	amod	_	_
5	hotel	_	NN	NN	_	2	pobj	_	_
6	2km	_	CD	CD	_	7	npadvmod	_	_
7	away	_	RB	RB	_	8	advmod	_	_
8	in	_	IN	IN	_	1	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	snow	_	NN	NN	_	8	pobj	_	_
11	was	_	VBD	VBD	_	13	cop	_	_
12	not	_	RB	RB	_	13	neg	_	_
13	ideal	_	JJ	JJ	_	0	root	_	_
14	.	_	.	.	_	0	erased	_	_

1	As	_	IN	IN	_	4	mark	_	_
2	we	_	PRP	PRP	_	4	nsubj	_	_
3	were	_	VBD	VBD	_	4	aux	_	_
4	checking	_	VBG	VBG	_	7	advcl	_	_
5	out	_	RP	RP	_	4	prt	_	_
6	we	_	PRP	PRP	_	7	nsubj	_	_
7	told	_	VBD	VBD	_	0	root	_	_
8	the	_	DT	DT	_	9	det	_	_
9	concierge	_	NN	NN	_	7	dobj	_	_
10	what	_	WP	WP	_	12	nsubj	_	_
11	had	_	VBD	VBD	_	12	aux	_	_
12	happened	_	VBN	VBN	_	9	rcmod	_	_
13	and	_	CC	CC	_	7	cc	_	_
14	he	_	PRP	PRP	_	15	nsubj	_	_
15	insisted	_	VBD	VBD	_	7	conj	_	_
16	that	_	IN	IN	_	18	mark	_	_
17	we	_	PRP	PRP	_	18	nsubj	_	_
18	stay	_	VBP	VBP	_	15	ccomp	_	_
19	and	_	CC	CC	_	18	cc	_	_
20	they	_	PRP	PRP	_	22	nsubj	_	_
21	would	_	MD	MD	_	22	aux	_	_
22	transfer	_	VB	VB	_	18	conj	_	_
23	the	_	DT	DT	_	24	det	_	_
24	reservation	_	NN	NN	_	22	dobj	_	_
25	at	_	IN	IN	_	22	prep	_	_
26	no	_	DT	DT	_	28	neg	_	_
27	extra	_	JJ	JJ	_	28	amod	_	_
28	charge	_	NN	NN	_	25	pobj	_	_
29	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	6	det	_	_
2	friendliest	_	JJ	JJ	_	6	amod	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	most	_	RBS	RBS	_	5	advmod	_	_
5	helpful	_	JJ	JJ	_	2	conj	_	_
6	staff	_	NN	NN	_	0	root	_	_
7	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	will	_	MD	MD	_	3	aux	_	_
3	stay	_	VB	VB	_	8	dep	_	_
4	here	_	RB	RB	_	3	advmod	_	_
5	next	_	JJ	JJ	_	6	amod	_	_
6	time	_	NN	NN	_	3	dobj	_	_
7	we	_	PRP	PRP	_	8	nsubj	_	_
8	come	_	VBP	VBP	_	0	root	_	_
9	to	_	TO	TO	_	8	prep	_	_
10	Chicago	_	NNP	NNP	_	9	pobj	_	_
11	!	_	.	.	_	0	erased	_	_

