1	5	_	CD	CD	_	2	num	_	_
12	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
13	booked	_	VBN	VBN	_	11	dep	_	_
14	online	_	NN	NN	_	15	dep	_	_
15	in	_	IN	IN	_	13	prep	_	_
16	advance	_	NN	NN	_	15	pobj	_	_
17	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
18	.	_	.	.	_	0	erased	_	_

1	At	_	IN	IN	_	8	prep	_	_
2	the	_	DT	DT	_	3	det	_	_
3	airport	_	NN	NN	_	1	pobj	_	_
4	,	_	,	,	_	0	erased	_	_
5	I	_	PRP	PRP	_	8	nsubjpass	_	_
6	was	_	VBD	VBD	_	8	auxpass	_	_
7	promptly	_	RB	RB	_	8	advmod	_	_
8	picked	_	VBN	VBN	_	0	root	_	_
9	up	_	RP	RP	_	8	prt	_	_
10	by	_	IN	IN	_	8	dep	_	_
11	the	_	DT	DT	_	13	det	_	_
12	shuttle	_	NN	NN	_	13	nn	_	_
13	bus	_	NN	NN	_	10	pobj	_	_
14	and	_	CC	CC	_	10	cc	_	_
15	a	_	DT	DT	_	16	det	_	_
16	*	_	NN	NN	_	17	npadvmod	_	_
17	very	_	RB	RB	_	10	conj	_	_
18	*	_	SYM	SYM	_	26	dep	_	_
19	friendly	_	JJ	JJ	_	22	amod	_	_
20	and	_	CC	CC	_	19	cc	_	_
21	outgoing	_	JJ	JJ	_	19	conj	_	_
22	driver	_	NN	NN	_	26	nsubj	_	_
23	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
24	Tanya	_	NNP	NNP	_	22	appos	_	_
25	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
26	made	_	VBD	VBD	_	10	conj	_	_
27	sure	_	JJ	JJ	_	26	acomp	_	_
28	that	_	IN	IN	_	30	mark	_	_
29	everyone	_	NN	NN	_	30	nsubj	_	_
30	felt	_	VBD	VBD	_	26	ccomp	_	_
31	welcome	_	JJ	JJ	_	30	acomp	_	_
32	.	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	3	mark	_	_
2	there	_	EX	EX	_	3	expl	_	_
3	is	_	VBZ	VBZ	_	10	advcl	_	_
4	any	_	DT	DT	_	5	det	_	_
5	feedback	_	NN	NN	_	3	nsubj	_	_
6	for	_	IN	IN	_	5	prep	_	_
7	improvement	_	NN	NN	_	6	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	it	_	PRP	PRP	_	10	nsubj	_	_
10	is	_	VBZ	VBZ	_	31	ccomp	_	_
11	maybe	_	RB	RB	_	10	advmod	_	_
12	that	_	IN	IN	_	15	mark	_	_
13	Tanya	_	NNP	NNP	_	15	nsubj	_	_
14	could	_	MD	MD	_	15	aux	_	_
15	dial	_	VB	VB	_	10	ccomp	_	_
16	back	_	RP	RP	_	15	prt	_	_
17	her	_	PRP$	PRP$	_	18	poss	_	_
18	friendliness	_	NN	NN	_	15	dobj	_	_
19	just	_	RB	RB	_	15	advmod	_	_
20	a	_	DT	DT	_	21	det	_	_
21	click	_	NN	NN	_	19	pobj	_	_
22	...	_	:	:	_	0	erased	_	_
23	some	_	DT	DT	_	24	det	_	_
24	people	_	NNS	NNS	_	26	nsubj	_	_
25	might	_	MD	MD	_	26	aux	_	_
26	find	_	VB	VB	_	10	parataxis	_	_
27	it	_	PRP	PRP	_	28	nsubj	_	_
28	off-putting	_	JJ	JJ	_	26	xcomp	_	_
29	,	_	,	,	_	0	erased	_	_
30	I	_	PRP	PRP	_	31	nsubj	_	_
31	thought	_	VBD	VBD	_	0	root	_	_
32	it	_	PRP	PRP	_	34	nsubj	_	_
33	was	_	VBD	VBD	_	34	cop	_	_
34	fine	_	JJ	JJ	_	31	ccomp	_	_
35	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	arrived	_	VBD	VBD	_	0	root	_	_
3	at	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	7	det	_	_
5	car	_	NN	NN	_	7	nn	_	_
6	rental	_	NN	NN	_	7	nn	_	_
7	agency	_	NN	NN	_	3	pobj	_	_
8	and	_	CC	CC	_	2	cc	_	_
9	was	_	VBD	VBD	_	11	auxpass	_	_
10	promptly	_	RB	RB	_	11	advmod	_	_
11	greeted	_	VBN	VBN	_	2	conj	_	_
12	as	_	IN	IN	_	14	mark	_	_
13	I	_	PRP	PRP	_	14	nsubj	_	_
14	stepped	_	VBD	VBD	_	11	advcl	_	_
15	off	_	RP	RP	_	14	prt	_	_
16	the	_	DT	DT	_	17	det	_	_
17	shuttle	_	NN	NN	_	14	dobj	_	_
18	,	_	,	,	_	0	erased	_	_
19	my	_	PRP$	PRP$	_	20	poss	_	_
20	luggage	_	NN	NN	_	22	nsubjpass	_	_
21	was	_	VBD	VBD	_	22	auxpass	_	_
22	brought	_	VBN	VBN	_	2	dep	_	_
23	in	_	IN	IN	_	22	prep	_	_
24	for	_	IN	IN	_	23	pcomp	_	_
25	me	_	PRP	PRP	_	24	pobj	_	_
26	,	_	,	,	_	0	erased	_	_
27	and	_	CC	CC	_	2	cc	_	_
28	I	_	PRP	PRP	_	30	nsubjpass	_	_
29	was	_	VBD	VBD	_	30	auxpass	_	_
30	handed	_	VBN	VBN	_	2	conj	_	_
31	a	_	DT	DT	_	33	det	_	_
32	cold	_	JJ	JJ	_	33	amod	_	_
33	bottle	_	NN	NN	_	30	dobj	_	_
34	of	_	IN	IN	_	33	prep	_	_
35	water	_	NN	NN	_	34	pobj	_	_
36	.	_	.	.	_	0	erased	_	_

1	Nice	_	VB	VB	_	0	root	_	_
2	!	_	.	.	_	0	erased	_	_

1	All	_	DT	DT	_	5	nsubj	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	those	_	DT	DT	_	4	det	_	_
4	things	_	NNS	NNS	_	2	pobj	_	_
5	show	_	VBP	VBP	_	0	root	_	_
6	that	_	IN	IN	_	9	mark	_	_
7	Enterprise	_	NNP	NNP	_	9	nsubj	_	_
8	is	_	VBZ	VBZ	_	9	aux	_	_
9	working	_	VBG	VBG	_	5	ccomp	_	_
10	hard	_	RB	RB	_	9	advmod	_	_
11	on	_	IN	IN	_	9	prep	_	_
12	giving	_	VBG	VBG	_	11	pcomp	_	_
13	their	_	PRP$	PRP$	_	14	poss	_	_
14	customers	_	NNS	NNS	_	12	dep	_	_
15	a	_	DT	DT	_	17	det	_	_
16	great	_	JJ	JJ	_	17	amod	_	_
17	experience	_	NN	NN	_	12	dobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	Once	_	IN	IN	_	9	mark	_	_
2	at	_	IN	IN	_	9	prep	_	_
3	the	_	DT	DT	_	4	det	_	_
4	counter	_	NN	NN	_	2	pobj	_	_
5	,	_	,	,	_	0	erased	_	_
6	I	_	PRP	PRP	_	9	nsubjpass	_	_
7	was	_	VBD	VBD	_	9	auxpass	_	_
8	quickly	_	RB	RB	_	9	advmod	_	_
9	processed	_	VBN	VBN	_	19	advcl	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	given	_	VBN	VBN	_	9	conj	_	_
12	my	_	PRP$	PRP$	_	13	poss	_	_
13	car	_	NN	NN	_	9	dobj	_	_
14	,	_	,	,	_	0	erased	_	_
15	my	_	PRP$	PRP$	_	16	poss	_	_
16	luggage	_	NN	NN	_	19	nsubjpass	_	_
17	was	_	VBD	VBD	_	19	auxpass	_	_
18	again	_	RB	RB	_	19	advmod	_	_
19	brought	_	VBN	VBN	_	0	root	_	_
20	out	_	RP	RP	_	19	prt	_	_
21	to	_	TO	TO	_	19	prep	_	_
22	the	_	DT	DT	_	23	det	_	_
23	car	_	NN	NN	_	21	pobj	_	_
24	for	_	IN	IN	_	23	prep	_	_
25	me	_	PRP	PRP	_	24	pobj	_	_
26	,	_	,	,	_	0	erased	_	_
27	and	_	CC	CC	_	19	cc	_	_
28	the	_	DT	DT	_	29	det	_	_
29	agent	_	NN	NN	_	30	nsubj	_	_
30	made	_	VBD	VBD	_	19	conj	_	_
31	sure	_	JJ	JJ	_	30	acomp	_	_
32	that	_	IN	IN	_	34	mark	_	_
33	I	_	PRP	PRP	_	34	nsubj	_	_
34	understood	_	VBD	VBD	_	30	ccomp	_	_
35	how	_	WRB	WRB	_	37	advmod	_	_
36	to	_	TO	TO	_	37	aux	_	_
37	operate	_	VB	VB	_	34	ccomp	_	_
38	the	_	DT	DT	_	40	det	_	_
39	convertible	_	JJ	JJ	_	40	amod	_	_
40	top	_	NN	NN	_	37	dobj	_	_
41	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
42	free	_	JJ	JJ	_	44	amod	_	_
43	car	_	NN	NN	_	44	nn	_	_
44	upgrade	_	NN	NN	_	37	dep	_	_
45	!	_	.	.	_	0	erased	_	_
46	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
47	.	_	.	.	_	0	erased	_	_

1	When	_	WRB	WRB	_	3	advmod	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
3	drove	_	VBD	VBD	_	19	advcl	_	_
4	out	_	RP	RP	_	3	prt	_	_
5	of	_	IN	IN	_	3	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	lot	_	NN	NN	_	5	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	the	_	DT	DT	_	10	det	_	_
10	attendant	_	NN	NN	_	19	nsubj	_	_
11	that	_	WDT	WDT	_	12	nsubj	_	_
12	checked	_	VBD	VBD	_	10	rcmod	_	_
13	the	_	DT	DT	_	15	det	_	_
14	rental	_	JJ	JJ	_	15	amod	_	_
15	paperwork	_	NN	NN	_	12	dobj	_	_
16	was	_	VBD	VBD	_	19	cop	_	_
17	also	_	RB	RB	_	19	advmod	_	_
18	really	_	RB	RB	_	19	advmod	_	_
19	friendly	_	JJ	JJ	_	0	root	_	_
20	and	_	CC	CC	_	19	cc	_	_
21	made	_	VBD	VBD	_	19	conj	_	_
22	sure	_	JJ	JJ	_	21	acomp	_	_
23	that	_	IN	IN	_	25	mark	_	_
24	I	_	PRP	PRP	_	25	nsubj	_	_
25	knew	_	VBD	VBD	_	22	ccomp	_	_
26	where	_	WRB	WRB	_	29	advmod	_	_
27	I	_	PRP	PRP	_	29	nsubj	_	_
28	was	_	VBD	VBD	_	29	aux	_	_
29	going	_	VBG	VBG	_	25	ccomp	_	_
30	.	_	.	.	_	0	erased	_	_

1	Upon	_	IN	IN	_	5	prep	_	_
2	return	_	NN	NN	_	1	pobj	_	_
3	,	_	,	,	_	0	erased	_	_
4	I	_	PRP	PRP	_	5	nsubj	_	_
5	pulled	_	VBD	VBD	_	0	root	_	_
6	the	_	DT	DT	_	7	det	_	_
7	car	_	NN	NN	_	5	dobj	_	_
8	into	_	IN	IN	_	5	prep	_	_
9	the	_	DT	DT	_	11	det	_	_
10	return	_	NN	NN	_	11	nn	_	_
11	lane	_	NN	NN	_	8	pobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	and	_	CC	CC	_	5	cc	_	_
14	got	_	VBD	VBD	_	5	conj	_	_
15	out	_	RP	RP	_	14	prt	_	_
16	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubjpass	_	_
2	was	_	VBD	VBD	_	3	auxpass	_	_
3	greeted	_	VBN	VBN	_	0	root	_	_
4	by	_	IN	IN	_	3	prep	_	_
5	name	_	NN	NN	_	4	pobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	handed	_	VBN	VBN	_	5	vmod	_	_
8	a	_	DT	DT	_	9	det	_	_
9	receipt	_	NN	NN	_	7	dobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	and	_	CC	CC	_	3	cc	_	_
12	my	_	PRP$	PRP$	_	13	poss	_	_
13	luggage	_	NN	NN	_	16	nsubjpass	_	_
14	was	_	VBD	VBD	_	16	auxpass	_	_
15	again	_	RB	RB	_	16	advmod	_	_
16	taken	_	VBN	VBN	_	3	conj	_	_
17	for	_	IN	IN	_	16	prep	_	_
18	me	_	PRP	PRP	_	17	pobj	_	_
19	to	_	TO	TO	_	16	prep	_	_
20	the	_	DT	DT	_	22	det	_	_
21	shuttle	_	NN	NN	_	22	nn	_	_
22	bus	_	NN	NN	_	19	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	4	nsubj	_	_
2	ca	_	MD	MD	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	ask	_	VB	VB	_	0	root	_	_
5	for	_	IN	IN	_	4	prep	_	_
6	a	_	DT	DT	_	10	det	_	_
7	better	_	JJR	JJR	_	10	amod	_	_
8	rental	_	JJ	JJ	_	10	amod	_	_
9	car	_	NN	NN	_	10	nn	_	_
10	experience	_	NN	NN	_	5	pobj	_	_
11	than	_	IN	IN	_	10	prep	_	_
12	that	_	DT	DT	_	11	pobj	_	_
13	!	_	.	.	_	0	erased	_	_

