1	Okay	_	UH	UH	_	7	discourse	_	_
27	$	_	CD	CD	_	26	number	_	_
28	to	_	TO	TO	_	29	aux	_	_
29	shop	_	VB	VB	_	22	vmod	_	_
30	the	_	DT	DT	_	32	det	_	_
31	Mag	_	NNP	NNP	_	32	nn	_	_
32	Mile	_	NNP	NNP	_	29	dobj	_	_
33	and	_	CC	CC	_	9	cc	_	_
34	do	_	VBP	VBP	_	36	aux	_	_
35	n't	_	RB	RB	_	36	neg	_	_
36	waste	_	VB	VB	_	9	conj	_	_
37	it	_	PRP	PRP	_	36	dobj	_	_
38	on	_	IN	IN	_	36	prep	_	_
39	where	_	WRB	WRB	_	41	advmod	_	_
40	you	_	PRP	PRP	_	41	nsubj	_	_
41	sleep	_	VBP	VBP	_	38	pcomp	_	_
42	!	_	.	.	_	0	erased	_	_

