1	No	_	UH	UH	_	9	discourse	_	_
18	that	_	WDT	WDT	_	20	nsubj	_	_
19	would	_	MD	MD	_	20	aux	_	_
20	rent	_	VB	VB	_	17	rcmod	_	_
21	to	_	TO	TO	_	20	prep	_	_
22	me	_	PRP	PRP	_	21	pobj	_	_
23	due	_	JJ	JJ	_	20	acomp	_	_
24	to	_	TO	TO	_	23	prep	_	_
25	my	_	PRP$	PRP$	_	26	poss	_	_
26	age	_	NN	NN	_	24	pobj	_	_
27	but	_	CC	CC	_	4	cc	_	_
28	they	_	PRP	PRP	_	31	nsubj	_	_
29	were	_	VBD	VBD	_	31	cop	_	_
30	JERKS	_	NNP	NNP	_	31	nn	_	_
31	!!	_	NNP	NNP	_	4	conj	_	_
32	I	_	PRP	PRP	_	34	nsubj	_	_
33	've	_	VBP	VBP	_	34	aux	_	_
34	tried	_	VBN	VBN	_	31	rcmod	_	_
35	other	_	JJ	JJ	_	36	amod	_	_
36	companies	_	NNS	NNS	_	34	dobj	_	_
37	and	_	CC	CC	_	4	cc	_	_
38	other	_	JJ	JJ	_	39	amod	_	_
39	locations	_	NNS	NNS	_	44	nsubj	_	_
40	but	_	CC	CC	_	39	prep	_	_
41	none	_	NN	NN	_	40	pobj	_	_
42	have	_	VBP	VBP	_	44	aux	_	_
43	been	_	VBN	VBN	_	44	cop	_	_
44	able	_	JJ	JJ	_	4	conj	_	_
45	to	_	TO	TO	_	46	aux	_	_
46	compare	_	VB	VB	_	44	xcomp	_	_
47	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	was	_	VBD	VBD	_	0	root	_	_
3	even	_	RB	RB	_	7	advmod	_	_
4	that	_	IN	IN	_	7	mark	_	_
5	time	_	NN	NN	_	7	nsubj	_	_
6	I	_	PRP	PRP	_	7	nsubj	_	_
7	returned	_	VBD	VBD	_	2	dep	_	_
8	a	_	DT	DT	_	10	det	_	_
9	PT	_	NNP	NNP	_	10	nn	_	_
10	Cruiser	_	NNP	NNP	_	12	nsubj	_	_
11	pretty	_	RB	RB	_	12	advmod	_	_
12	dented	_	JJ	JJ	_	7	xcomp	_	_
13	up	_	RB	RB	_	12	advmod	_	_
14	,	_	,	,	_	0	erased	_	_
15	handed	_	VBD	VBD	_	7	conj	_	_
16	the	_	DT	DT	_	17	det	_	_
17	keys	_	NNS	NNS	_	15	dobj	_	_
18	over	_	RP	RP	_	15	prt	_	_
19	and	_	CC	CC	_	7	cc	_	_
20	was	_	VBD	VBD	_	7	conj	_	_
21	on	_	IN	IN	_	20	prep	_	_
22	my	_	PRP$	PRP$	_	23	poss	_	_
23	way	_	NN	NN	_	21	pobj	_	_
24	in	_	IN	IN	_	23	prep	_	_
25	less	_	JJR	JJR	_	26	mwe	_	_
26	than	_	IN	IN	_	27	quantmod	_	_
27	5	_	CD	CD	_	28	num	_	_
28	minutes	_	NNS	NNS	_	24	pobj	_	_
29	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	've	_	VBP	VBP	_	4	aux	_	_
3	never	_	RB	RB	_	4	neg	_	_
4	had	_	VBN	VBN	_	0	root	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	worry	_	VB	VB	_	4	xcomp	_	_
7	about	_	IN	IN	_	6	prep	_	_
8	any	_	DT	DT	_	9	det	_	_
9	aspect	_	NN	NN	_	7	pobj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	my	_	PRP$	PRP$	_	12	poss	_	_
12	reservation	_	NN	NN	_	10	pobj	_	_
13	and	_	CC	CC	_	6	cc	_	_
14	usually	_	RB	RB	_	15	advmod	_	_
15	get	_	VB	VB	_	6	conj	_	_
16	a	_	DT	DT	_	18	det	_	_
17	free	_	JJ	JJ	_	18	amod	_	_
18	upgrade	_	NN	NN	_	15	dobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	3	nsubj	_	_
3	Rocks	_	VBZ	VBZ	_	0	root	_	_
4	!	_	.	.	_	0	erased	_	_

