1	5	_	CD	CD	_	2	num	_	_
13	to	_	TO	TO	_	14	aux	_	_
14	cool	_	VB	VB	_	11	xcomp	_	_
15	places	_	NNS	NNS	_	14	dobj	_	_
16	off	_	IN	IN	_	14	prep	_	_
17	the	_	DT	DT	_	19	det	_	_
18	beaten	_	JJ	JJ	_	19	amod	_	_
19	path	_	NN	NN	_	16	pobj	_	_
20	and	_	CC	CC	_	11	cc	_	_
21	she	_	PRP	PRP	_	23	nsubj	_	_
22	was	_	VBD	VBD	_	23	cop	_	_
23	full	_	JJ	JJ	_	11	conj	_	_
24	of	_	IN	IN	_	23	prep	_	_
25	information	_	NN	NN	_	24	pobj	_	_
26	about	_	IN	IN	_	23	prep	_	_
27	the	_	DT	DT	_	28	det	_	_
28	city	_	NN	NN	_	26	pobj	_	_
29	and	_	CC	CC	_	28	cc	_	_
30	the	_	DT	DT	_	31	det	_	_
31	sites	_	NNS	NNS	_	28	conj	_	_
32	we	_	PRP	PRP	_	34	nsubj	_	_
33	were	_	VBD	VBD	_	34	aux	_	_
34	seeing	_	VBG	VBG	_	0	root	_	_
35	.	_	.	.	_	0	erased	_	_

1	That	_	DT	DT	_	2	nsubj	_	_
2	said	_	VBD	VBD	_	5	ccomp	_	_
3	,	_	,	,	_	0	erased	_	_
4	we	_	PRP	PRP	_	5	nsubj	_	_
5	took	_	VBD	VBD	_	0	root	_	_
6	this	_	DT	DT	_	7	det	_	_
7	tour	_	NN	NN	_	5	iobj	_	_
8	another	_	DT	DT	_	9	det	_	_
9	time	_	NN	NN	_	5	dobj	_	_
10	with	_	IN	IN	_	5	prep	_	_
11	some	_	DT	DT	_	12	det	_	_
12	friends	_	NNS	NNS	_	10	pobj	_	_
13	and	_	CC	CC	_	5	cc	_	_
14	were	_	VBD	VBD	_	16	auxpass	_	_
15	so	_	RB	RB	_	16	advmod	_	_
16	disappointed	_	VBN	VBN	_	5	conj	_	_
17	to	_	TO	TO	_	18	aux	_	_
18	have	_	VB	VB	_	16	xcomp	_	_
19	a	_	DT	DT	_	20	det	_	_
20	guide	_	NN	NN	_	18	dobj	_	_
21	who	_	WP	WP	_	24	nsubj	_	_
22	basically	_	RB	RB	_	24	advmod	_	_
23	just	_	RB	RB	_	24	advmod	_	_
24	phoned	_	VBD	VBD	_	20	rcmod	_	_
25	it	_	PRP	PRP	_	24	dobj	_	_
26	in	_	IN	IN	_	24	prep	_	_
27	-	_	:	:	_	0	erased	_	_
28	almost	_	RB	RB	_	30	advmod	_	_
29	no	_	DT	DT	_	30	neg	_	_
30	narration	_	NN	NN	_	36	nsubj	_	_
31	,	_	,	,	_	0	erased	_	_
32	long	_	JJ	JJ	_	33	amod	_	_
33	breaks	_	NNS	NNS	_	30	conj	_	_
34	and	_	CC	CC	_	30	cc	_	_
35	constantly	_	NNP	NNP	_	30	conj	_	_
36	watching	_	VBG	VBG	_	26	dep	_	_
37	his	_	PRP$	PRP$	_	38	poss	_	_
38	watch	_	NN	NN	_	36	dobj	_	_
39	.	_	.	.	_	0	erased	_	_

1	Bottom	_	JJ	JJ	_	5	amod	_	_
2	line	_	NN	NN	_	5	nn	_	_
3	,	_	,	,	_	0	erased	_	_
4	great	_	JJ	JJ	_	5	amod	_	_
5	tour	_	NN	NN	_	7	nsubj	_	_
6	but	_	CC	CC	_	7	advmod	_	_
7	insist	_	VBP	VBP	_	0	root	_	_
8	on	_	IN	IN	_	7	prep	_	_
9	having	_	VBG	VBG	_	8	pcomp	_	_
10	a	_	DT	DT	_	11	det	_	_
11	guide	_	NN	NN	_	9	dobj	_	_
12	who	_	WP	WP	_	14	nsubj	_	_
13	will	_	MD	MD	_	14	aux	_	_
14	give	_	VB	VB	_	11	rcmod	_	_
15	you	_	PRP	PRP	_	14	iobj	_	_
16	your	_	PRP$	PRP$	_	17	poss	_	_
17	money	_	NN	NN	_	19	poss	_	_
18	's	_	POS	POS	_	17	possessive	_	_
19	worth	_	NN	NN	_	14	dobj	_	_
20	.	_	.	.	_	0	erased	_	_

