1	One	_	CD	CD	_	2	num	_	_
3	stepped	_	VBD	VBD	_	11	advcl	_	_
4	foot	_	NN	NN	_	3	dobj	_	_
5	in	_	IN	IN	_	3	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	room	_	NN	NN	_	5	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	I	_	PRP	PRP	_	11	nsubj	_	_
10	never	_	RB	RB	_	11	neg	_	_
11	wanted	_	VBD	VBD	_	0	root	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	leave	_	VB	VB	_	11	xcomp	_	_
14	again	_	RB	RB	_	13	advmod	_	_
15	.	_	.	.	_	0	erased	_	_

1	Plush	_	JJ	JJ	_	3	amod	_	_
2	zebra	_	NN	NN	_	3	nn	_	_
3	print	_	NN	NN	_	4	nsubj	_	_
4	chairs	_	VBZ	VBZ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	a	_	DT	DT	_	9	det	_	_
7	beautifully	_	RB	RB	_	8	advmod	_	_
8	designed	_	VBN	VBN	_	9	amod	_	_
9	bathroom	_	NN	NN	_	4	dobj	_	_
10	with	_	IN	IN	_	9	prep	_	_
11	a	_	DT	DT	_	15	det	_	_
12	huge	_	JJ	JJ	_	15	amod	_	_
13	sparkling	_	JJ	JJ	_	15	amod	_	_
14	clean	_	JJ	JJ	_	15	amod	_	_
15	bath	_	NN	NN	_	10	pobj	_	_
16	,	_	,	,	_	0	erased	_	_
17	and	_	CC	CC	_	9	cc	_	_
18	the	_	DT	DT	_	20	det	_	_
19	best	_	JJS	JJS	_	20	amod	_	_
20	part	_	NN	NN	_	9	conj	_	_
21	of	_	IN	IN	_	20	prep	_	_
22	the	_	DT	DT	_	23	det	_	_
23	room	_	NN	NN	_	21	pobj	_	_
24	,	_	,	,	_	0	erased	_	_
25	the	_	DT	DT	_	27	det	_	_
26	plush	_	JJ	JJ	_	27	amod	_	_
27	bed	_	NN	NN	_	23	appos	_	_
28	that	_	IN	IN	_	30	mark	_	_
29	I	_	PRP	PRP	_	30	nsubj	_	_
30	had	_	VBD	VBD	_	27	dep	_	_
31	to	_	TO	TO	_	32	aux	_	_
32	drag	_	VB	VB	_	30	xcomp	_	_
33	myself	_	PRP	PRP	_	32	dobj	_	_
34	out	_	RP	RP	_	32	prt	_	_
35	of	_	IN	IN	_	32	prep	_	_
36	the	_	DT	DT	_	38	det	_	_
37	next	_	JJ	JJ	_	38	amod	_	_
38	morning	_	NN	NN	_	35	pobj	_	_
39	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	've	_	VBP	VBP	_	4	aux	_	_
3	never	_	RB	RB	_	4	neg	_	_
4	ordered	_	VBN	VBN	_	0	root	_	_
5	room	_	NN	NN	_	6	nn	_	_
6	service	_	NN	NN	_	4	dobj	_	_
7	before	_	IN	IN	_	4	prep	_	_
8	but	_	CC	CC	_	11	cc	_	_
9	I	_	PRP	PRP	_	11	nsubj	_	_
10	almost	_	RB	RB	_	11	advmod	_	_
11	did	_	VBD	VBD	_	7	pcomp	_	_
12	just	_	RB	RB	_	16	advmod	_	_
13	so	_	IN	IN	_	16	mark	_	_
14	I	_	PRP	PRP	_	16	nsubj	_	_
15	could	_	MD	MD	_	16	aux	_	_
16	stay	_	VB	VB	_	11	advcl	_	_
17	in	_	IN	IN	_	16	prep	_	_
18	bed	_	NN	NN	_	17	pobj	_	_
19	longer	_	RBR	RBR	_	16	advmod	_	_
20	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	live	_	VBP	VBP	_	32	ccomp	_	_
3	in	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	city	_	NN	NN	_	3	pobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	so	_	IN	IN	_	14	mark	_	_
8	my	_	PRP$	PRP$	_	9	poss	_	_
9	needs	_	NNS	NNS	_	14	nsubj	_	_
10	for	_	IN	IN	_	9	prep	_	_
11	hotel	_	NN	NN	_	12	nn	_	_
12	accommodations	_	NNS	NNS	_	10	pobj	_	_
13	are	_	VBP	VBP	_	14	cop	_	_
14	few	_	JJ	JJ	_	2	advcl	_	_
15	and	_	CC	CC	_	17	cc	_	_
16	far	_	RB	RB	_	17	advmod	_	_
17	between	_	IN	IN	_	14	advmod	_	_
18	,	_	,	,	_	0	erased	_	_
19	but	_	CC	CC	_	2	cc	_	_
20	should	_	MD	MD	_	23	aux	_	_
21	I	_	PRP	PRP	_	23	nsubj	_	_
22	ever	_	RB	RB	_	23	advmod	_	_
23	need	_	VB	VB	_	2	conj	_	_
24	a	_	DT	DT	_	25	det	_	_
25	room	_	NN	NN	_	23	dobj	_	_
26	again	_	RB	RB	_	23	advmod	_	_
27	,	_	,	,	_	0	erased	_	_
28	I	_	PRP	PRP	_	32	nsubj	_	_
29	will	_	MD	MD	_	32	aux	_	_
30	definitely	_	RB	RB	_	32	advmod	_	_
31	be	_	VB	VB	_	32	aux	_	_
32	staying	_	VBG	VBG	_	0	root	_	_
33	at	_	IN	IN	_	32	prep	_	_
34	Avenue	_	NNP	NNP	_	35	nn	_	_
35	Hotel	_	NNP	NNP	_	33	pobj	_	_
36	.	_	.	.	_	0	erased	_	_

