1	Hello	_	UH	UH	_	7	discourse	_	_
13	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	Trolley	_	NNP	NNP	_	3	nn	_	_
3	Driver	_	NN	NN	_	95	nsubj	_	_
4	Bill	_	NNP	NNP	_	5	nsubj	_	_
5	made	_	VBD	VBD	_	95	parataxis	_	_
6	an	_	DT	DT	_	8	det	_	_
7	unforgettable	_	JJ	JJ	_	8	amod	_	_
8	Impression	_	NN	NN	_	5	dobj	_	_
9	on	_	IN	IN	_	5	prep	_	_
10	our	_	PRP$	PRP$	_	11	poss	_	_
11	Family	_	NN	NN	_	9	pobj	_	_
12	When	_	WRB	WRB	_	14	advmod	_	_
13	we	_	PRP	PRP	_	14	nsubj	_	_
14	got	_	VBD	VBD	_	5	advcl	_	_
15	on	_	IN	IN	_	19	prep	_	_
16	his	_	PRP$	PRP$	_	17	poss	_	_
17	trolley	_	NN	NN	_	15	pobj	_	_
18	he	_	PRP	PRP	_	19	nsubj	_	_
19	made	_	VBD	VBD	_	14	dep	_	_
20	our	_	PRP$	PRP$	_	21	poss	_	_
21	family	_	NN	NN	_	22	nsubj	_	_
22	feel	_	VBP	VBP	_	19	ccomp	_	_
23	welcome	_	JJ	JJ	_	22	acomp	_	_
24	and	_	CC	CC	_	19	cc	_	_
25	he	_	PRP	PRP	_	28	nsubj	_	_
26	was	_	VBD	VBD	_	28	cop	_	_
27	very	_	RB	RB	_	28	advmod	_	_
28	personable	_	JJ	JJ	_	19	conj	_	_
29	,	_	,	,	_	0	erased	_	_
30	As	_	IN	IN	_	36	mark	_	_
31	this	_	DT	DT	_	32	det	_	_
32	portion	_	NN	NN	_	36	nsubj	_	_
33	of	_	IN	IN	_	32	prep	_	_
34	our	_	PRP$	PRP$	_	35	poss	_	_
35	tour	_	NN	NN	_	33	pobj	_	_
36	began	_	VBD	VBD	_	95	advcl	_	_
37	we	_	PRP	PRP	_	38	nsubj	_	_
38	thought	_	VBD	VBD	_	60	dep	_	_
39	it	_	PRP	PRP	_	41	nsubj	_	_
40	was	_	VBD	VBD	_	41	aux	_	_
41	going	_	VBG	VBG	_	38	ccomp	_	_
42	to	_	TO	TO	_	41	prep	_	_
43	the	_	DT	DT	_	45	det	_	_
44	same	_	JJ	JJ	_	45	amod	_	_
45	tour	_	NN	NN	_	42	pobj	_	_
46	with	_	IN	IN	_	45	prep	_	_
47	the	_	DT	DT	_	49	det	_	_
48	same	_	JJ	JJ	_	49	amod	_	_
49	information	_	NN	NN	_	46	pobj	_	_
50	,	_	,	,	_	0	erased	_	_
51	But	_	CC	CC	_	38	cc	_	_
52	it	_	PRP	PRP	_	56	nsubj	_	_
53	was	_	VBD	VBD	_	56	cop	_	_
54	n't	_	RB	RB	_	56	neg	_	_
55	His	_	PRP$	PRP$	_	56	poss	_	_
56	knowledge	_	NN	NN	_	38	conj	_	_
57	of	_	IN	IN	_	56	prep	_	_
58	the	_	DT	DT	_	59	det	_	_
59	city	_	NN	NN	_	57	pobj	_	_
60	was	_	VBD	VBD	_	36	dep	_	_
61	mind	_	NN	NN	_	60	nsubj	_	_
62	Blowing	_	VBG	VBG	_	61	vmod	_	_
63	he	_	PRP	PRP	_	66	nsubj	_	_
64	mixed	_	JJ	JJ	_	66	dep	_	_
65	historical	_	JJ	JJ	_	66	amod	_	_
66	stuff	_	NN	NN	_	62	xcomp	_	_
67	with	_	IN	IN	_	66	prep	_	_
68	movie	_	NN	NN	_	69	nn	_	_
69	stuff	_	NN	NN	_	67	pobj	_	_
70	and	_	CC	CC	_	66	cc	_	_
71	some	_	DT	DT	_	75	nsubj	_	_
72	of	_	IN	IN	_	71	prep	_	_
73	the	_	DT	DT	_	74	det	_	_
74	humor	_	NN	NN	_	72	pobj	_	_
75	was	_	VBD	VBD	_	66	conj	_	_
76	cheesy	_	JJ	JJ	_	80	dep	_	_
77	but	_	CC	CC	_	76	cc	_	_
78	funny	_	JJ	JJ	_	76	conj	_	_
79	we	_	PRP	PRP	_	80	nsubj	_	_
80	had	_	VBD	VBD	_	75	acomp	_	_
81	a	_	DT	DT	_	82	det	_	_
82	Blast	_	NN	NN	_	80	dobj	_	_
83	with	_	IN	IN	_	82	prep	_	_
84	him	_	PRP	PRP	_	83	pobj	_	_
85	.	_	.	.	_	0	erased	_	_
86	.	_	.	.	_	0	erased	_	_
87	even	_	RB	RB	_	90	advmod	_	_
88	this	_	DT	DT	_	90	det	_	_
89	many	_	JJ	JJ	_	90	amod	_	_
90	days	_	NNS	NNS	_	91	npadvmod	_	_
91	later	_	RB	RB	_	95	advmod	_	_
92	we	_	PRP	PRP	_	95	nsubj	_	_
93	are	_	VBP	VBP	_	95	aux	_	_
94	still	_	RB	RB	_	95	advmod	_	_
95	Laughing	_	VBG	VBG	_	0	root	_	_
96	about	_	IN	IN	_	95	prep	_	_
97	his	_	PRP$	PRP$	_	99	poss	_	_
98	popcorn	_	NN	NN	_	99	nn	_	_
99	joke	_	NN	NN	_	96	pobj	_	_
100	and	_	CC	CC	_	99	cc	_	_
101	Han	_	NNP	NNP	_	103	nn	_	_
102	solo	_	NN	NN	_	103	nn	_	_
103	Jokes	_	NNP	NNP	_	99	conj	_	_
104	...	_	:	:	_	0	erased	_	_

1	But	_	CC	CC	_	6	cc	_	_
2	that	_	DT	DT	_	6	nsubj	_	_
3	was	_	VBD	VBD	_	6	cop	_	_
4	n't	_	RB	RB	_	6	neg	_	_
5	what	_	WP	WP	_	6	nsubj	_	_
6	left	_	VBD	VBD	_	0	root	_	_
7	the	_	DT	DT	_	8	det	_	_
8	impression	_	NN	NN	_	52	nsubj	_	_
9	,	_	,	,	_	0	erased	_	_
10	Bill	_	NNP	NNP	_	11	nsubj	_	_
11	talked	_	VBD	VBD	_	52	parataxis	_	_
12	about	_	RB	RB	_	14	advmod	_	_
13	Soldier	_	NN	NN	_	14	nn	_	_
14	field	_	NN	NN	_	25	nsubj	_	_
15	and	_	CC	CC	_	14	cc	_	_
16	McCormick	_	NN	NN	_	17	nn	_	_
17	place	_	NN	NN	_	14	conj	_	_
18	when	_	WRB	WRB	_	20	advmod	_	_
19	we	_	PRP	PRP	_	20	nsubj	_	_
20	got	_	VBD	VBD	_	14	rcmod	_	_
21	to	_	TO	TO	_	20	prep	_	_
22	gold	_	JJ	JJ	_	24	amod	_	_
23	star	_	NN	NN	_	24	nn	_	_
24	park	_	NN	NN	_	21	pobj	_	_
25	is	_	VBZ	VBZ	_	11	ccomp	_	_
26	where	_	WRB	WRB	_	29	advmod	_	_
27	we	_	PRP	PRP	_	29	nsubj	_	_
28	will	_	MD	MD	_	29	aux	_	_
29	remember	_	VB	VB	_	25	advcl	_	_
30	the	_	DT	DT	_	31	det	_	_
31	tour	_	NN	NN	_	29	dobj	_	_
32	the	_	DT	DT	_	35	det	_	_
33	most	_	RBS	RBS	_	34	advmod	_	_
34	My	_	JJ	JJ	_	35	amod	_	_
35	Father	_	NN	NN	_	31	dep	_	_
36	a	_	DT	DT	_	38	det	_	_
37	Former	_	JJ	JJ	_	38	amod	_	_
38	marine	_	NN	NN	_	31	dep	_	_
39	&	_	CC	CC	_	31	cc	_	_
40	25	_	CD	CD	_	42	num	_	_
41	year	_	NN	NN	_	42	nn	_	_
42	veteran	_	NN	NN	_	31	conj	_	_
43	of	_	IN	IN	_	42	prep	_	_
44	the	_	DT	DT	_	49	det	_	_
45	New	_	NNP	NNP	_	49	nn	_	_
46	York	_	NNP	NNP	_	49	nn	_	_
47	city	_	NN	NN	_	49	nn	_	_
48	police	_	NN	NN	_	49	nn	_	_
49	department	_	NN	NN	_	43	pobj	_	_
50	,	_	,	,	_	0	erased	_	_
51	was	_	VBD	VBD	_	52	cop	_	_
52	literary	_	JJ	JJ	_	6	dep	_	_
53	brought	_	VBD	VBD	_	52	ccomp	_	_
54	to	_	TO	TO	_	53	prep	_	_
55	tears	_	NNS	NNS	_	54	pobj	_	_
56	when	_	WRB	WRB	_	58	advmod	_	_
57	we	_	PRP	PRP	_	58	nsubj	_	_
58	got	_	VBD	VBD	_	53	advcl	_	_
59	too	_	RB	RB	_	58	advmod	_	_
60	this	_	DT	DT	_	61	det	_	_
61	park	_	NN	NN	_	59	pobj	_	_
62	Bill	_	NNP	NNP	_	64	poss	_	_
63	's	_	POS	POS	_	62	possessive	_	_
64	knowledge	_	NN	NN	_	58	dobj	_	_
65	of	_	IN	IN	_	64	prep	_	_
66	The	_	DT	DT	_	69	det	_	_
67	Chicago	_	NNP	NNP	_	69	nn	_	_
68	police	_	NN	NN	_	69	nn	_	_
69	department	_	NN	NN	_	65	pobj	_	_
70	and	_	CC	CC	_	69	cc	_	_
71	the	_	DT	DT	_	72	det	_	_
72	way	_	NN	NN	_	69	conj	_	_
73	he	_	PRP	PRP	_	74	nsubj	_	_
74	talked	_	VBD	VBD	_	52	parataxis	_	_
75	about	_	IN	IN	_	74	prep	_	_
76	why	_	WRB	WRB	_	80	advmod	_	_
77	the	_	DT	DT	_	78	det	_	_
78	park	_	NN	NN	_	80	nsubjpass	_	_
79	was	_	VBD	VBD	_	80	auxpass	_	_
80	built	_	VBN	VBN	_	75	pcomp	_	_
81	really	_	RB	RB	_	82	advmod	_	_
82	got	_	VBN	VBN	_	52	parataxis	_	_
83	to	_	TO	TO	_	82	prep	_	_
84	my	_	PRP$	PRP$	_	85	poss	_	_
85	dad	_	NN	NN	_	83	pobj	_	_
86	and	_	CC	CC	_	82	cc	_	_
87	made	_	VBN	VBN	_	82	conj	_	_
88	him	_	PRP	PRP	_	89	nsubj	_	_
89	cry	_	VB	VB	_	87	ccomp	_	_
90	But	_	CC	CC	_	82	cc	_	_
91	cry	_	NN	NN	_	82	conj	_	_
92	in	_	IN	IN	_	91	dep	_	_
93	a	_	DT	DT	_	95	det	_	_
94	good	_	JJ	JJ	_	95	amod	_	_
95	way	_	NN	NN	_	92	pobj	_	_
96	he	_	PRP	PRP	_	97	nsubj	_	_
97	heard	_	VBD	VBD	_	52	parataxis	_	_
98	the	_	DT	DT	_	99	det	_	_
99	pride	_	NN	NN	_	97	dobj	_	_
100	in	_	IN	IN	_	97	prep	_	_
101	Bill	_	NNP	NNP	_	103	poss	_	_
102	's	_	POS	POS	_	101	possessive	_	_
103	voice	_	NN	NN	_	100	pobj	_	_
104	and	_	CC	CC	_	6	cc	_	_
105	the	_	DT	DT	_	106	det	_	_
106	respect	_	NN	NN	_	6	conj	_	_
107	he	_	PRP	PRP	_	108	nsubj	_	_
108	had	_	VBD	VBD	_	106	rcmod	_	_
109	for	_	IN	IN	_	108	prep	_	_
110	the	_	DT	DT	_	112	det	_	_
111	Fallen	_	NNP	NNP	_	112	nn	_	_
112	officers	_	NNS	NNS	_	109	pobj	_	_
113	.	_	.	.	_	0	erased	_	_

1	made	_	VBN	VBN	_	30	dep	_	_
2	my	_	PRP$	PRP$	_	3	poss	_	_
3	father	_	NN	NN	_	9	nsubj	_	_
4	so	_	RB	RB	_	5	advmod	_	_
5	proud	_	JJ	JJ	_	9	dep	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	his	_	PRP$	PRP$	_	8	poss	_	_
8	service	_	NN	NN	_	6	pobj	_	_
9	knowing	_	VBG	VBG	_	1	xcomp	_	_
10	that	_	IN	IN	_	12	mark	_	_
11	there	_	EX	EX	_	12	expl	_	_
12	are	_	VBP	VBP	_	9	ccomp	_	_
13	people	_	NNS	NNS	_	12	nsubj	_	_
14	out	_	IN	IN	_	12	prep	_	_
15	there	_	EX	EX	_	16	expl	_	_
16	honoring	_	VBG	VBG	_	14	pcomp	_	_
17	fallen	_	JJ	JJ	_	18	amod	_	_
18	hero	_	NN	NN	_	16	dobj	_	_
19	's	_	VBZ	VBZ	_	21	auxpass	_	_
20	Just	_	RB	RB	_	21	advmod	_	_
21	touched	_	VBN	VBN	_	9	aux	_	_
22	my	_	PRP$	PRP$	_	23	poss	_	_
23	dad	_	NN	NN	_	9	nsubj	_	_
24	.	_	.	.	_	0	erased	_	_
25	.	_	.	.	_	0	erased	_	_
26	My	_	PRP$	PRP$	_	27	poss	_	_
27	Father	_	NN	NN	_	30	nsubj	_	_
28	would	_	MD	MD	_	30	aux	_	_
29	never	_	RB	RB	_	30	neg	_	_
30	say	_	VB	VB	_	0	root	_	_
31	that	_	DT	DT	_	30	dobj	_	_
32	to	_	TO	TO	_	30	prep	_	_
33	Bill	_	NNP	NNP	_	32	pobj	_	_
34	so	_	IN	IN	_	36	mark	_	_
35	I	_	PRP	PRP	_	36	nsubj	_	_
36	thought	_	VBD	VBD	_	30	advcl	_	_
37	I	_	PRP	PRP	_	39	nsubj	_	_
38	should	_	MD	MD	_	39	aux	_	_
39	send	_	VB	VB	_	36	ccomp	_	_
40	this	_	DT	DT	_	41	det	_	_
41	email	_	NN	NN	_	39	dobj	_	_
42	,	_	,	,	_	0	erased	_	_
43	By	_	IN	IN	_	47	prep	_	_
44	the	_	DT	DT	_	45	det	_	_
45	time	_	NN	NN	_	43	pobj	_	_
46	we	_	PRP	PRP	_	47	nsubj	_	_
47	hit	_	VBD	VBD	_	39	dep	_	_
48	the	_	DT	DT	_	50	det	_	_
49	pier	_	NN	NN	_	50	nn	_	_
50	Bill	_	NN	NN	_	52	nsubj	_	_
51	had	_	VBD	VBD	_	52	aux	_	_
52	given	_	VBN	VBN	_	47	ccomp	_	_
53	us	_	PRP	PRP	_	52	dobj	_	_
54	so	_	RB	RB	_	52	advmod	_	_
55	mush	_	JJ	JJ	_	56	amod	_	_
56	information	_	NN	NN	_	52	dobj	_	_
57	we	_	PRP	PRP	_	58	nsubj	_	_
58	wanted	_	VBD	VBD	_	56	rcmod	_	_
59	to	_	TO	TO	_	60	aux	_	_
60	take	_	VB	VB	_	58	xcomp	_	_
61	notes	_	NNS	NNS	_	62	nn	_	_
62	haha	_	NN	NN	_	60	dobj	_	_
63	He	_	PRP	PRP	_	64	nsubj	_	_
64	pointed	_	VBD	VBD	_	62	rcmod	_	_
65	out	_	RP	RP	_	64	prt	_	_
66	some	_	DT	DT	_	68	det	_	_
67	great	_	JJ	JJ	_	68	amod	_	_
68	places	_	NNS	NNS	_	64	dobj	_	_
69	to	_	TO	TO	_	70	aux	_	_
70	eat	_	VB	VB	_	64	vmod	_	_
71	and	_	CC	CC	_	47	cc	_	_
72	where	_	WRB	WRB	_	75	advmod	_	_
73	we	_	PRP	PRP	_	75	nsubj	_	_
74	could	_	MD	MD	_	75	aux	_	_
75	get	_	VB	VB	_	47	conj	_	_
76	the	_	DT	DT	_	77	det	_	_
77	popcorn	_	NN	NN	_	75	dobj	_	_
78	.	_	.	.	_	0	erased	_	_

1	we	_	PRP	PRP	_	3	nsubj	_	_
2	then	_	RB	RB	_	3	advmod	_	_
3	went	_	VBD	VBD	_	61	ccomp	_	_
4	on	_	IN	IN	_	3	prep	_	_
5	Michigan	_	NNP	NNP	_	6	nn	_	_
6	ave	_	NNP	NNP	_	4	pobj	_	_
7	and	_	CC	CC	_	3	cc	_	_
8	the	_	DT	DT	_	9	det	_	_
9	tour	_	NN	NN	_	11	nsubj	_	_
10	just	_	RB	RB	_	11	advmod	_	_
11	got	_	VBD	VBD	_	3	conj	_	_
12	better	_	RB	RB	_	14	advmod	_	_
13	Bill	_	NNP	NNP	_	14	nsubj	_	_
14	gave	_	VBD	VBD	_	11	dep	_	_
15	us	_	PRP	PRP	_	14	iobj	_	_
16	some	_	DT	DT	_	18	det	_	_
17	great	_	JJ	JJ	_	18	amod	_	_
18	stuff	_	NN	NN	_	14	dobj	_	_
19	about	_	IN	IN	_	18	prep	_	_
20	the	_	DT	DT	_	22	det	_	_
21	mag	_	NN	NN	_	22	nn	_	_
22	mile	_	NN	NN	_	19	pobj	_	_
23	By	_	IN	IN	_	27	prep	_	_
24	the	_	DT	DT	_	25	det	_	_
25	time	_	NN	NN	_	23	pobj	_	_
26	we	_	PRP	PRP	_	27	nsubj	_	_
27	hit	_	VBD	VBD	_	14	dep	_	_
28	stop	_	VB	VB	_	27	xcomp	_	_
29	9	_	CD	CD	_	28	dobj	_	_
30	we	_	PRP	PRP	_	33	nsubj	_	_
31	did	_	VBD	VBD	_	33	aux	_	_
32	n't	_	RB	RB	_	33	neg	_	_
33	want	_	VB	VB	_	14	dep	_	_
34	to	_	TO	TO	_	35	aux	_	_
35	get	_	VB	VB	_	33	xcomp	_	_
36	off	_	RP	RP	_	35	prt	_	_
37	But	_	CC	CC	_	14	cc	_	_
38	Bill	_	NNP	NNP	_	39	nsubj	_	_
39	made	_	VBD	VBD	_	14	conj	_	_
40	the	_	DT	DT	_	42	det	_	_
41	city	_	NN	NN	_	42	nn	_	_
42	sound	_	NN	NN	_	39	dobj	_	_
43	like	_	IN	IN	_	39	prep	_	_
44	so	_	RB	RB	_	45	advmod	_	_
45	much	_	JJ	JJ	_	46	amod	_	_
46	fun	_	NN	NN	_	43	pobj	_	_
47	we	_	PRP	PRP	_	48	nsubj	_	_
48	wanted	_	VBD	VBD	_	14	parataxis	_	_
49	to	_	TO	TO	_	50	aux	_	_
50	take	_	VB	VB	_	48	xcomp	_	_
51	some	_	DT	DT	_	52	det	_	_
52	pictures	_	NNS	NNS	_	50	dobj	_	_
53	and	_	CC	CC	_	50	cc	_	_
54	get	_	VB	VB	_	50	conj	_	_
55	our	_	PRP$	PRP$	_	58	poss	_	_
56	free	_	JJ	JJ	_	58	amod	_	_
57	Hershey	_	NNP	NNP	_	58	nn	_	_
58	Bar	_	NNP	NNP	_	54	dobj	_	_
59	,	_	,	,	_	0	erased	_	_
60	we	_	PRP	PRP	_	61	nsubj	_	_
61	got	_	VBD	VBD	_	0	root	_	_
62	off	_	RP	RP	_	61	prt	_	_
63	the	_	DT	DT	_	64	det	_	_
64	trolley	_	NN	NN	_	61	dobj	_	_
65	and	_	CC	CC	_	61	cc	_	_
66	had	_	VBD	VBD	_	61	conj	_	_
67	a	_	DT	DT	_	69	det	_	_
68	great	_	JJ	JJ	_	69	amod	_	_
69	time	_	NN	NN	_	66	dobj	_	_
70	in	_	IN	IN	_	69	prep	_	_
71	your	_	PRP$	PRP$	_	72	poss	_	_
72	city	_	NN	NN	_	70	pobj	_	_
73	Also	_	RB	RB	_	75	advmod	_	_
74	Bill	_	NNP	NNP	_	75	nsubj	_	_
75	told	_	VBD	VBD	_	69	rcmod	_	_
76	us	_	PRP	PRP	_	79	nsubj	_	_
77	some	_	DT	DT	_	79	det	_	_
78	funny	_	JJ	JJ	_	79	amod	_	_
79	stuff	_	NN	NN	_	75	xcomp	_	_
80	about	_	IN	IN	_	79	prep	_	_
81	what	_	WP	WP	_	83	nsubj	_	_
82	has	_	VBZ	VBZ	_	83	aux	_	_
83	happened	_	VBN	VBN	_	80	pcomp	_	_
84	since	_	IN	IN	_	88	mark	_	_
85	he	_	PRP	PRP	_	88	nsubj	_	_
86	has	_	VBZ	VBZ	_	88	aux	_	_
87	been	_	VBN	VBN	_	88	aux	_	_
88	driving	_	VBG	VBG	_	83	advcl	_	_
89	and	_	CC	CC	_	75	cc	_	_
90	we	_	PRP	PRP	_	91	nsubj	_	_
91	thought	_	VBD	VBD	_	75	conj	_	_
92	that	_	IN	IN	_	95	mark	_	_
93	was	_	VBD	VBD	_	95	cop	_	_
94	just	_	RB	RB	_	95	advmod	_	_
95	awesome	_	JJ	JJ	_	91	ccomp	_	_
96	to	_	TO	TO	_	97	aux	_	_
97	have	_	VB	VB	_	95	xcomp	_	_
98	stranger	_	NN	NN	_	99	nsubj	_	_
99	make	_	VB	VB	_	97	ccomp	_	_
100	us	_	PRP	PRP	_	101	nsubj	_	_
101	feel	_	VB	VB	_	99	ccomp	_	_
102	that	_	DT	DT	_	103	dep	_	_
103	comfortable	_	JJ	JJ	_	101	acomp	_	_
104	and	_	CC	CC	_	103	cc	_	_
105	safe	_	JJ	JJ	_	103	conj	_	_
106	.	_	.	.	_	0	erased	_	_

1	As	_	IN	IN	_	6	prep	_	_
2	a	_	DT	DT	_	3	det	_	_
3	family	_	NN	NN	_	1	pobj	_	_
4	we	_	PRP	PRP	_	6	nsubj	_	_
5	have	_	VBP	VBP	_	6	aux	_	_
6	been	_	VBN	VBN	_	0	root	_	_
7	to	_	TO	TO	_	6	prep	_	_
8	every	_	DT	DT	_	10	det	_	_
9	major	_	JJ	JJ	_	10	amod	_	_
10	city	_	NN	NN	_	7	pobj	_	_
11	in	_	IN	IN	_	6	prep	_	_
12	the	_	DT	DT	_	13	det	_	_
13	country	_	NN	NN	_	11	pobj	_	_
14	and	_	CC	CC	_	6	cc	_	_
15	we	_	PRP	PRP	_	17	nsubj	_	_
16	always	_	RB	RB	_	17	advmod	_	_
17	do	_	VBP	VBP	_	6	conj	_	_
18	the	_	DT	DT	_	20	det	_	_
19	touristy	_	JJ	JJ	_	20	amod	_	_
20	thing	_	NN	NN	_	17	dobj	_	_
21	and	_	CC	CC	_	6	cc	_	_
22	we	_	PRP	PRP	_	25	nsubj	_	_
23	have	_	VBP	VBP	_	25	aux	_	_
24	never	_	RB	RB	_	25	neg	_	_
25	heard	_	VBN	VBN	_	6	conj	_	_
26	a	_	DT	DT	_	28	det	_	_
27	tour	_	NN	NN	_	28	nn	_	_
28	guide	_	NN	NN	_	25	dobj	_	_
29	like	_	IN	IN	_	25	prep	_	_
30	Bill	_	NNP	NNP	_	29	pobj	_	_
31	we	_	PRP	PRP	_	32	nsubj	_	_
32	LOVED	_	VBD	VBD	_	30	rcmod	_	_
33	HIM	_	NNP	NNP	_	35	nn	_	_
34	THANK	_	NNP	NNP	_	35	nn	_	_
35	YOU	_	NNP	NNP	_	32	dobj	_	_
36	AND	_	CC	CC	_	35	cc	_	_
37	THANK	_	NNP	NNP	_	38	nn	_	_
38	BILL	_	NNP	NNP	_	35	conj	_	_
39	FOR	_	IN	IN	_	35	prep	_	_
40	US	_	NNP	NNP	_	42	nn	_	_
41	Jayme	_	NNP	NNP	_	42	nn	_	_
42	P.s.	_	NNP	NNP	_	39	pobj	_	_
43	it	_	PRP	PRP	_	46	nsubj	_	_
44	is	_	VBZ	VBZ	_	46	cop	_	_
45	very	_	RB	RB	_	46	advmod	_	_
46	rare	_	JJ	JJ	_	42	rcmod	_	_
47	to	_	TO	TO	_	48	aux	_	_
48	find	_	VB	VB	_	46	xcomp	_	_
49	someone	_	NN	NN	_	48	dobj	_	_
50	like	_	IN	IN	_	48	prep	_	_
51	Bill	_	NNP	NNP	_	50	pobj	_	_
52	he	_	PRP	PRP	_	53	nsubj	_	_
53	needs	_	VBZ	VBZ	_	46	ccomp	_	_
54	to	_	TO	TO	_	56	aux	_	_
55	be	_	VB	VB	_	56	auxpass	_	_
56	commended	_	VBN	VBN	_	53	xcomp	_	_
57	and	_	CC	CC	_	56	cc	_	_
58	recognized	_	VBN	VBN	_	56	conj	_	_
59	for	_	IN	IN	_	56	prep	_	_
60	his	_	PRP$	PRP$	_	62	poss	_	_
61	good	_	JJ	JJ	_	62	amod	_	_
62	work	_	NN	NN	_	59	pobj	_	_
63	,	_	,	,	_	0	erased	_	_
64	we	_	PRP	PRP	_	66	nsubj	_	_
65	will	_	MD	MD	_	66	aux	_	_
66	be	_	VB	VB	_	6	dep	_	_
67	back	_	RB	RB	_	66	advmod	_	_
68	in	_	IN	IN	_	66	prep	_	_
69	July	_	NNP	NNP	_	68	pobj	_	_
70	for	_	IN	IN	_	69	prep	_	_
71	the	_	DT	DT	_	72	det	_	_
72	taste	_	NN	NN	_	70	pobj	_	_
73	of	_	IN	IN	_	72	prep	_	_
74	Chicago	_	NNP	NNP	_	73	pobj	_	_
75	and	_	CC	CC	_	6	cc	_	_
76	we	_	PRP	PRP	_	77	nsubj	_	_
77	hope	_	VBP	VBP	_	6	conj	_	_
78	Bill	_	NNP	NNP	_	82	nsubj	_	_
79	is	_	VBZ	VBZ	_	82	cop	_	_
80	our	_	PRP$	PRP$	_	82	poss	_	_
81	tour	_	NN	NN	_	82	nn	_	_
82	guide	_	NN	NN	_	77	ccomp	_	_

