1	There	_	EX	EX	_	5	expl	_	_
21	my	_	PRP$	PRP$	_	22	poss	_	_
22	travels	_	NNS	NNS	_	20	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	4	nsubj	_	_
2	are	_	VBP	VBP	_	4	cop	_	_
3	extremely	_	RB	RB	_	4	advmod	_	_
4	knowledgeable	_	JJ	JJ	_	0	root	_	_
5	about	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	area	_	NN	NN	_	5	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	gave	_	VBD	VBD	_	4	conj	_	_
10	great	_	JJ	JJ	_	11	amod	_	_
11	places	_	NNS	NNS	_	9	dobj	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	see	_	VB	VB	_	9	vmod	_	_
14	,	_	,	,	_	0	erased	_	_
15	eat	_	VB	VB	_	13	conj	_	_
16	and	_	CC	CC	_	13	cc	_	_
17	visit	_	VB	VB	_	13	conj	_	_
18	,	_	,	,	_	0	erased	_	_
19	and	_	CC	CC	_	4	cc	_	_
20	just	_	RB	RB	_	21	advmod	_	_
21	made	_	VBD	VBD	_	4	conj	_	_
22	the	_	DT	DT	_	23	det	_	_
23	stay	_	NN	NN	_	21	dobj	_	_
24	at	_	IN	IN	_	21	prep	_	_
25	this	_	DT	DT	_	27	det	_	_
26	hotel	_	NN	NN	_	27	nn	_	_
27	fabulous	_	NN	NN	_	24	pobj	_	_
28	!	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	2	nsubj	_	_
2	is	_	VBZ	VBZ	_	0	root	_	_
3	how	_	WRB	WRB	_	6	advmod	_	_
4	great	_	JJ	JJ	_	3	dep	_	_
5	they	_	PRP	PRP	_	6	nsubj	_	_
6	were	_	VBD	VBD	_	2	ccomp	_	_
7	-	_	:	:	_	0	erased	_	_
8	when	_	WRB	WRB	_	10	advmod	_	_
9	we	_	PRP	PRP	_	10	nsubj	_	_
10	were	_	VBD	VBD	_	19	advcl	_	_
11	at	_	IN	IN	_	10	prep	_	_
12	the	_	DT	DT	_	14	det	_	_
13	front	_	JJ	JJ	_	14	amod	_	_
14	desk	_	NN	NN	_	11	pobj	_	_
15	,	_	,	,	_	0	erased	_	_
16	guest	_	NN	NN	_	17	nn	_	_
17	leaving	_	NN	NN	_	19	nsubj	_	_
18	would	_	MD	MD	_	19	aux	_	_
19	stop	_	VB	VB	_	6	ccomp	_	_
20	by	_	IN	IN	_	19	prep	_	_
21	and	_	CC	CC	_	19	cc	_	_
22	thank	_	VB	VB	_	19	conj	_	_
23	them	_	PRP	PRP	_	22	dobj	_	_
24	for	_	IN	IN	_	22	prep	_	_
25	their	_	PRP$	PRP$	_	27	poss	_	_
26	invaluable	_	JJ	JJ	_	27	amod	_	_
27	service	_	NN	NN	_	24	pobj	_	_
28	.	_	.	.	_	0	erased	_	_

1	Now	_	RB	RB	_	3	advmod	_	_
2	that	_	DT	DT	_	3	nsubj	_	_
3	is	_	VBZ	VBZ	_	0	root	_	_
4	what	_	WP	WP	_	9	dobj	_	_
5	customer	_	NN	NN	_	6	nn	_	_
6	service	_	NN	NN	_	9	nsubj	_	_
7	should	_	MD	MD	_	9	aux	_	_
8	be	_	VB	VB	_	9	cop	_	_
9	about	_	IN	IN	_	3	ccomp	_	_
10	!	_	.	.	_	0	erased	_	_

1	About	_	RB	RB	_	3	advmod	_	_
2	the	_	DT	DT	_	3	det	_	_
3	hotel	_	NN	NN	_	0	root	_	_
4	:	_	:	:	_	0	erased	_	_
5	I	_	PRP	PRP	_	7	nsubj	_	_
6	would	_	MD	MD	_	7	aux	_	_
7	say	_	VB	VB	_	3	dep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	rooms	_	NNS	NNS	_	11	nsubj	_	_
10	are	_	VBP	VBP	_	11	cop	_	_
11	typical	_	JJ	JJ	_	7	ccomp	_	_
12	.	_	.	.	_	0	erased	_	_

1	Nothing	_	NN	NN	_	3	nsubj	_	_
2	really	_	RB	RB	_	3	advmod	_	_
3	stood	_	VBD	VBD	_	0	root	_	_
4	out	_	RP	RP	_	3	prt	_	_
5	about	_	IN	IN	_	3	prep	_	_
6	them	_	PRP	PRP	_	5	pobj	_	_
7	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	4	det	_	_
2	continental	_	JJ	JJ	_	4	amod	_	_
3	breakfast	_	NN	NN	_	4	nn	_	_
4	buffet	_	NN	NN	_	6	nsubj	_	_
5	was	_	VBD	VBD	_	6	cop	_	_
6	cool	_	JJ	JJ	_	0	root	_	_
7	,	_	,	,	_	0	erased	_	_
8	but	_	CC	CC	_	6	cc	_	_
9	I	_	PRP	PRP	_	11	nsubj	_	_
10	was	_	VBD	VBD	_	11	cop	_	_
11	longing	_	NN	NN	_	6	conj	_	_
12	for	_	IN	IN	_	11	prep	_	_
13	bacon	_	NN	NN	_	12	pobj	_	_
14	,	_	,	,	_	0	erased	_	_
15	which	_	WDT	WDT	_	17	nsubj	_	_
16	never	_	RB	RB	_	17	neg	_	_
17	happened	_	VBD	VBD	_	13	rcmod	_	_
18	.	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	2	det	_	_
2	hotel	_	NN	NN	_	6	nsubj	_	_
3	is	_	VBZ	VBZ	_	6	cop	_	_
4	only	_	RB	RB	_	5	quantmod	_	_
5	3	_	CD	CD	_	6	num	_	_
6	blocks	_	NNS	NNS	_	0	root	_	_
7	from	_	IN	IN	_	6	prep	_	_
8	Michigan	_	NNP	NNP	_	9	nn	_	_
9	Ave.	_	NNP	NNP	_	7	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	and	_	CC	CC	_	6	cc	_	_
12	the	_	DT	DT	_	13	det	_	_
13	stop	_	NN	NN	_	22	nsubj	_	_
14	for	_	IN	IN	_	13	prep	_	_
15	the	_	DT	DT	_	19	det	_	_
16	free	_	JJ	JJ	_	19	amod	_	_
17	Navy	_	NNP	NNP	_	19	nn	_	_
18	Pier	_	NNP	NNP	_	19	nn	_	_
19	trolley	_	NN	NN	_	14	pobj	_	_
20	is	_	VBZ	VBZ	_	22	cop	_	_
21	a	_	DT	DT	_	22	det	_	_
22	block	_	NN	NN	_	6	conj	_	_
23	or	_	CC	CC	_	22	cc	_	_
24	two	_	CD	CD	_	22	conj	_	_
25	away	_	RB	RB	_	22	advmod	_	_
26	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	post	_	NN	NN	_	3	nn	_	_
3	office	_	NN	NN	_	5	nsubj	_	_
4	is	_	VBZ	VBZ	_	5	cop	_	_
5	right	_	JJ	JJ	_	0	root	_	_
6	around	_	IN	IN	_	5	prep	_	_
7	the	_	DT	DT	_	8	det	_	_
8	corner	_	NN	NN	_	6	pobj	_	_
9	and	_	CC	CC	_	5	cc	_	_
10	it	_	PRP	PRP	_	11	nsubj	_	_
11	's	_	VBZ	VBZ	_	5	conj	_	_
12	well	_	RB	RB	_	11	advmod	_	_
13	within	_	IN	IN	_	11	prep	_	_
14	walking	_	VBG	VBG	_	13	pcomp	_	_
15	distance	_	NN	NN	_	14	dobj	_	_
16	to	_	TO	TO	_	14	prep	_	_
17	great	_	JJ	JJ	_	18	amod	_	_
18	eats	_	NNS	NNS	_	16	pobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	main	_	JJ	JJ	_	3	amod	_	_
3	negative	_	NN	NN	_	5	nsubj	_	_
4	would	_	MD	MD	_	5	aux	_	_
5	be	_	VB	VB	_	0	root	_	_
6	it	_	PRP	PRP	_	8	nsubjpass	_	_
7	's	_	VBZ	VBZ	_	8	auxpass	_	_
8	located	_	VBN	VBN	_	5	ccomp	_	_
9	across	_	IN	IN	_	8	prep	_	_
10	the	_	DT	DT	_	11	det	_	_
11	street	_	NN	NN	_	9	pobj	_	_
12	from	_	IN	IN	_	11	prep	_	_
13	a	_	DT	DT	_	15	det	_	_
14	fire	_	NN	NN	_	15	nn	_	_
15	station	_	NN	NN	_	12	pobj	_	_
16	;	_	:	:	_	0	erased	_	_
17	however	_	RB	RB	_	21	advmod	_	_
18	,	_	,	,	_	0	erased	_	_
19	the	_	DT	DT	_	20	det	_	_
20	hotel	_	NN	NN	_	21	nsubj	_	_
21	provides	_	VBZ	VBZ	_	5	parataxis	_	_
22	ear	_	NN	NN	_	23	nn	_	_
23	plugs	_	NNS	NNS	_	21	dobj	_	_
24	in	_	IN	IN	_	23	prep	_	_
25	the	_	DT	DT	_	26	det	_	_
26	lobby	_	NN	NN	_	24	pobj	_	_
27	.	_	.	.	_	0	erased	_	_

1	Overall	_	RB	RB	_	5	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	will	_	MD	MD	_	5	aux	_	_
4	definitely	_	RB	RB	_	5	advmod	_	_
5	stay	_	VB	VB	_	0	root	_	_
6	at	_	IN	IN	_	5	prep	_	_
7	this	_	DT	DT	_	8	det	_	_
8	hotel	_	NN	NN	_	6	pobj	_	_
9	on	_	IN	IN	_	8	prep	_	_
10	my	_	PRP$	PRP$	_	12	poss	_	_
11	next	_	JJ	JJ	_	12	amod	_	_
12	visit	_	NN	NN	_	9	pobj	_	_
13	to	_	TO	TO	_	5	prep	_	_
14	Chicago	_	NNP	NNP	_	13	pobj	_	_
15	!	_	.	.	_	0	erased	_	_

