1	Well	_	UH	UH	_	5	discourse	_	_
8	I	_	PRP	PRP	_	10	nsubjpass	_	_
9	was	_	VBD	VBD	_	10	auxpass	_	_
10	thrilled	_	VBN	VBN	_	4	conj	_	_
11	to	_	TO	TO	_	12	aux	_	_
12	have	_	VB	VB	_	10	xcomp	_	_
13	him	_	PRP	PRP	_	14	nsubj	_	_
14	pick	_	VB	VB	_	12	ccomp	_	_
15	me	_	PRP	PRP	_	14	dobj	_	_
16	up	_	RP	RP	_	14	prt	_	_
17	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	4	nsubj	_	_
2	's	_	VBZ	VBZ	_	4	cop	_	_
3	never	_	RB	RB	_	4	neg	_	_
4	fun	_	NN	NN	_	0	root	_	_
5	when	_	WRB	WRB	_	7	advmod	_	_
6	you	_	PRP	PRP	_	7	nsubj	_	_
7	need	_	VBP	VBP	_	4	rcmod	_	_
8	to	_	TO	TO	_	9	aux	_	_
9	rent	_	VB	VB	_	7	xcomp	_	_
10	a	_	DT	DT	_	11	det	_	_
11	car	_	NN	NN	_	9	dobj	_	_
12	unexpectedly	_	RB	RB	_	9	advmod	_	_
13	but	_	CC	CC	_	4	cc	_	_
14	working	_	VBG	VBG	_	18	csubj	_	_
15	with	_	IN	IN	_	14	prep	_	_
16	friendly	_	JJ	JJ	_	17	amod	_	_
17	staff	_	NN	NN	_	15	pobj	_	_
18	makes	_	VBZ	VBZ	_	4	conj	_	_
19	it	_	PRP	PRP	_	23	nsubj	_	_
20	that	_	RB	RB	_	21	advmod	_	_
21	much	_	RB	RB	_	23	advmod	_	_
22	more	_	RBR	RBR	_	23	advmod	_	_
23	enjoyable	_	JJ	JJ	_	18	xcomp	_	_
24	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	car	_	NN	NN	_	5	nsubjpass	_	_
3	was	_	VBD	VBD	_	5	auxpass	_	_
4	was	_	VBD	VBD	_	5	cop	_	_
5	ready	_	JJ	JJ	_	0	root	_	_
6	immediately	_	RB	RB	_	5	advmod	_	_
7	-	_	:	:	_	0	erased	_	_
8	in	_	IN	IN	_	12	prep	_	_
9	fact	_	NN	NN	_	8	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	he	_	PRP	PRP	_	12	nsubj	_	_
12	picked	_	VBD	VBD	_	5	parataxis	_	_
13	me	_	PRP	PRP	_	12	dobj	_	_
14	up	_	RB	RB	_	12	advmod	_	_
15	in	_	IN	IN	_	14	prep	_	_
16	the	_	DT	DT	_	17	det	_	_
17	car	_	NN	NN	_	15	pobj	_	_
18	I	_	PRP	PRP	_	20	nsubj	_	_
19	was	_	VBD	VBD	_	20	aux	_	_
20	going	_	VBG	VBG	_	17	rcmod	_	_
21	to	_	TO	TO	_	22	aux	_	_
22	rent	_	VB	VB	_	20	xcomp	_	_
23	.	_	.	.	_	0	erased	_	_

1	ALL	_	NNP	NNP	_	0	root	_	_
2	-	_	:	:	_	0	erased	_	_
3	if	_	IN	IN	_	5	mark	_	_
4	you	_	PRP	PRP	_	5	nsubj	_	_
5	need	_	VBP	VBP	_	20	advcl	_	_
6	to	_	TO	TO	_	7	aux	_	_
7	rent	_	VB	VB	_	5	xcomp	_	_
8	a	_	DT	DT	_	9	det	_	_
9	car	_	NN	NN	_	7	dobj	_	_
10	in	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	city	_	NN	NN	_	10	pobj	_	_
13	and	_	CC	CC	_	5	cc	_	_
14	are	_	VBP	VBP	_	15	cop	_	_
15	unsure	_	JJ	JJ	_	5	conj	_	_
16	where	_	WRB	WRB	_	18	advmod	_	_
17	to	_	TO	TO	_	18	aux	_	_
18	go	_	VB	VB	_	15	ccomp	_	_
19	,	_	,	,	_	0	erased	_	_
20	work	_	VB	VB	_	1	dep	_	_
21	with	_	IN	IN	_	20	prep	_	_
22	this	_	DT	DT	_	24	det	_	_
23	Enterprise	_	NN	NN	_	24	nn	_	_
24	office	_	NN	NN	_	21	pobj	_	_
25	because	_	IN	IN	_	30	mark	_	_
26	you	_	PRP	PRP	_	30	nsubj	_	_
27	wo	_	MD	MD	_	30	aux	_	_
28	n't	_	RB	RB	_	30	neg	_	_
29	be	_	VB	VB	_	30	cop	_	_
30	disappointed	_	JJ	JJ	_	20	advcl	_	_
31	.	_	.	.	_	0	erased	_	_

1	Many	_	JJ	JJ	_	2	amod	_	_
2	thanks	_	NNS	NNS	_	0	root	_	_
3	guys	_	NNS	NNS	_	2	dep	_	_
4	.	_	.	.	_	0	erased	_	_

1	J	_	NNP	NNP	_	2	nn	_	_
2	Gutman	_	NNP	NNP	_	0	root	_	_

