1	Wow	_	UH	UH	_	7	discourse	_	_
17	with	_	IN	IN	_	16	prep	_	_
18	a	_	DT	DT	_	20	det	_	_
19	three	_	CD	CD	_	20	num	_	_
20	year	_	NN	NN	_	17	pobj	_	_
21	old	_	JJ	JJ	_	16	amod	_	_
22	,	_	,	,	_	0	erased	_	_
23	all	_	DT	DT	_	21	dep	_	_
24	of	_	IN	IN	_	23	prep	_	_
25	us	_	PRP	PRP	_	24	pobj	_	_
26	in	_	IN	IN	_	13	prep	_	_
27	warm	_	JJ	JJ	_	29	amod	_	_
28	weather	_	NN	NN	_	29	nn	_	_
29	clothes	_	NNS	NNS	_	26	pobj	_	_
30	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
31	it	_	PRP	PRP	_	34	nsubj	_	_
32	was	_	VBD	VBD	_	34	cop	_	_
33	10	_	CD	CD	_	34	num	_	_
34	degrees	_	NNS	NNS	_	13	parataxis	_	_
35	in	_	IN	IN	_	34	prep	_	_
36	Chicago	_	NNP	NNP	_	35	pobj	_	_
37	!	_	.	.	_	0	erased	_	_
38	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
39	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	Dana	_	NNP	NNP	_	3	nsubj	_	_
3	had	_	VBD	VBD	_	0	root	_	_
4	everything	_	NN	NN	_	3	dobj	_	_
5	we	_	PRP	PRP	_	6	nsubj	_	_
6	needed	_	VBD	VBD	_	4	rcmod	_	_
7	and	_	CC	CC	_	8	cc	_	_
8	more	_	JJR	JJR	_	6	dobj	_	_
9	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	4	det	_	_
2	hotel	_	NN	NN	_	4	nn	_	_
3	mini	_	NN	NN	_	4	nn	_	_
4	bar	_	NN	NN	_	5	nsubj	_	_
5	has	_	VBZ	VBZ	_	0	root	_	_
6	drinks	_	NNS	NNS	_	5	dobj	_	_
7	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
8	sodas	_	NNS	NNS	_	6	dep	_	_
9	,	_	,	,	_	0	erased	_	_
10	large	_	JJ	JJ	_	12	amod	_	_
11	Voss	_	NNP	NNP	_	12	nn	_	_
12	waters	_	NNS	NNS	_	8	appos	_	_
13	,	_	,	,	_	0	erased	_	_
14	beer	_	NN	NN	_	8	appos	_	_
15	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
16	and	_	CC	CC	_	6	cc	_	_
17	snacks	_	NNS	NNS	_	6	conj	_	_
18	that	_	WDT	WDT	_	22	nsubjpass	_	_
19	are	_	VBP	VBP	_	22	auxpass	_	_
20	very	_	RB	RB	_	21	advmod	_	_
21	well	_	RB	RB	_	22	advmod	_	_
22	priced	_	VBN	VBN	_	17	rcmod	_	_
23	-	_	:	:	_	0	erased	_	_
24	NO	_	DT	DT	_	25	neg	_	_
25	mark	_	NN	NN	_	26	npadvmod	_	_
26	up	_	RB	RB	_	28	advmod	_	_
27	whatsoever	_	RB	RB	_	28	advmod	_	_
28	!!!!	_	VBN	VBN	_	5	parataxis	_	_

1	We	_	PRP	PRP	_	5	nsubj	_	_
2	were	_	VBD	VBD	_	5	cop	_	_
3	so	_	RB	RB	_	5	advmod	_	_
4	pleasantly	_	RB	RB	_	5	advmod	_	_
5	surprised	_	JJ	JJ	_	0	root	_	_
6	!	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	is	_	VBZ	VBZ	_	0	root	_	_
3	a	_	DT	DT	_	6	det	_	_
4	beautiful	_	JJ	JJ	_	6	amod	_	_
5	hanging	_	NN	NN	_	6	nn	_	_
6	wine	_	NN	NN	_	2	nsubj	_	_
7	rack	_	VBN	VBN	_	6	vmod	_	_
8	in	_	IN	IN	_	7	prep	_	_
9	your	_	PRP$	PRP$	_	10	poss	_	_
10	room	_	NN	NN	_	8	pobj	_	_
11	with	_	IN	IN	_	7	prep	_	_
12	about	_	RB	RB	_	13	quantmod	_	_
13	12	_	CD	CD	_	14	num	_	_
14	bottles	_	NNS	NNS	_	11	pobj	_	_
15	to	_	TO	TO	_	16	aux	_	_
16	choose	_	VB	VB	_	7	xcomp	_	_
17	from	_	IN	IN	_	16	prep	_	_
18	,	_	,	,	_	0	erased	_	_
19	from	_	IN	IN	_	7	prep	_	_
20	which	_	WDT	WDT	_	23	dobj	_	_
21	you	_	PRP	PRP	_	23	nsubj	_	_
22	can	_	MD	MD	_	23	aux	_	_
23	pick	_	VB	VB	_	19	pcomp	_	_
24	whatever	_	WDT	WDT	_	25	det	_	_
25	kind	_	NN	NN	_	27	dobj	_	_
26	you	_	PRP	PRP	_	27	nsubj	_	_
27	like	_	VBP	VBP	_	23	ccomp	_	_
28	,	_	,	,	_	0	erased	_	_
29	and	_	CC	CC	_	23	cc	_	_
30	just	_	RB	RB	_	31	advmod	_	_
31	open	_	VB	VB	_	23	conj	_	_
32	it	_	PRP	PRP	_	31	dobj	_	_
33	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	wine	_	NN	NN	_	3	nsubj	_	_
3	had	_	VBD	VBD	_	0	root	_	_
4	NO	_	DT	DT	_	5	neg	_	_
5	markup	_	NN	NN	_	3	dobj	_	_
6	either	_	RB	RB	_	3	advmod	_	_
7	.	_	.	.	_	0	erased	_	_

1	A	_	DT	DT	_	4	det	_	_
2	$	_	$	$	_	4	amod	_	_
3	20	_	CD	CD	_	2	number	_	_
4	bottle	_	NN	NN	_	10	nsubj	_	_
5	in	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	store	_	NN	NN	_	5	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	is	_	VBZ	VBZ	_	10	cop	_	_
10	$	_	$	$	_	0	root	_	_
11	20	_	CD	CD	_	10	num	_	_
12	at	_	IN	IN	_	10	prep	_	_
13	The	_	DT	DT	_	14	det	_	_
14	Dana	_	NNP	NNP	_	12	pobj	_	_
15	,	_	,	,	_	0	erased	_	_
16	to	_	TO	TO	_	17	aux	_	_
17	have	_	VB	VB	_	10	vmod	_	_
18	in	_	IN	IN	_	17	prep	_	_
19	the	_	DT	DT	_	20	det	_	_
20	convenience	_	NN	NN	_	18	pobj	_	_
21	of	_	IN	IN	_	20	prep	_	_
22	your	_	PRP$	PRP$	_	23	poss	_	_
23	room	_	NN	NN	_	21	pobj	_	_
24	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	2	nsubj	_	_
2	call	_	VBP	VBP	_	0	root	_	_
3	it	_	PRP	PRP	_	8	nsubj	_	_
4	an	_	DT	DT	_	8	det	_	_
5	`	_	``	``	_	0	erased	_	_
6	honor	_	NN	NN	_	8	nn	_	_
7	'	_	''	''	_	0	erased	_	_
8	bar	_	NN	NN	_	2	xcomp	_	_
9	,	_	,	,	_	0	erased	_	_
10	so	_	IN	IN	_	2	dep	_	_
11	when	_	WRB	WRB	_	13	advmod	_	_
12	you	_	PRP	PRP	_	13	nsubj	_	_
13	check	_	VBP	VBP	_	16	advcl	_	_
14	out	_	RP	RP	_	13	prt	_	_
15	you	_	PRP	PRP	_	16	nsubj	_	_
16	tell	_	VBP	VBP	_	2	parataxis	_	_
17	them	_	PRP	PRP	_	16	dobj	_	_
18	what	_	WP	WP	_	20	dobj	_	_
19	you	_	PRP	PRP	_	20	nsubj	_	_
20	ate	_	VBD	VBD	_	16	dep	_	_
21	or	_	CC	CC	_	20	cc	_	_
22	drank	_	VBD	VBD	_	20	conj	_	_
23	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
2	were	_	VBD	VBD	_	3	cop	_	_
3	honest	_	JJ	JJ	_	0	root	_	_
4	,	_	,	,	_	0	erased	_	_
5	so	_	IN	IN	_	3	dep	_	_
6	I	_	PRP	PRP	_	9	nsubj	_	_
7	'm	_	VBP	VBP	_	9	cop	_	_
8	not	_	RB	RB	_	9	neg	_	_
9	sure	_	JJ	JJ	_	3	parataxis	_	_
10	if	_	IN	IN	_	13	mark	_	_
11	they	_	PRP	PRP	_	13	nsubj	_	_
12	actually	_	RB	RB	_	13	advmod	_	_
13	charge	_	VBP	VBP	_	9	advcl	_	_
14	you	_	PRP	PRP	_	20	nsubj	_	_
15	later	_	RB	RB	_	20	dep	_	_
16	if	_	IN	IN	_	20	mark	_	_
17	you	_	PRP	PRP	_	20	nsubj	_	_
18	are	_	VBP	VBP	_	20	cop	_	_
19	not	_	RB	RB	_	20	neg	_	_
20	honest	_	JJ	JJ	_	13	xcomp	_	_
21	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	2	nsubj	_	_
2	was	_	VBD	VBD	_	0	root	_	_
3	around	_	IN	IN	_	2	dep	_	_
4	11:30	_	CD	CD	_	5	num	_	_
5	pm	_	NN	NN	_	3	pobj	_	_
6	and	_	CC	CC	_	3	cc	_	_
7	being	_	VBG	VBG	_	10	cop	_	_
8	a	_	DT	DT	_	10	det	_	_
9	smaller	_	JJR	JJR	_	10	amod	_	_
10	hotel	_	NN	NN	_	3	conj	_	_
11	we	_	PRP	PRP	_	13	nsubjpass	_	_
12	were	_	VBD	VBD	_	13	auxpass	_	_
13	worried	_	VBN	VBN	_	10	rcmod	_	_
14	there	_	EX	EX	_	19	expl	_	_
15	would	_	MD	MD	_	19	aux	_	_
16	be	_	VB	VB	_	19	cop	_	_
17	no	_	DT	DT	_	19	neg	_	_
18	food	_	NN	NN	_	19	nn	_	_
19	options	_	NNS	NNS	_	13	ccomp	_	_
20	,	_	,	,	_	0	erased	_	_
21	but	_	CC	CC	_	2	cc	_	_
22	they	_	PRP	PRP	_	23	nsubj	_	_
23	have	_	VBP	VBP	_	2	conj	_	_
24	24	_	CD	CD	_	27	num	_	_
25	Hr	_	JJ	JJ	_	27	amod	_	_
26	room	_	NN	NN	_	27	nn	_	_
27	service	_	NN	NN	_	23	dobj	_	_
28	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	burger	_	NN	NN	_	3	nn	_	_
3	sliders	_	NNS	NNS	_	5	nsubj	_	_
4	were	_	VBD	VBD	_	5	cop	_	_
5	excellent	_	JJ	JJ	_	0	root	_	_
6	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	one	_	CD	CD	_	3	num	_	_
3	downside	_	NN	NN	_	14	nsubj	_	_
4	,	_	,	,	_	0	erased	_	_
5	which	_	WDT	WDT	_	11	nsubj	_	_
6	may	_	MD	MD	_	11	aux	_	_
7	have	_	VB	VB	_	11	aux	_	_
8	just	_	RB	RB	_	11	advmod	_	_
9	been	_	VBN	VBN	_	11	cop	_	_
10	our	_	PRP$	PRP$	_	11	poss	_	_
11	room	_	NN	NN	_	3	rcmod	_	_
12	,	_	,	,	_	0	erased	_	_
13	was	_	VBD	VBD	_	14	cop	_	_
14	something	_	NN	NN	_	0	root	_	_
15	made	_	VBN	VBN	_	14	vmod	_	_
16	a	_	DT	DT	_	17	det	_	_
17	lot	_	NN	NN	_	15	dobj	_	_
18	of	_	IN	IN	_	17	prep	_	_
19	noise	_	NN	NN	_	18	pobj	_	_
20	during	_	IN	IN	_	15	prep	_	_
21	the	_	DT	DT	_	22	det	_	_
22	night	_	NN	NN	_	20	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	think	_	VBP	VBP	_	0	root	_	_
3	it	_	PRP	PRP	_	5	nsubj	_	_
4	was	_	VBD	VBD	_	5	aux	_	_
5	coming	_	VBG	VBG	_	2	ccomp	_	_
6	from	_	IN	IN	_	5	prep	_	_
7	our	_	PRP$	PRP$	_	8	poss	_	_
8	fridge	_	NN	NN	_	6	pobj	_	_
9	-	_	:	:	_	0	erased	_	_
10	not	_	RB	RB	_	2	neg	_	_
11	exactly	_	RB	RB	_	12	advmod	_	_
12	sure	_	JJ	JJ	_	2	parataxis	_	_
13	-	_	:	:	_	0	erased	_	_
14	we	_	PRP	PRP	_	17	nsubj	_	_
15	were	_	VBD	VBD	_	17	cop	_	_
16	too	_	RB	RB	_	17	advmod	_	_
17	tired	_	JJ	JJ	_	2	parataxis	_	_
18	to	_	TO	TO	_	19	aux	_	_
19	check	_	VB	VB	_	17	xcomp	_	_
20	it	_	PRP	PRP	_	19	dobj	_	_
21	out	_	RP	RP	_	19	prt	_	_
22	!	_	.	.	_	0	erased	_	_

1	But	_	CC	CC	_	9	cc	_	_
2	other	_	JJ	JJ	_	9	advmod	_	_
3	than	_	IN	IN	_	2	prep	_	_
4	that	_	DT	DT	_	3	pobj	_	_
5	,	_	,	,	_	0	erased	_	_
6	we	_	PRP	PRP	_	9	nsubj	_	_
7	were	_	VBD	VBD	_	9	cop	_	_
8	very	_	RB	RB	_	9	advmod	_	_
9	impressed	_	JJ	JJ	_	0	root	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	would	_	MD	MD	_	13	aux	_	_
12	definitely	_	RB	RB	_	13	advmod	_	_
13	go	_	VB	VB	_	9	conj	_	_
14	back	_	RB	RB	_	13	advmod	_	_
15	!	_	.	.	_	0	erased	_	_

