1	Well	_	UH	UH	_	7	discourse	_	_
22	her	_	PRP	PRP	_	21	iobj	_	_
23	the	_	DT	DT	_	24	det	_	_
24	information	_	NN	NN	_	21	dobj	_	_
25	I	_	PRP	PRP	_	26	nsubj	_	_
26	needed	_	VBD	VBD	_	24	rcmod	_	_
27	it	_	PRP	PRP	_	26	dobj	_	_
28	too	_	RB	RB	_	26	advmod	_	_
29	,	_	,	,	_	0	erased	_	_
30	she	_	PRP	PRP	_	31	nsubj	_	_
31	offered	_	VBD	VBD	_	10	conj	_	_
32	to	_	TO	TO	_	33	aux	_	_
33	cancel	_	VB	VB	_	31	xcomp	_	_
34	my	_	PRP$	PRP$	_	35	poss	_	_
35	reservation	_	NN	NN	_	33	dobj	_	_
36	,	_	,	,	_	0	erased	_	_
37	with	_	IN	IN	_	31	prep	_	_
38	a	_	DT	DT	_	43	det	_	_
39	one	_	CD	CD	_	43	num	_	_
40	night	_	NN	NN	_	43	nn	_	_
41	hotel	_	NN	NN	_	43	nn	_	_
42	stay	_	NN	NN	_	43	nn	_	_
43	fee	_	NN	NN	_	37	pobj	_	_
44	.	_	.	.	_	0	erased	_	_

1	Granted	_	VBN	VBN	_	7	vmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	it	_	PRP	PRP	_	7	nsubj	_	_
4	was	_	VBD	VBD	_	7	cop	_	_
5	already	_	RB	RB	_	7	advmod	_	_
6	7:30	_	CD	CD	_	7	num	_	_
7	PM	_	NN	NN	_	0	root	_	_
8	by	_	IN	IN	_	7	prep	_	_
9	this	_	DT	DT	_	10	det	_	_
10	time	_	NN	NN	_	8	pobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	All	_	DT	DT	_	7	nsubj	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
3	needed	_	VBD	VBD	_	7	parataxis	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	do	_	VB	VB	_	3	xcomp	_	_
6	,	_	,	,	_	0	erased	_	_
7	was	_	VBD	VBD	_	0	root	_	_
8	call	_	VB	VB	_	7	ccomp	_	_
9	Priceline	_	NNP	NNP	_	8	dobj	_	_
10	back	_	RB	RB	_	8	advmod	_	_
11	,	_	,	,	_	0	erased	_	_
12	and	_	CC	CC	_	8	cc	_	_
13	confirm	_	VB	VB	_	8	conj	_	_
14	this	_	DT	DT	_	13	dobj	_	_
15	with	_	IN	IN	_	14	prep	_	_
16	them	_	PRP	PRP	_	15	pobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	She	_	PRP	PRP	_	4	nsubj	_	_
2	would	_	MD	MD	_	4	aux	_	_
3	then	_	RB	RB	_	4	advmod	_	_
4	call	_	VB	VB	_	0	root	_	_
5	Priceline	_	NNP	NNP	_	4	dobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	and	_	CC	CC	_	4	cc	_	_
8	confirm	_	VB	VB	_	4	conj	_	_
9	on	_	IN	IN	_	8	prep	_	_
10	her	_	PRP$	PRP$	_	11	poss	_	_
11	end	_	NN	NN	_	9	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	She	_	PRP	PRP	_	3	nsubj	_	_
2	even	_	RB	RB	_	3	advmod	_	_
3	let	_	VBP	VBP	_	0	root	_	_
4	me	_	PRP	PRP	_	5	nsubj	_	_
5	know	_	VB	VB	_	3	ccomp	_	_
6	,	_	,	,	_	0	erased	_	_
7	that	_	IN	IN	_	13	mark	_	_
8	she	_	PRP	PRP	_	13	nsubj	_	_
9	was	_	VBD	VBD	_	13	cop	_	_
10	a	_	DT	DT	_	12	det	_	_
11	little	_	JJ	JJ	_	12	amod	_	_
12	bit	_	NN	NN	_	13	npadvmod	_	_
13	busy	_	JJ	JJ	_	3	ccomp	_	_
14	with	_	IN	IN	_	13	prep	_	_
15	people	_	NNS	NNS	_	14	pobj	_	_
16	in	_	IN	IN	_	15	prep	_	_
17	line	_	NN	NN	_	16	pobj	_	_
18	,	_	,	,	_	0	erased	_	_
19	but	_	CC	CC	_	13	cc	_	_
20	that	_	IN	IN	_	22	mark	_	_
21	I	_	PRP	PRP	_	22	nsubj	_	_
22	had	_	VBD	VBD	_	13	conj	_	_
23	her	_	PRP$	PRP$	_	24	poss	_	_
24	commitment	_	NN	NN	_	22	dobj	_	_
25	that	_	IN	IN	_	28	mark	_	_
26	she	_	PRP	PRP	_	28	nsubj	_	_
27	would	_	MD	MD	_	28	aux	_	_
28	call	_	VB	VB	_	22	ccomp	_	_
29	within	_	IN	IN	_	28	prep	_	_
30	the	_	DT	DT	_	33	det	_	_
31	next	_	JJ	JJ	_	33	amod	_	_
32	30	_	CD	CD	_	33	num	_	_
33	minutes	_	NNS	NNS	_	29	pobj	_	_
34	.	_	.	.	_	0	erased	_	_

1	Low	_	JJ	JJ	_	6	ccomp	_	_
2	and	_	CC	CC	_	1	cc	_	_
3	behold	_	JJ	JJ	_	1	conj	_	_
4	,	_	,	,	_	0	erased	_	_
5	I	_	PRP	PRP	_	6	nsubj	_	_
6	had	_	VBD	VBD	_	0	root	_	_
7	Priceline	_	NNP	NNP	_	6	dobj	_	_
8	calling	_	VBG	VBG	_	7	vmod	_	_
9	me	_	PRP	PRP	_	8	dobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	to	_	TO	TO	_	12	aux	_	_
12	follow	_	VB	VB	_	8	vmod	_	_
13	up	_	RP	RP	_	12	prt	_	_
14	with	_	IN	IN	_	12	prep	_	_
15	me	_	PRP	PRP	_	14	pobj	_	_
16	that	_	IN	IN	_	20	mark	_	_
17	the	_	DT	DT	_	18	det	_	_
18	hotel	_	NN	NN	_	20	nsubj	_	_
19	had	_	VBD	VBD	_	20	aux	_	_
20	called	_	VBN	VBN	_	12	ccomp	_	_
21	and	_	CC	CC	_	20	cc	_	_
22	I	_	PRP	PRP	_	25	nsubjpass	_	_
23	would	_	MD	MD	_	25	aux	_	_
24	be	_	VB	VB	_	25	auxpass	_	_
25	refunded	_	VBN	VBN	_	20	conj	_	_
26	for	_	IN	IN	_	25	prep	_	_
27	the	_	DT	DT	_	29	det	_	_
28	additional	_	JJ	JJ	_	29	amod	_	_
29	nights	_	NNS	NNS	_	26	pobj	_	_
30	.	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	6	nsubj	_	_
2	was	_	VBD	VBD	_	6	cop	_	_
3	an	_	DT	DT	_	6	det	_	_
4	unbelievably	_	RB	RB	_	5	advmod	_	_
5	positive	_	JJ	JJ	_	6	amod	_	_
6	experience	_	NN	NN	_	0	root	_	_
7	in	_	IN	IN	_	6	prep	_	_
8	my	_	PRP$	PRP$	_	9	poss	_	_
9	book	_	NN	NN	_	7	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	5	nsubj	_	_
2	will	_	MD	MD	_	5	aux	_	_
3	be	_	VB	VB	_	5	cop	_	_
4	more	_	RBR	RBR	_	5	advmod	_	_
5	apt	_	JJ	JJ	_	0	root	_	_
6	to	_	TO	TO	_	7	aux	_	_
7	use	_	VB	VB	_	5	xcomp	_	_
8	this	_	DT	DT	_	9	det	_	_
9	hotel	_	NN	NN	_	7	dobj	_	_
10	in	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	future	_	NN	NN	_	10	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	Given	_	VBN	VBN	_	13	prep	_	_
2	it	_	PRP	PRP	_	4	poss	_	_
3	's	_	POS	POS	_	2	possessive	_	_
4	location	_	NN	NN	_	1	pobj	_	_
5	,	_	,	,	_	0	erased	_	_
6	and	_	CC	CC	_	4	cc	_	_
7	great	_	JJ	JJ	_	8	amod	_	_
8	reviews	_	NNS	NNS	_	4	conj	_	_
9	,	_	,	,	_	0	erased	_	_
10	I	_	PRP	PRP	_	13	nsubj	_	_
11	will	_	MD	MD	_	13	aux	_	_
12	be	_	VB	VB	_	13	cop	_	_
13	sure	_	JJ	JJ	_	0	root	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	make	_	VB	VB	_	13	xcomp	_	_
16	sure	_	JJ	JJ	_	15	acomp	_	_
17	that	_	IN	IN	_	19	mark	_	_
18	I	_	PRP	PRP	_	19	nsubj	_	_
19	give	_	VBP	VBP	_	15	ccomp	_	_
20	this	_	DT	DT	_	22	det	_	_
21	hotel	_	NN	NN	_	22	nn	_	_
22	business	_	NN	NN	_	19	dobj	_	_
23	in	_	IN	IN	_	22	prep	_	_
24	the	_	DT	DT	_	25	det	_	_
25	future	_	NN	NN	_	23	pobj	_	_
26	.	_	.	.	_	0	erased	_	_

1	Kudos	_	NNS	NNS	_	4	nsubj	_	_
2	to	_	TO	TO	_	1	prep	_	_
3	you	_	PRP	PRP	_	2	pobj	_	_
4	Doubletree	_	VBP	VBP	_	0	root	_	_
5	!	_	CD	CD	_	0	erased	_	_
6	Thanks	_	NNS	NNS	_	7	npadvmod	_	_
7	for	_	IN	IN	_	4	prep	_	_
8	making	_	VBG	VBG	_	7	pcomp	_	_
9	what	_	WP	WP	_	15	nsubj	_	_
10	could	_	MD	MD	_	15	aux	_	_
11	have	_	VB	VB	_	15	aux	_	_
12	been	_	VBN	VBN	_	15	cop	_	_
13	a	_	DT	DT	_	15	det	_	_
14	poor	_	JJ	JJ	_	15	amod	_	_
15	experience	_	NN	NN	_	8	ccomp	_	_
16	,	_	,	,	_	0	erased	_	_
17	a	_	DT	DT	_	19	det	_	_
18	great	_	JJ	JJ	_	19	amod	_	_
19	one	_	NN	NN	_	15	appos	_	_
20	!	_	.	.	_	0	erased	_	_

