1	Oh	_	UH	UH	_	4	discourse	_	_
2	a	_	DT	DT	_	5	det	_	_
3	late	_	JJ	JJ	_	5	amod	_	_
4	Saturday	_	NNP	NNP	_	5	nn	_	_
5	night	_	NN	NN	_	1	pobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	the	_	DT	DT	_	22	det	_	_
8	second	_	JJ	JJ	_	22	amod	_	_
9	to	_	TO	TO	_	8	prep	_	_
10	last	_	JJ	JJ	_	11	amod	_	_
11	train	_	NN	NN	_	9	pobj	_	_
12	out	_	RB	RB	_	13	advmod	_	_
13	of	_	IN	IN	_	11	prep	_	_
14	the	_	DT	DT	_	15	det	_	_
15	station	_	NN	NN	_	13	pobj	_	_
16	,	_	,	,	_	0	erased	_	_
17	the	_	DT	DT	_	19	det	_	_
18	normally	_	JJ	JJ	_	19	amod	_	_
19	dreary	_	NN	NN	_	15	conj	_	_
20	and	_	CC	CC	_	15	cc	_	_
21	creepy	_	NN	NN	_	15	conj	_	_
22	maze	_	NN	NN	_	26	nsubj	_	_
23	of	_	IN	IN	_	22	prep	_	_
24	Union	_	NNP	NNP	_	25	nn	_	_
25	Station	_	NNP	NNP	_	23	pobj	_	_
26	became	_	VBD	VBD	_	0	root	_	_
27	an	_	DT	DT	_	29	det	_	_
28	inebriated	_	JJ	JJ	_	29	amod	_	_
29	feast	_	NN	NN	_	26	xcomp	_	_
30	for	_	IN	IN	_	26	prep	_	_
31	the	_	DT	DT	_	32	det	_	_
32	senses	_	NNS	NNS	_	30	pobj	_	_
33	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	4	expl	_	_
2	was	_	VBD	VBD	_	4	aux	_	_
3	wild	_	RB	RB	_	4	advmod	_	_
4	dancing	_	VBG	VBG	_	0	root	_	_
5	at	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	foot	_	NN	NN	_	5	pobj	_	_
8	of	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	escalators	_	NNS	NNS	_	8	pobj	_	_
11	at	_	IN	IN	_	10	prep	_	_
12	the	_	DT	DT	_	15	det	_	_
13	Adams	_	NNP	NNP	_	15	nn	_	_
14	Street	_	NNP	NNP	_	15	nn	_	_
15	Entrance	_	NNP	NNP	_	11	pobj	_	_
16	,	_	,	,	_	0	erased	_	_
17	free	_	JJ	JJ	_	18	amod	_	_
18	McDonald	_	NNP	NNP	_	15	conj	_	_
19	's	_	POS	POS	_	18	possessive	_	_
20	,	_	,	,	_	0	erased	_	_
21	and	_	CC	CC	_	15	cc	_	_
22	a	_	DT	DT	_	24	det	_	_
23	beautiful	_	JJ	JJ	_	24	amod	_	_
24	rendition	_	NN	NN	_	15	conj	_	_
25	of	_	IN	IN	_	24	prep	_	_
26	``	_	``	``	_	0	erased	_	_
27	Sweet	_	NNP	NNP	_	28	nn	_	_
28	Caroline	_	NNP	NNP	_	25	pobj	_	_
29	''	_	''	''	_	0	erased	_	_
30	by	_	IN	IN	_	4	prep	_	_
31	all	_	DT	DT	_	30	pobj	_	_
32	of	_	IN	IN	_	31	prep	_	_
33	the	_	DT	DT	_	34	det	_	_
34	passengers	_	NNS	NNS	_	32	pobj	_	_
35	in	_	IN	IN	_	34	prep	_	_
36	our	_	PRP$	PRP$	_	37	poss	_	_
37	car	_	NN	NN	_	35	pobj	_	_
38	on	_	IN	IN	_	37	prep	_	_
39	the	_	DT	DT	_	40	det	_	_
40	BNSF	_	NNP	NNP	_	38	pobj	_	_
41	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	6	det	_	_
2	drunken	_	JJ	JJ	_	6	amod	_	_
3	,	_	,	,	_	0	erased	_	_
4	ragged	_	JJ	JJ	_	6	amod	_	_
5	,	_	,	,	_	0	erased	_	_
6	hobo	_	NN	NN	_	46	nsubj	_	_
7	,	_	,	,	_	0	erased	_	_
8	who	_	WP	WP	_	13	nsubj	_	_
9	for	_	IN	IN	_	13	prep	_	_
10	some	_	DT	DT	_	12	det	_	_
11	inexplicable	_	JJ	JJ	_	12	amod	_	_
12	reason	_	NN	NN	_	9	pobj	_	_
13	had	_	VBD	VBD	_	6	rcmod	_	_
14	green	_	JJ	JJ	_	16	amod	_	_
15	St.	_	NNP	NNP	_	16	nn	_	_
16	Patty	_	NNP	NNP	_	20	poss	_	_
17	's	_	POS	POS	_	16	possessive	_	_
18	Day	_	NN	NN	_	20	nn	_	_
19	beads	_	NNS	NNS	_	20	nn	_	_
20	strung	_	NN	NN	_	13	dobj	_	_
21	`	_	``	``	_	0	erased	_	_
22	round	_	VB	VB	_	31	ccomp	_	_
23	his	_	PRP$	PRP$	_	25	poss	_	_
24	haggard	_	JJ	JJ	_	25	amod	_	_
25	neck	_	NN	NN	_	22	dobj	_	_
26	stumbling	_	VBG	VBG	_	25	vmod	_	_
27	by	_	IN	IN	_	26	prep	_	_
28	us	_	PRP	PRP	_	27	pobj	_	_
29	,	_	,	,	_	0	erased	_	_
30	eyes	_	NNS	NNS	_	31	nsubj	_	_
31	locked	_	VBD	VBD	_	20	dep	_	_
32	on	_	IN	IN	_	31	prep	_	_
33	my	_	PRP$	PRP$	_	34	poss	_	_
34	boyfriend	_	NN	NN	_	32	pobj	_	_
35	,	_	,	,	_	0	erased	_	_
36	growling	_	VBG	VBG	_	31	xcomp	_	_
37	``	_	``	``	_	0	erased	_	_
38	grabass	_	NNS	NNS	_	36	dobj	_	_
39	...	_	:	:	_	0	erased	_	_
40	grabass	_	NNS	NNS	_	38	dep	_	_
41	...	_	:	:	_	0	erased	_	_
42	grabass	_	NNS	NNS	_	40	dep	_	_
43	...	_	:	:	_	0	erased	_	_
44	''	_	''	''	_	0	erased	_	_
45	actually	_	RB	RB	_	46	advmod	_	_
46	made	_	VBD	VBD	_	0	root	_	_
47	our	_	PRP$	PRP$	_	48	poss	_	_
48	party	_	NN	NN	_	49	nsubj	_	_
49	lose	_	VBP	VBP	_	46	ccomp	_	_
50	focus	_	NN	NN	_	49	dobj	_	_
51	on	_	IN	IN	_	49	prep	_	_
52	the	_	DT	DT	_	53	det	_	_
53	fact	_	NN	NN	_	51	pobj	_	_
54	that	_	IN	IN	_	61	mark	_	_
55	a	_	DT	DT	_	56	det	_	_
56	man	_	NN	NN	_	61	nsubj	_	_
57	was	_	VBD	VBD	_	61	aux	_	_
58	loudly	_	RB	RB	_	61	advmod	_	_
59	and	_	CC	CC	_	58	cc	_	_
60	repeatedly	_	RB	RB	_	58	conj	_	_
61	squealing	_	VBG	VBG	_	49	ccomp	_	_
62	in	_	IN	IN	_	61	prep	_	_
63	the	_	DT	DT	_	64	det	_	_
64	mens	_	NNS	NNS	_	66	poss	_	_
65	'	_	POS	POS	_	0	erased	_	_
66	restroom	_	NN	NN	_	62	pobj	_	_
67	at	_	IN	IN	_	61	prep	_	_
68	the	_	DT	DT	_	70	det	_	_
69	same	_	JJ	JJ	_	70	amod	_	_
70	moment	_	NN	NN	_	67	pobj	_	_
71	.	_	.	.	_	0	erased	_	_

1	Jubilation	_	NN	NN	_	0	root	_	_
2	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	next	_	JJ	JJ	_	3	amod	_	_
3	morning	_	NN	NN	_	17	tmod	_	_
4	,	_	,	,	_	0	erased	_	_
5	as	_	IN	IN	_	7	mark	_	_
6	we	_	PRP	PRP	_	7	nsubj	_	_
7	woke	_	VBD	VBD	_	17	advcl	_	_
8	with	_	IN	IN	_	7	prep	_	_
9	twinkles	_	NNS	NNS	_	8	pobj	_	_
10	in	_	IN	IN	_	7	prep	_	_
11	our	_	PRP$	PRP$	_	12	poss	_	_
12	eye	_	NN	NN	_	10	pobj	_	_
13	,	_	,	,	_	0	erased	_	_
14	we	_	PRP	PRP	_	17	nsubj	_	_
15	were	_	VBD	VBD	_	17	cop	_	_
16	hardly	_	RB	RB	_	17	advmod	_	_
17	sure	_	JJ	JJ	_	0	root	_	_
18	that	_	IN	IN	_	25	mark	_	_
19	the	_	DT	DT	_	20	det	_	_
20	festival	_	NN	NN	_	25	nsubj	_	_
21	that	_	IN	IN	_	23	mark	_	_
22	we	_	PRP	PRP	_	23	nsubj	_	_
23	saw	_	VBD	VBD	_	20	dep	_	_
24	was	_	VBD	VBD	_	25	cop	_	_
25	real	_	JJ	JJ	_	17	ccomp	_	_
26	,	_	,	,	_	0	erased	_	_
27	or	_	CC	CC	_	25	cc	_	_
28	simply	_	RB	RB	_	30	advmod	_	_
29	an	_	DT	DT	_	30	det	_	_
30	apparition	_	NN	NN	_	25	conj	_	_
31	.	_	.	.	_	0	erased	_	_

1	On	_	IN	IN	_	8	prep	_	_
2	a	_	DT	DT	_	5	det	_	_
3	more	_	RBR	RBR	_	4	advmod	_	_
4	serious	_	JJ	JJ	_	5	amod	_	_
5	note	_	NN	NN	_	1	pobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	here	_	RB	RB	_	8	advmod	_	_
8	's	_	VBZ	VBZ	_	0	root	_	_
9	how	_	WRB	WRB	_	12	advmod	_	_
10	I	_	PRP	PRP	_	12	nsubj	_	_
11	really	_	RB	RB	_	12	advmod	_	_
12	feel	_	VBP	VBP	_	8	ccomp	_	_
13	about	_	IN	IN	_	12	prep	_	_
14	Union	_	NNP	NNP	_	15	nn	_	_
15	Station	_	NNP	NNP	_	13	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	Ease	_	NNP	NNP	_	22	nsubj	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	use	_	NN	NN	_	2	pobj	_	_
4	:	_	:	:	_	0	erased	_	_
5	2	_	CD	CD	_	6	num	_	_
6	Friends	_	NNS	NNS	_	1	dep	_	_
7	from	_	IN	IN	_	6	prep	_	_
8	Texas	_	NNP	NNP	_	7	pobj	_	_
9	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
10	mind	_	VB	VB	_	1	dep	_	_
11	you	_	PRP	PRP	_	10	dobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	extremely	_	RB	RB	_	14	advmod	_	_
14	spacey	_	JJ	JJ	_	16	amod	_	_
15	young	_	JJ	JJ	_	16	amod	_	_
16	friends	_	NNS	NNS	_	11	appos	_	_
17	,	_	,	,	_	0	erased	_	_
18	FROM	_	NNP	NNP	_	19	nn	_	_
19	TEXAS	_	NNP	NNP	_	11	appos	_	_
20	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
21	were	_	VBD	VBD	_	22	cop	_	_
22	able	_	JJ	JJ	_	0	root	_	_
23	to	_	TO	TO	_	24	aux	_	_
24	come	_	VB	VB	_	22	xcomp	_	_
25	in	_	RP	RP	_	24	prt	_	_
26	on	_	IN	IN	_	24	prep	_	_
27	the	_	DT	DT	_	28	det	_	_
28	Amtrak	_	NNP	NNP	_	26	pobj	_	_
29	and	_	CC	CC	_	24	cc	_	_
30	find	_	VB	VB	_	24	conj	_	_
31	their	_	PRP$	PRP$	_	32	poss	_	_
32	way	_	NN	NN	_	30	dobj	_	_
33	out	_	RP	RP	_	30	prt	_	_
34	here	_	RB	RB	_	30	advmod	_	_
35	to	_	TO	TO	_	30	prep	_	_
36	the	_	DT	DT	_	39	det	_	_
37	Riverside	_	NNP	NNP	_	39	nn	_	_
38	Metra	_	NNP	NNP	_	39	nn	_	_
39	station	_	NN	NN	_	35	pobj	_	_
40	with	_	IN	IN	_	39	prep	_	_
41	no	_	DT	DT	_	42	neg	_	_
42	confusion	_	NN	NN	_	40	pobj	_	_
43	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	5	nsubj	_	_
2	,	_	,	,	_	0	erased	_	_
3	however	_	RB	RB	_	5	advmod	_	_
4	,	_	,	,	_	0	erased	_	_
5	feel	_	VBP	VBP	_	0	root	_	_
6	that	_	IN	IN	_	14	mark	_	_
7	Union	_	NNP	NNP	_	8	nn	_	_
8	Station	_	NNP	NNP	_	14	nsubj	_	_
9	is	_	VBZ	VBZ	_	14	cop	_	_
10	an	_	DT	DT	_	14	det	_	_
11	abominable	_	JJ	JJ	_	14	amod	_	_
12	,	_	,	,	_	0	erased	_	_
13	light	_	JJ	JJ	_	14	amod	_	_
14	starved	_	NN	NN	_	5	ccomp	_	_
15	,	_	,	,	_	0	erased	_	_
16	maze	_	NN	NN	_	14	appos	_	_
17	of	_	IN	IN	_	16	prep	_	_
18	frustration	_	NN	NN	_	17	pobj	_	_
19	with	_	IN	IN	_	18	prep	_	_
20	dirty	_	JJ	JJ	_	21	amod	_	_
21	restrooms	_	NNS	NNS	_	19	pobj	_	_
22	closed	_	VBN	VBN	_	21	vmod	_	_
23	at	_	IN	IN	_	22	prep	_	_
24	inconvenient	_	JJ	JJ	_	25	amod	_	_
25	times	_	NNS	NNS	_	23	pobj	_	_
26	.	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	6	cc	_	_
2	why	_	WRB	WRB	_	6	advmod	_	_
3	are	_	VBP	VBP	_	6	cop	_	_
4	n't	_	RB	RB	_	6	neg	_	_
5	the	_	DT	DT	_	6	det	_	_
6	tickets	_	NNS	NNS	_	0	root	_	_
7	closer	_	JJR	JJR	_	6	dep	_	_
8	to	_	TO	TO	_	7	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	tracks	_	NNS	NNS	_	8	pobj	_	_
11	?	_	.	.	_	0	erased	_	_

1	Why	_	VB	VB	_	0	root	_	_
2	the	_	DT	DT	_	11	det	_	_
3	confusing	_	JJ	JJ	_	11	amod	_	_
4	north	_	RB	RB	_	3	advmod	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	south	_	RB	RB	_	4	conj	_	_
7	,	_	,	,	_	0	erased	_	_
8	odd	_	JJ	JJ	_	11	amod	_	_
9	and	_	CC	CC	_	8	cc	_	_
10	even	_	RB	RB	_	8	advmod	_	_
11	system	_	NN	NN	_	1	dobj	_	_
12	?	_	.	.	_	0	erased	_	_

1	Ugh	_	VB	VB	_	0	root	_	_
2	!	_	.	.	_	0	erased	_	_

1	While	_	IN	IN	_	5	mark	_	_
2	things	_	NNS	NNS	_	5	nsubjpass	_	_
3	could	_	MD	MD	_	5	aux	_	_
4	be	_	VB	VB	_	5	auxpass	_	_
5	done	_	VBN	VBN	_	12	advcl	_	_
6	better	_	RBR	RBR	_	5	advmod	_	_
7	,	_	,	,	_	0	erased	_	_
8	I	_	PRP	PRP	_	12	nsubj	_	_
9	've	_	VBP	VBP	_	12	aux	_	_
10	always	_	RB	RB	_	12	advmod	_	_
11	been	_	VBN	VBN	_	12	cop	_	_
12	able	_	JJ	JJ	_	0	root	_	_
13	to	_	TO	TO	_	14	aux	_	_
14	find	_	VB	VB	_	12	xcomp	_	_
15	my	_	PRP$	PRP$	_	16	poss	_	_
16	way	_	NN	NN	_	14	dobj	_	_
17	in	_	IN	IN	_	14	advmod	_	_
18	and	_	CC	CC	_	17	cc	_	_
19	out	_	IN	IN	_	17	conj	_	_
20	and	_	CC	CC	_	14	cc	_	_
21	be	_	VB	VB	_	14	conj	_	_
22	on	_	IN	IN	_	21	prep	_	_
23	my	_	PRP$	PRP$	_	24	poss	_	_
24	way	_	NN	NN	_	22	pobj	_	_
25	in	_	IN	IN	_	24	prep	_	_
26	a	_	DT	DT	_	28	det	_	_
27	timely	_	JJ	JJ	_	28	amod	_	_
28	manner	_	NN	NN	_	25	pobj	_	_
29	.	_	.	.	_	0	erased	_	_

1	Timeliness	_	NNS	NNS	_	0	root	_	_
2	:	_	:	:	_	0	erased	_	_
3	4	_	CD	CD	_	1	dep	_	_
4	I	_	PRP	PRP	_	6	nsubj	_	_
5	've	_	VBP	VBP	_	6	aux	_	_
6	noticed	_	VBN	VBN	_	3	rcmod	_	_
7	a	_	DT	DT	_	8	det	_	_
8	lot	_	NN	NN	_	6	dobj	_	_
9	of	_	IN	IN	_	8	prep	_	_
10	complaints	_	NNS	NNS	_	9	pobj	_	_
11	here	_	RB	RB	_	6	advmod	_	_
12	that	_	IN	IN	_	15	mark	_	_
13	trains	_	NNS	NNS	_	15	nsubjpass	_	_
14	are	_	VBP	VBP	_	15	auxpass	_	_
15	delayed	_	VBN	VBN	_	6	ccomp	_	_
16	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	've	_	VBP	VBP	_	4	aux	_	_
3	never	_	RB	RB	_	4	neg	_	_
4	had	_	VBN	VBN	_	0	root	_	_
5	that	_	DT	DT	_	4	dobj	_	_
6	happen	_	VB	VB	_	4	dep	_	_
7	,	_	,	,	_	0	erased	_	_
8	until	_	IN	IN	_	4	prep	_	_
9	recently	_	RB	RB	_	10	advmod	_	_
10	when	_	WRB	WRB	_	15	advmod	_	_
11	the	_	DT	DT	_	12	det	_	_
12	BNSF	_	NNP	NNP	_	15	nsubj	_	_
13	has	_	VBZ	VBZ	_	15	aux	_	_
14	been	_	VBN	VBN	_	15	aux	_	_
15	running	_	VBG	VBG	_	8	pcomp	_	_
16	up	_	RP	RP	_	15	prt	_	_
17	to	_	TO	TO	_	15	prep	_	_
18	10	_	CD	CD	_	19	num	_	_
19	minutes	_	NNS	NNS	_	17	pobj	_	_
20	behind	_	RB	RB	_	15	advmod	_	_
21	.	_	.	.	_	0	erased	_	_

1	No	_	DT	DT	_	3	neg	_	_
2	big	_	JJ	JJ	_	3	amod	_	_
3	deal	_	NN	NN	_	0	root	_	_
4	.	_	.	.	_	0	erased	_	_

1	Food	_	NNP	NNP	_	0	root	_	_
2	:	_	:	:	_	0	erased	_	_
3	3	_	CD	CD	_	4	npadvmod	_	_
4	Really	_	RB	RB	_	1	advmod	_	_
5	,	_	,	,	_	0	erased	_	_
6	the	_	DT	DT	_	11	det	_	_
7	only	_	RB	RB	_	8	advmod	_	_
8	places	_	NNS	NNS	_	11	dep	_	_
9	here	_	RB	RB	_	8	dep	_	_
10	worth	_	NN	NN	_	11	nn	_	_
11	eating	_	NN	NN	_	15	nsubj	_	_
12	are	_	VBP	VBP	_	15	cop	_	_
13	Gold	_	NNP	NNP	_	15	nn	_	_
14	Coast	_	NNP	NNP	_	15	nn	_	_
15	dogs	_	NNS	NNS	_	1	dep	_	_
16	,	_	,	,	_	0	erased	_	_
17	and	_	CC	CC	_	15	cc	_	_
18	the	_	DT	DT	_	20	det	_	_
19	Metro	_	NNP	NNP	_	20	nn	_	_
20	Bar	_	NNP	NNP	_	15	conj	_	_
21	and	_	CC	CC	_	15	cc	_	_
22	Grill	_	NNP	NNP	_	15	conj	_	_
23	,	_	,	,	_	0	erased	_	_
24	which	_	WDT	WDT	_	28	nsubj	_	_
25	,	_	,	,	_	0	erased	_	_
26	confusingly	_	RB	RB	_	28	advmod	_	_
27	,	_	,	,	_	0	erased	_	_
28	is	_	VBZ	VBZ	_	22	rcmod	_	_
29	n't	_	RB	RB	_	28	neg	_	_
30	in	_	IN	IN	_	28	prep	_	_
31	the	_	DT	DT	_	33	det	_	_
32	food	_	NN	NN	_	33	nn	_	_
33	court	_	NN	NN	_	30	pobj	_	_
34	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	6	nsubj	_	_
2	is	_	VBZ	VBZ	_	6	cop	_	_
3	,	_	,	,	_	0	erased	_	_
4	however	_	RB	RB	_	6	advmod	_	_
5	,	_	,	,	_	0	erased	_	_
6	located	_	JJ	JJ	_	0	root	_	_
7	near	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	11	det	_	_
9	beautiful	_	JJ	JJ	_	11	amod	_	_
10	great	_	JJ	JJ	_	11	amod	_	_
11	hall	_	NN	NN	_	7	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	Definitely	_	RB	RB	_	2	advmod	_	_
2	worth	_	JJ	JJ	_	0	root	_	_
3	a	_	DT	DT	_	4	det	_	_
4	visit	_	NN	NN	_	8	dep	_	_
5	if	_	IN	IN	_	8	mark	_	_
6	you	_	PRP	PRP	_	8	nsubj	_	_
7	're	_	VBP	VBP	_	8	cop	_	_
8	hungry	_	JJ	JJ	_	2	dep	_	_
9	in	_	IN	IN	_	8	prep	_	_
10	Union	_	NNP	NNP	_	11	nn	_	_
11	Station	_	NNP	NNP	_	9	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	My	_	PRP$	PRP$	_	2	poss	_	_
2	boyfriend	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	eat	_	VBP	VBP	_	0	root	_	_
6	at	_	IN	IN	_	5	prep	_	_
7	Cajun	_	NNP	NNP	_	8	nn	_	_
8	Grill	_	NNP	NNP	_	6	pobj	_	_
9	for	_	IN	IN	_	8	prep	_	_
10	mostly	_	RB	RB	_	11	advmod	_	_
11	emotional	_	JJ	JJ	_	12	amod	_	_
12	reasons	_	NNS	NNS	_	9	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	owners	_	NNS	NNS	_	5	nsubj	_	_
3	are	_	VBP	VBP	_	5	cop	_	_
4	there	_	RB	RB	_	5	advmod	_	_
5	ALWAYS	_	NNS	NNS	_	0	root	_	_
6	,	_	,	,	_	0	erased	_	_
7	shouting	_	VBG	VBG	_	5	vmod	_	_
8	at	_	IN	IN	_	7	prep	_	_
9	you	_	PRP	PRP	_	8	pobj	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	taste	_	VB	VB	_	7	xcomp	_	_
12	their	_	PRP$	PRP$	_	13	poss	_	_
13	wares	_	NNS	NNS	_	11	dobj	_	_
14	,	_	,	,	_	0	erased	_	_
15	and	_	CC	CC	_	11	cc	_	_
16	claim	_	NN	NN	_	11	conj	_	_
17	to	_	TO	TO	_	19	aux	_	_
18	be	_	VB	VB	_	19	auxpass	_	_
19	named	_	VBN	VBN	_	16	xcomp	_	_
20	Yum	_	NNP	NNP	_	19	dobj	_	_
21	.	_	.	.	_	0	erased	_	_

1	Venue	_	NNP	NNP	_	0	root	_	_
2	:	_	:	:	_	0	erased	_	_
3	???	_	NNP	NNP	_	1	dep	_	_

1	I	_	PRP	PRP	_	5	nsubj	_	_
2	really	_	RB	RB	_	5	advmod	_	_
3	do	_	VBP	VBP	_	5	aux	_	_
4	n't	_	RB	RB	_	5	neg	_	_
5	know	_	VB	VB	_	0	root	_	_
6	how	_	WRB	WRB	_	11	advmod	_	_
7	great	_	RB	RB	_	10	advmod	_	_
8	the	_	DT	DT	_	10	det	_	_
9	Great	_	NNP	NNP	_	10	nn	_	_
10	Hall	_	NNP	NNP	_	11	nsubj	_	_
11	is	_	VBZ	VBZ	_	5	ccomp	_	_
12	as	_	IN	IN	_	11	prep	_	_
13	a	_	DT	DT	_	14	det	_	_
14	venue	_	NN	NN	_	12	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	When	_	WRB	WRB	_	3	advmod	_	_
2	there	_	RB	RB	_	3	advmod	_	_
3	with	_	IN	IN	_	9	advcl	_	_
4	aforementioned	_	JJ	JJ	_	6	amod	_	_
5	Texan	_	NNP	NNP	_	6	nn	_	_
6	friends	_	NNS	NNS	_	3	pobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	we	_	PRP	PRP	_	9	nsubj	_	_
9	wandered	_	VBD	VBD	_	0	root	_	_
10	near	_	IN	IN	_	9	prep	_	_
11	a	_	DT	DT	_	12	det	_	_
12	party	_	NN	NN	_	10	pobj	_	_
13	with	_	IN	IN	_	9	prep	_	_
14	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
15	I	_	PRP	PRP	_	16	nsubj	_	_
16	think	_	VBP	VBP	_	13	dep	_	_
17	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
18	live	_	JJ	JJ	_	19	amod	_	_
19	music	_	NN	NN	_	13	pobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	music	_	NN	NN	_	3	nsubj	_	_
3	sounded	_	VBD	VBD	_	0	root	_	_
4	really	_	RB	RB	_	5	advmod	_	_
5	bad	_	JJ	JJ	_	3	acomp	_	_
6	,	_	,	,	_	0	erased	_	_
7	echoing	_	VBG	VBG	_	3	xcomp	_	_
8	off	_	RP	RP	_	7	prt	_	_
9	of	_	IN	IN	_	7	prep	_	_
10	the	_	DT	DT	_	11	det	_	_
11	walls	_	NNS	NNS	_	9	pobj	_	_
12	created	_	VBN	VBN	_	11	vmod	_	_
13	a	_	DT	DT	_	14	det	_	_
14	lot	_	NN	NN	_	12	dobj	_	_
15	of	_	IN	IN	_	14	prep	_	_
16	reverberation	_	NN	NN	_	15	pobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	guys	_	NNS	NNS	_	3	nsubj	_	_
3	snuck	_	VBP	VBP	_	0	root	_	_
4	in	_	RP	RP	_	3	prt	_	_
5	and	_	CC	CC	_	3	cc	_	_
6	started	_	VBD	VBD	_	3	conj	_	_
7	pretending	_	VBG	VBG	_	6	xcomp	_	_
8	to	_	TO	TO	_	9	aux	_	_
9	help	_	VB	VB	_	7	xcomp	_	_
10	put	_	JJ	JJ	_	11	amod	_	_
11	stuff	_	NN	NN	_	9	dobj	_	_
12	away	_	RB	RB	_	9	advmod	_	_
13	.	_	.	.	_	0	erased	_	_

1	Entertainment	_	NNP	NNP	_	0	root	_	_
2	:	_	:	:	_	0	erased	_	_
3	5	_	CD	CD	_	4	number	_	_
4	Oh	_	CD	CD	_	5	num	_	_
5	god	_	NN	NN	_	1	dep	_	_
6	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	times	_	NNS	NNS	_	5	nsubj	_	_
3	I	_	PRP	PRP	_	5	nsubj	_	_
4	've	_	VBP	VBP	_	5	aux	_	_
