1	Hello	_	UH	UH	_	4	discourse	_	_
2	great	_	JJ	JJ	_	3	amod	_	_
3	thing	_	NN	NN	_	4	nsubj	_	_
4	was	_	VBD	VBD	_	0	root	_	_
5	that	_	IN	IN	_	11	mark	_	_
6	the	_	DT	DT	_	7	det	_	_
7	staff	_	NN	NN	_	11	nsubj	_	_
8	were	_	VBD	VBD	_	11	cop	_	_
9	both	_	DT	DT	_	11	det	_	_
10	very	_	RB	RB	_	11	advmod	_	_
11	nice	_	JJ	JJ	_	4	ccomp	_	_
12	and	_	CC	CC	_	11	cc	_	_
13	tried	_	VBD	VBD	_	11	conj	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	make	_	VB	VB	_	13	xcomp	_	_
16	my	_	PRP$	PRP$	_	17	poss	_	_
17	stay	_	NN	NN	_	15	dep	_	_
18	the	_	DT	DT	_	19	det	_	_
19	best	_	JJS	JJS	_	15	dobj	_	_
20	it	_	PRP	PRP	_	23	nsubj	_	_
21	could	_	MD	MD	_	23	aux	_	_
22	possibly	_	RB	RB	_	23	advmod	_	_
23	be	_	VB	VB	_	19	rcmod	_	_
24	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	stayed	_	VBD	VBD	_	0	root	_	_
3	in	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	9	det	_	_
5	4-bed	_	JJ	JJ	_	6	amod	_	_
6	female	_	JJ	JJ	_	9	amod	_	_
7	only	_	JJ	JJ	_	9	amod	_	_
8	room	_	NN	NN	_	9	nn	_	_
9	downstairs	_	NNS	NNS	_	3	pobj	_	_
10	and	_	CC	CC	_	2	cc	_	_
11	I	_	PRP	PRP	_	12	nsubj	_	_
12	loved	_	VBD	VBD	_	2	conj	_	_
13	it	_	PRP	PRP	_	12	dobj	_	_
14	!	_	.	.	_	0	erased	_	_

1	My	_	PRP$	PRP$	_	2	poss	_	_
2	bed	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	soooo	_	NN	NN	_	5	nn	_	_
5	comfy	_	NN	NN	_	0	root	_	_
6	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	felt	_	VBD	VBD	_	0	root	_	_
3	so	_	RB	RB	_	4	advmod	_	_
4	comfy	_	JJ	JJ	_	2	acomp	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	cozy	_	JJ	JJ	_	4	conj	_	_
7	throughout	_	IN	IN	_	2	prep	_	_
8	the	_	DT	DT	_	10	det	_	_
9	whole	_	JJ	JJ	_	10	amod	_	_
10	hostel	_	NN	NN	_	7	pobj	_	_
11	the	_	DT	DT	_	13	det	_	_
12	whole	_	JJ	JJ	_	13	amod	_	_
13	time	_	NN	NN	_	7	dep	_	_
14	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	will	_	MD	MD	_	4	aux	_	_
3	definitely	_	RB	RB	_	4	advmod	_	_
4	stay	_	VB	VB	_	0	root	_	_
5	there	_	RB	RB	_	4	advmod	_	_
6	the	_	DT	DT	_	8	det	_	_
7	next	_	JJ	JJ	_	8	amod	_	_
8	time	_	NN	NN	_	4	dobj	_	_
9	I	_	PRP	PRP	_	10	nsubj	_	_
10	'm	_	VBP	VBP	_	8	rcmod	_	_
11	in	_	IN	IN	_	10	prep	_	_
12	Chicago	_	NNP	NNP	_	11	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	Thank	_	NNP	NNP	_	4	nn	_	_
2	you	_	PRP	PRP	_	4	dep	_	_
3	!	_	NNP	NNP	_	0	erased	_	_
4	:-RRB-	_	NNP	NNP	_	0	root	_	_
5	-	_	:	:	_	0	erased	_	_
6	Erika	_	NNP	NNP	_	4	dep	_	_

