1	Wow	_	UH	UH	_	3	discourse	_	_
18	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	entire	_	JJ	JJ	_	3	amod	_	_
3	family	_	NN	NN	_	4	nsubj	_	_
4	loved	_	VBD	VBD	_	0	root	_	_
5	it	_	PRP	PRP	_	4	dobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	even	_	RB	RB	_	5	advmod	_	_
8	the	_	DT	DT	_	9	det	_	_
9	dog	_	NN	NN	_	5	dep	_	_
10	...	_	:	:	_	0	erased	_	_
11	because	_	IN	IN	_	16	mark	_	_
12	they	_	PRP	PRP	_	16	nsubj	_	_
13	are	_	VBP	VBP	_	16	cop	_	_
14	also	_	RB	RB	_	16	advmod	_	_
15	pet	_	RB	RB	_	16	advmod	_	_
16	friendly	_	JJ	JJ	_	4	advcl	_	_
17	at	_	IN	IN	_	16	prep	_	_
18	the	_	DT	DT	_	21	det	_	_
19	Ambassador	_	NNP	NNP	_	21	nn	_	_
20	East	_	NNP	NNP	_	21	nn	_	_
21	Hotel	_	NNP	NNP	_	17	pobj	_	_
22	!	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	loved	_	VBD	VBD	_	0	root	_	_
3	the	_	DT	DT	_	4	det	_	_
4	restaurant	_	NN	NN	_	2	dobj	_	_
5	there	_	RB	RB	_	2	advmod	_	_
6	,	_	,	,	_	0	erased	_	_
7	the	_	DT	DT	_	9	det	_	_
8	Pump	_	NNP	NNP	_	9	nn	_	_
9	Room	_	NNP	NNP	_	11	nsubj	_	_
10	was	_	VBD	VBD	_	11	cop	_	_
11	great	_	JJ	JJ	_	2	parataxis	_	_
12	,	_	,	,	_	0	erased	_	_
13	something	_	NN	NN	_	2	dobj	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	please	_	VB	VB	_	13	vmod	_	_
16	even	_	RB	RB	_	18	advmod	_	_
17	the	_	DT	DT	_	18	det	_	_
18	pickiest	_	NN	NN	_	15	dobj	_	_
19	of	_	IN	IN	_	18	prep	_	_
20	our	_	PRP$	PRP$	_	21	poss	_	_
21	eaters	_	NNS	NNS	_	19	pobj	_	_
22	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	were	_	VBD	VBD	_	0	root	_	_
3	there	_	RB	RB	_	2	advmod	_	_
4	on	_	IN	IN	_	2	prep	_	_
5	a	_	DT	DT	_	7	det	_	_
6	family	_	NN	NN	_	7	nn	_	_
7	get-away	_	NN	NN	_	4	pobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	but	_	CC	CC	_	2	cc	_	_
10	asked	_	VBD	VBD	_	2	conj	_	_
11	to	_	TO	TO	_	12	aux	_	_
12	see	_	VB	VB	_	10	xcomp	_	_
13	a	_	DT	DT	_	14	det	_	_
14	larger	_	NN	NN	_	12	dobj	_	_
15	``	_	``	``	_	0	erased	_	_
16	suite	_	FW	FW	_	14	dep	_	_
17	''	_	''	''	_	0	erased	_	_
18	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	suites	_	NNS	NNS	_	4	nsubj	_	_
3	were	_	VBD	VBD	_	4	cop	_	_
4	gorgeous	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	ca	_	MD	MD	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	wait	_	VB	VB	_	0	root	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	tell	_	VB	VB	_	4	xcomp	_	_
7	our	_	PRP$	PRP$	_	8	poss	_	_
8	friends	_	NNS	NNS	_	6	dobj	_	_
9	about	_	IN	IN	_	6	prep	_	_
10	this	_	DT	DT	_	11	det	_	_
11	place	_	NN	NN	_	9	pobj	_	_
12	!	_	.	.	_	0	erased	_	_

1	Our	_	PRP$	PRP$	_	4	poss	_	_
2	next	_	JJ	JJ	_	4	amod	_	_
3	business	_	NN	NN	_	4	nn	_	_
4	trip	_	NN	NN	_	10	ccomp	_	_
5	to	_	TO	TO	_	4	prep	_	_
6	Chicago	_	NNP	NNP	_	5	pobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	we	_	PRP	PRP	_	10	nsubj	_	_
9	are	_	VBP	VBP	_	10	aux	_	_
10	booking	_	VBG	VBG	_	0	root	_	_
11	at	_	IN	IN	_	10	prep	_	_
12	this	_	DT	DT	_	13	det	_	_
13	hotel	_	NN	NN	_	11	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	2	nsubj	_	_
2	have	_	VBP	VBP	_	0	root	_	_
3	the	_	DT	DT	_	6	det	_	_
4	perfect	_	JJ	JJ	_	6	amod	_	_
5	conference	_	NN	NN	_	6	nn	_	_
6	rooms	_	NNS	NNS	_	2	dobj	_	_
7	and	_	CC	CC	_	2	cc	_	_
8	we	_	PRP	PRP	_	9	nsubj	_	_
9	LOVE	_	VBP	VBP	_	2	conj	_	_
10	the	_	DT	DT	_	11	det	_	_
11	service	_	NN	NN	_	9	dobj	_	_
12	!	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	4	nsubj	_	_
2	are	_	VBP	VBP	_	4	aux	_	_
3	definitely	_	RB	RB	_	4	advmod	_	_
4	coming	_	VBG	VBG	_	0	root	_	_
5	back	_	RB	RB	_	4	advmod	_	_
6	!	_	.	.	_	0	erased	_	_

