1	Having	_	VBG	VBG	_	7	csubj	_	_
3	are	_	VBP	VBP	_	4	cop	_	_
4	unbeatable	_	JJ	JJ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	and	_	CC	CC	_	4	cc	_	_
7	set	_	VBD	VBD	_	4	conj	_	_
8	by	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	11	det	_	_
10	car	_	NN	NN	_	11	nn	_	_
11	owner	_	NN	NN	_	8	pobj	_	_
12	;	_	:	:	_	0	erased	_	_
13	in	_	IN	IN	_	21	prep	_	_
14	most	_	JJS	JJS	_	15	amod	_	_
15	cases	_	NNS	NNS	_	13	pobj	_	_
16	,	_	,	,	_	0	erased	_	_
17	RelayRides	_	NNP	NNP	_	21	nsubj	_	_
18	is	_	VBZ	VBZ	_	21	cop	_	_
19	much	_	RB	RB	_	21	advmod	_	_
20	more	_	RBR	RBR	_	21	advmod	_	_
21	affordable	_	JJ	JJ	_	4	parataxis	_	_
22	than	_	IN	IN	_	21	prep	_	_
23	other	_	JJ	JJ	_	25	amod	_	_
24	car-sharing	_	JJ	JJ	_	25	amod	_	_
25	programs	_	NNS	NNS	_	22	pobj	_	_
26	out	_	IN	IN	_	21	prep	_	_
27	there	_	RB	RB	_	26	pobj	_	_
28	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	5	nsubj	_	_
2	are	_	VBP	VBP	_	5	cop	_	_
3	also	_	RB	RB	_	5	advmod	_	_
4	really	_	RB	RB	_	5	advmod	_	_
5	great	_	JJ	JJ	_	0	root	_	_
6	in	_	IN	IN	_	5	prep	_	_
7	terms	_	NNS	NNS	_	6	pobj	_	_
8	of	_	IN	IN	_	7	prep	_	_
9	communication	_	NN	NN	_	8	pobj	_	_
10	-	_	:	:	_	0	erased	_	_
11	with	_	IN	IN	_	6	prep	_	_
12	text	_	NN	NN	_	15	nn	_	_
13	and	_	CC	CC	_	12	cc	_	_
14	email	_	NN	NN	_	12	conj	_	_
15	reminders	_	NNS	NNS	_	11	pobj	_	_
16	of	_	IN	IN	_	15	prep	_	_
17	when	_	WRB	WRB	_	20	advmod	_	_
18	your	_	PRP$	PRP$	_	19	poss	_	_
19	reservation	_	NN	NN	_	20	nsubj	_	_
20	starts	_	VBZ	VBZ	_	16	pcomp	_	_
21	and	_	CC	CC	_	20	cc	_	_
22	ends	_	VBZ	VBZ	_	20	conj	_	_
23	.	_	.	.	_	0	erased	_	_

1	And	_	CC	CC	_	3	cc	_	_
2	they	_	PRP	PRP	_	3	nsubj	_	_
3	put	_	VBD	VBD	_	0	root	_	_
4	you	_	PRP	PRP	_	3	dobj	_	_
5	in	_	IN	IN	_	3	prep	_	_
6	direct	_	JJ	JJ	_	7	amod	_	_
7	touch	_	NN	NN	_	5	pobj	_	_
8	with	_	IN	IN	_	3	prep	_	_
9	the	_	DT	DT	_	11	det	_	_
10	car	_	NN	NN	_	11	nn	_	_
11	owner	_	NN	NN	_	8	pobj	_	_
12	so	_	IN	IN	_	15	mark	_	_
13	you	_	PRP	PRP	_	15	nsubj	_	_
14	can	_	MD	MD	_	15	aux	_	_
15	communicate	_	VB	VB	_	3	advcl	_	_
16	as	_	RB	RB	_	17	advmod	_	_
17	needed	_	VBN	VBN	_	15	acomp	_	_
18	.	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	2	nsubj	_	_
2	is	_	VBZ	VBZ	_	0	root	_	_
3	really	_	RB	RB	_	2	advmod	_	_
4	like	_	IN	IN	_	2	prep	_	_
5	a	_	DT	DT	_	7	det	_	_
6	car-sharing	_	JJ	JJ	_	7	amod	_	_
7	community	_	NN	NN	_	4	pobj	_	_
8	and	_	CC	CC	_	2	cc	_	_
9	you	_	PRP	PRP	_	10	nsubj	_	_
10	get	_	VBP	VBP	_	2	conj	_	_
11	to	_	TO	TO	_	12	aux	_	_
12	meet	_	VB	VB	_	10	xcomp	_	_
13	people	_	NNS	NNS	_	12	dobj	_	_
14	who	_	WP	WP	_	15	nsubj	_	_
15	live	_	VBP	VBP	_	13	rcmod	_	_
16	near	_	IN	IN	_	15	prep	_	_
17	you	_	PRP	PRP	_	16	pobj	_	_
18	and	_	CC	CC	_	10	cc	_	_
19	each	_	DT	DT	_	22	nsubj	_	_
20	of	_	IN	IN	_	19	prep	_	_
21	you	_	PRP	PRP	_	20	pobj	_	_
22	benefits	_	VBZ	VBZ	_	10	conj	_	_
23	from	_	IN	IN	_	22	prep	_	_
24	the	_	DT	DT	_	25	det	_	_
25	service	_	NN	NN	_	23	pobj	_	_
26	!	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	5	nsubj	_	_
2	is	_	VBZ	VBZ	_	5	cop	_	_
3	also	_	RB	RB	_	5	advmod	_	_
4	really	_	RB	RB	_	5	advmod	_	_
5	easy	_	JJ	JJ	_	0	root	_	_
6	to	_	TO	TO	_	7	aux	_	_
7	enroll	_	VB	VB	_	5	xcomp	_	_
8	.	_	.	.	_	0	erased	_	_

1	Highly	_	NNP	NNP	_	2	nsubj	_	_
2	recommended	_	VBD	VBD	_	0	root	_	_
3	for	_	IN	IN	_	2	prep	_	_
4	those	_	DT	DT	_	3	pobj	_	_
5	of	_	IN	IN	_	4	prep	_	_
6	us	_	PRP	PRP	_	5	pobj	_	_
7	who	_	WP	WP	_	10	nsubj	_	_
8	do	_	VBP	VBP	_	10	aux	_	_
9	n't	_	RB	RB	_	10	neg	_	_
10	want	_	VB	VB	_	4	rcmod	_	_
11	to	_	TO	TO	_	12	aux	_	_
12	commit	_	VB	VB	_	10	xcomp	_	_
13	to	_	TO	TO	_	12	prep	_	_
14	car	_	NN	NN	_	15	nn	_	_
15	ownership	_	NN	NN	_	13	pobj	_	_
16	in	_	IN	IN	_	15	prep	_	_
17	the	_	DT	DT	_	18	det	_	_
18	city	_	NN	NN	_	16	pobj	_	_
19	,	_	,	,	_	0	erased	_	_
20	but	_	CC	CC	_	2	cc	_	_
21	need	_	VBP	VBP	_	2	conj	_	_
22	to	_	TO	TO	_	23	aux	_	_
23	drive	_	VB	VB	_	21	xcomp	_	_
24	somewhere	_	RB	RB	_	23	advmod	_	_
25	every	_	DT	DT	_	26	dep	_	_
26	now	_	RB	RB	_	23	advmod	_	_
27	and	_	CC	CC	_	26	cc	_	_
28	again	_	RB	RB	_	26	conj	_	_
29	.	_	.	.	_	0	erased	_	_

