1	OK	_	UH	UH	_	8	discourse	_	_
19	location	_	NN	NN	_	16	pobj	_	_
20	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
21	.	_	.	.	_	0	erased	_	_

1	Fifth	_	JJ	JJ	_	6	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	I	_	PRP	PRP	_	6	nsubj	_	_
4	did	_	VBD	VBD	_	6	aux	_	_
5	n't	_	RB	RB	_	6	neg	_	_
6	have	_	VB	VB	_	0	root	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	interact	_	VB	VB	_	6	xcomp	_	_
9	with	_	IN	IN	_	8	prep	_	_
10	anyone	_	NN	NN	_	9	pobj	_	_
11	at	_	IN	IN	_	10	prep	_	_
12	breakfast	_	NN	NN	_	11	pobj	_	_
13	--	_	:	:	_	0	erased	_	_
14	I	_	PRP	PRP	_	16	nsubj	_	_
15	could	_	MD	MD	_	16	aux	_	_
16	fix	_	VB	VB	_	10	dep	_	_
17	my	_	PRP$	PRP$	_	19	poss	_	_
18	own	_	JJ	JJ	_	19	amod	_	_
19	eggs	_	NNS	NNS	_	16	dobj	_	_
20	,	_	,	,	_	0	erased	_	_
21	toast	_	NN	NN	_	16	dep	_	_
22	,	_	,	,	_	0	erased	_	_
23	etc.	_	FW	FW	_	21	appos	_	_
24	.	_	.	.	_	0	erased	_	_
25	I	_	PRP	PRP	_	27	nsubj	_	_
26	'll	_	MD	MD	_	27	aux	_	_
27	admit	_	VB	VB	_	6	dep	_	_
28	that	_	IN	IN	_	35	mark	_	_
29	the	_	DT	DT	_	30	det	_	_
30	Folgers	_	NNP	NNP	_	35	nsubj	_	_
31	was	_	VBD	VBD	_	35	cop	_	_
32	not	_	RB	RB	_	35	neg	_	_
33	the	_	DT	DT	_	35	det	_	_
34	best	_	JJS	JJS	_	35	amod	_	_
35	part	_	NN	NN	_	27	ccomp	_	_
36	of	_	IN	IN	_	35	prep	_	_
37	waking	_	VBG	VBG	_	36	pcomp	_	_
38	up	_	RP	RP	_	37	prt	_	_
39	,	_	,	,	_	0	erased	_	_
40	and	_	CC	CC	_	6	cc	_	_
41	they	_	PRP	PRP	_	44	nsubj	_	_
42	could	_	MD	MD	_	44	aux	_	_
43	have	_	VB	VB	_	44	aux	_	_
44	had	_	VBN	VBN	_	6	conj	_	_
45	milk	_	NN	NN	_	44	dobj	_	_
46	and	_	CC	CC	_	45	cc	_	_
47	half	_	NN	NN	_	45	conj	_	_
48	and	_	CC	CC	_	45	cc	_	_
49	half	_	NN	NN	_	45	conj	_	_
50	in	_	IN	IN	_	45	prep	_	_
51	the	_	DT	DT	_	52	det	_	_
52	fridge	_	NN	NN	_	50	pobj	_	_
53	instead	_	RB	RB	_	54	advmod	_	_
54	of	_	IN	IN	_	52	prep	_	_
55	just	_	RB	RB	_	56	advmod	_	_
56	milk	_	NN	NN	_	54	pobj	_	_
57	.	_	.	.	_	0	erased	_	_

1	Sixth	_	NNP	NNP	_	41	nsubj	_	_
2	,	_	,	,	_	0	erased	_	_
3	wait	_	VBP	VBP	_	41	ccomp	_	_
4	,	_	,	,	_	0	erased	_	_
5	why	_	WRB	WRB	_	9	advmod	_	_
6	would	_	MD	MD	_	9	aux	_	_
7	you	_	PRP	PRP	_	9	nsubj	_	_
8	possibly	_	RB	RB	_	9	advmod	_	_
9	want	_	VB	VB	_	3	ccomp	_	_
10	a	_	DT	DT	_	12	det	_	_
11	B&B	_	NNP	NNP	_	12	nn	_	_
12	breakfast	_	NN	NN	_	9	dobj	_	_
13	when	_	WRB	WRB	_	17	advmod	_	_
14	Clark	_	NNP	NNP	_	15	nn	_	_
15	Ave.	_	NNP	NNP	_	17	nsubj	_	_
16	is	_	VBZ	VBZ	_	17	cop	_	_
17	full	_	JJ	JJ	_	12	dep	_	_
18	of	_	IN	IN	_	17	prep	_	_
19	great	_	JJ	JJ	_	20	amod	_	_
20	places	_	NNS	NNS	_	18	pobj	_	_
21	and	_	CC	CC	_	17	cc	_	_
22	,	_	,	,	_	0	erased	_	_
23	sorry	_	RB	RB	_	17	advmod	_	_
24	,	_	,	,	_	0	erased	_	_
25	if	_	IN	IN	_	27	mark	_	_
26	you	_	PRP	PRP	_	27	nsubj	_	_
27	are	_	VBP	VBP	_	17	dep	_	_
28	in	_	IN	IN	_	27	dep	_	_
29	Chicago	_	NNP	NNP	_	28	pobj	_	_
30	and	_	CC	CC	_	28	cc	_	_
31	staying	_	VBG	VBG	_	28	conj	_	_
32	at	_	IN	IN	_	31	prep	_	_
33	an	_	DT	DT	_	35	det	_	_
34	upscale	_	JJ	JJ	_	35	amod	_	_
35	B&B	_	NN	NN	_	32	pobj	_	_
36	,	_	,	,	_	0	erased	_	_
37	you	_	PRP	PRP	_	41	nsubj	_	_
38	really	_	RB	RB	_	41	advmod	_	_
39	do	_	VBP	VBP	_	41	aux	_	_
40	n't	_	RB	RB	_	41	neg	_	_
41	have	_	VB	VB	_	0	root	_	_
42	to	_	TO	TO	_	43	aux	_	_
43	eat	_	VB	VB	_	41	xcomp	_	_
44	Fruit	_	NNP	NNP	_	45	nn	_	_
45	Loops	_	NNP	NNP	_	43	dobj	_	_
46	.	_	.	.	_	0	erased	_	_

1	However	_	RB	RB	_	3	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	spring	_	VB	VB	_	0	root	_	_
4	for	_	IN	IN	_	3	prep	_	_
5	some	_	DT	DT	_	7	det	_	_
6	good	_	JJ	JJ	_	7	amod	_	_
7	coffee	_	NN	NN	_	4	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	Even	_	RB	RB	_	4	advmod	_	_
2	Mrs.	_	NNP	NNP	_	3	nn	_	_
3	Olson	_	NNP	NNP	_	4	nsubj	_	_
4	quit	_	VBD	VBD	_	0	root	_	_
5	drinking	_	VBG	VBG	_	4	xcomp	_	_
6	Folgers	_	NNP	NNP	_	5	dobj	_	_
7	...	_	:	:	_	0	erased	_	_
8	she	_	PRP	PRP	_	9	nsubj	_	_
9	changed	_	VBD	VBD	_	4	parataxis	_	_
10	to	_	TO	TO	_	9	prep	_	_
11	Stumptown	_	NNP	NNP	_	10	pobj	_	_
12	from	_	IN	IN	_	9	prep	_	_
13	Portland	_	NNP	NNP	_	12	pobj	_	_
14	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
15	full	_	JJ	JJ	_	16	amod	_	_
16	disclosure	_	NN	NN	_	19	nsubj	_	_
17	,	_	,	,	_	0	erased	_	_
18	I	_	PRP	PRP	_	19	nsubj	_	_
19	'm	_	VBP	VBP	_	9	parataxis	_	_
20	from	_	IN	IN	_	19	prep	_	_
21	Stumptown	_	NNP	NNP	_	20	pobj	_	_
22	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
23	.	_	.	.	_	0	erased	_	_

1	House	_	NNP	NNP	_	2	nn	_	_
2	5863	_	NNP	NNP	_	6	nsubj	_	_
3	is	_	VBZ	VBZ	_	6	cop	_	_
4	a	_	DT	DT	_	6	det	_	_
5	great	_	JJ	JJ	_	6	amod	_	_
6	place	_	NN	NN	_	0	root	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	stay	_	VB	VB	_	6	vmod	_	_
9	.	_	.	.	_	0	erased	_	_

1	Go	_	NNP	NNP	_	14	nsubj	_	_
2	for	_	IN	IN	_	1	prep	_	_
3	room	_	NN	NN	_	2	pobj	_	_
4	#	_	#	#	_	5	dep	_	_
5	4	_	CD	CD	_	3	dep	_	_
6	--	_	:	:	_	0	erased	_	_
7	the	_	DT	DT	_	9	det	_	_
8	direct	_	JJ	JJ	_	9	amod	_	_
9	access	_	NN	NN	_	3	dep	_	_
10	to	_	TO	TO	_	9	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	deck	_	NN	NN	_	10	pobj	_	_
13	is	_	VBZ	VBZ	_	14	cop	_	_
14	wonderful	_	JJ	JJ	_	0	root	_	_
15	.	_	.	.	_	0	erased	_	_

1	One	_	CD	CD	_	0	root	_	_
2	caveat	_	RB	RB	_	1	advmod	_	_
3	.	_	.	.	_	0	erased	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	have	_	VBP	VBP	_	0	root	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	climb	_	VB	VB	_	2	xcomp	_	_
5	about	_	RB	RB	_	6	quantmod	_	_
6	15	_	CD	CD	_	7	num	_	_
7	steps	_	NNS	NNS	_	4	dobj	_	_
8	or	_	CC	CC	_	7	cc	_	_
9	so	_	RB	RB	_	7	advmod	_	_
10	--	_	:	:	_	0	erased	_	_
11	the	_	DT	DT	_	12	det	_	_
12	rooms	_	NNS	NNS	_	13	nsubj	_	_
13	are	_	VBP	VBP	_	2	parataxis	_	_
14	on	_	IN	IN	_	13	prep	_	_
15	the	_	DT	DT	_	17	det	_	_
16	second	_	JJ	JJ	_	17	amod	_	_
17	floor	_	NN	NN	_	14	pobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	So	_	IN	IN	_	27	dep	_	_
2	,	_	,	,	_	0	erased	_	_
3	if	_	IN	IN	_	5	mark	_	_
4	you	_	PRP	PRP	_	5	nsubj	_	_
5	have	_	VBP	VBP	_	27	advcl	_	_
6	a	_	DT	DT	_	7	det	_	_
7	ton	_	NN	NN	_	5	dobj	_	_
8	of	_	IN	IN	_	7	prep	_	_
9	stuff	_	NN	NN	_	8	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	or	_	CC	CC	_	5	cc	_	_
12	if	_	IN	IN	_	18	mark	_	_
13	you	_	PRP	PRP	_	18	nsubj	_	_
14	are	_	VBP	VBP	_	18	aux	_	_
15	n't	_	RB	RB	_	18	neg	_	_
16	up	_	RB	RB	_	18	advmod	_	_
17	to	_	TO	TO	_	16	prep	_	_
18	carrying	_	VBG	VBG	_	5	conj	_	_
19	your	_	PRP$	PRP$	_	20	poss	_	_
20	bags	_	NNS	NNS	_	18	dobj	_	_
21	upstairs	_	RB	RB	_	20	advmod	_	_
22	,	_	,	,	_	0	erased	_	_
23	this	_	DT	DT	_	27	nsubj	_	_
24	is	_	VBZ	VBZ	_	27	cop	_	_
25	not	_	RB	RB	_	27	neg	_	_
26	the	_	DT	DT	_	27	det	_	_
27	place	_	NN	NN	_	0	root	_	_
28	for	_	IN	IN	_	27	prep	_	_
29	you	_	PRP	PRP	_	28	pobj	_	_
30	.	_	.	.	_	0	erased	_	_

