1	Ok	_	UH	UH	_	4	discourse	_	_
1	No	_	DT	DT	_	2	neg	_	_
2	restaurant	_	NN	NN	_	8	nsubj	_	_
3	in	_	IN	IN	_	2	prep	_	_
4	hotel	_	NN	NN	_	3	pobj	_	_
5	per	_	FW	FW	_	6	nn	_	_
6	se	_	FW	FW	_	8	advmod	_	_
7	,	_	,	,	_	0	erased	_	_
8	kinda	_	VBD	VBD	_	0	root	_	_
9	a	_	DT	DT	_	12	det	_	_
10	bar	_	NN	NN	_	12	nn	_	_
11	style	_	NN	NN	_	12	nn	_	_
12	place	_	NN	NN	_	8	dep	_	_
13	,	_	,	,	_	0	erased	_	_
14	but	_	CC	CC	_	8	cc	_	_
15	wife	_	NN	NN	_	16	nsubj	_	_
16	is	_	VBZ	VBZ	_	8	conj	_	_
17	from	_	IN	IN	_	16	prep	_	_
18	Chicago	_	NNP	NNP	_	17	pobj	_	_
19	so	_	IN	IN	_	21	mark	_	_
20	we	_	PRP	PRP	_	21	nsubj	_	_
21	drove	_	VBD	VBD	_	16	advcl	_	_
22	to	_	TO	TO	_	21	prep	_	_
23	Andersonville	_	NNP	NNP	_	22	pobj	_	_
24	and	_	CC	CC	_	21	cc	_	_
25	had	_	VBD	VBD	_	21	conj	_	_
26	great	_	JJ	JJ	_	27	amod	_	_
27	breakfast	_	NN	NN	_	25	dobj	_	_
28	up	_	RB	RB	_	29	advmod	_	_
29	there	_	RB	RB	_	25	advmod	_	_
30	.	_	.	.	_	0	erased	_	_
31	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	do	_	VBP	VBP	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	know	_	VB	VB	_	0	root	_	_
5	what	_	WP	WP	_	8	dep	_	_
6	they	_	PRP	PRP	_	8	nsubj	_	_
7	are	_	VBP	VBP	_	8	aux	_	_
8	using	_	VBG	VBG	_	4	dep	_	_
9	for	_	IN	IN	_	8	prep	_	_
10	their	_	PRP$	PRP$	_	11	poss	_	_
11	beds	_	NNS	NNS	_	9	pobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	but	_	CC	CC	_	8	cc	_	_
14	we	_	PRP	PRP	_	15	nsubj	_	_
15	slept	_	VBD	VBD	_	8	conj	_	_
16	fabulously	_	RB	RB	_	15	advmod	_	_
17	and	_	CC	CC	_	8	cc	_	_
18	that	_	WDT	WDT	_	21	nsubj	_	_
19	is	_	VBZ	VBZ	_	21	cop	_	_
20	so	_	RB	RB	_	21	advmod	_	_
21	important	_	JJ	JJ	_	8	conj	_	_
22	...	_	:	:	_	0	erased	_	_
23	comfy	_	JJ	JJ	_	21	conj	_	_
24	and	_	CC	CC	_	21	cc	_	_
25	supportive	_	JJ	JJ	_	21	conj	_	_
26	...	_	:	:	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	room	_	NN	NN	_	5	nsubj	_	_
3	is	_	VBZ	VBZ	_	5	cop	_	_
4	very	_	RB	RB	_	5	advmod	_	_
5	spacious	_	JJ	JJ	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	the	_	DT	DT	_	8	det	_	_
8	bathroom	_	NN	NN	_	10	nsubj	_	_
9	is	_	VBZ	VBZ	_	10	cop	_	_
10	huge	_	JJ	JJ	_	5	conj	_	_
11	with	_	IN	IN	_	10	prep	_	_
12	his/her	_	NN	NN	_	13	nn	_	_
13	sinks	_	NNS	NNS	_	11	pobj	_	_
14	so	_	RB	RB	_	15	advmod	_	_
15	no	_	RB	RB	_	10	advmod	_	_
16	bumping	_	VBG	VBG	_	15	dep	_	_
17	into	_	IN	IN	_	16	prep	_	_
18	each	_	DT	DT	_	22	det	_	_
19	other	_	JJ	JJ	_	22	amod	_	_
20	a	_	DT	DT	_	22	det	_	_
21	large	_	JJ	JJ	_	22	amod	_	_
22	tub	_	NN	NN	_	17	pobj	_	_
23	and	_	CC	CC	_	22	cc	_	_
24	separate	_	JJ	JJ	_	25	amod	_	_
25	shower	_	NN	NN	_	22	conj	_	_
26	.	_	.	.	_	0	erased	_	_

1	Bathroom	_	NNP	NNP	_	3	nsubj	_	_
2	beautifully	_	RB	RB	_	3	advmod	_	_
3	done	_	VBN	VBN	_	0	root	_	_
4	in	_	IN	IN	_	3	prep	_	_
5	beige/peachy	_	JJ	JJ	_	7	amod	_	_
6	colored	_	JJ	JJ	_	7	amod	_	_
7	marble	_	NN	NN	_	4	pobj	_	_
8	-	_	:	:	_	0	erased	_	_
9	nice	_	JJ	JJ	_	7	amod	_	_
10	!	_	.	.	_	0	erased	_	_

1	That	_	DT	DT	_	2	nsubj	_	_
2	said	_	VBD	VBD	_	5	ccomp	_	_
3	,	_	,	,	_	0	erased	_	_
4	I	_	PRP	PRP	_	5	nsubj	_	_
5	think	_	VBP	VBP	_	0	root	_	_
6	we	_	PRP	PRP	_	7	nsubj	_	_
7	paid	_	VBD	VBD	_	5	ccomp	_	_
8	adt	_	NNP	NNP	_	10	poss	_	_
9	'	_	POS	POS	_	0	erased	_	_
10	l	_	NN	NN	_	7	iobj	_	_
11	$	_	$	$	_	7	dobj	_	_
12	20	_	CD	CD	_	11	num	_	_
13	for	_	IN	IN	_	7	prep	_	_
14	the	_	DT	DT	_	16	det	_	_
15	renovated	_	JJ	JJ	_	16	amod	_	_
16	bathroom	_	NN	NN	_	13	pobj	_	_
17	:--LRB-	_	VBN	VBN	_	16	vmod	_	_
18	Location	_	NNP	NNP	_	19	nn	_	_
19	right	_	NN	NN	_	17	dobj	_	_
20	on	_	IN	IN	_	17	prep	_	_
21	the	_	DT	DT	_	22	det	_	_
22	river	_	NN	NN	_	20	pobj	_	_
23	,	_	,	,	_	0	erased	_	_
24	between	_	IN	IN	_	22	prep	_	_
25	Michigan	_	NNP	NNP	_	24	pobj	_	_
26	and	_	CC	CC	_	25	cc	_	_
27	Wabash	_	NNP	NNP	_	25	conj	_	_
28	so	_	IN	IN	_	32	mark	_	_
29	shopping	_	NN	NN	_	32	nsubj	_	_
30	and	_	CC	CC	_	29	cc	_	_
31	restaurants	_	NNS	NNS	_	29	conj	_	_
32	are	_	VBP	VBP	_	17	advcl	_	_
33	nearby	_	RB	RB	_	32	advmod	_	_
34	...	_	:	:	_	0	erased	_	_
35	easy	_	JJ	JJ	_	17	dep	_	_
36	to	_	TO	TO	_	37	aux	_	_
37	get	_	VB	VB	_	35	xcomp	_	_
38	to	_	TO	TO	_	37	prep	_	_
39	,	_	,	,	_	0	erased	_	_
40	near	_	IN	IN	_	37	prep	_	_
41	Lakeshore	_	NNP	NNP	_	40	pobj	_	_
42	.	_	.	.	_	0	erased	_	_
43	.	_	.	.	_	0	erased	_	_
44	Winning	_	VBG	VBG	_	16	vmod	_	_
45	!	_	.	.	_	0	erased	_	_

