1	Wow	_	UH	UH	_	3	discourse	_	_
4	expecting	_	VBG	VBG	_	26	ccomp	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	have	_	VB	VB	_	4	xcomp	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	pay	_	VB	VB	_	6	xcomp	_	_
9	for	_	IN	IN	_	8	prep	_	_
10	breakfast	_	NN	NN	_	9	pobj	_	_
11	but	_	CC	CC	_	4	cc	_	_
12	by	_	IN	IN	_	4	conj	_	_
13	the	_	DT	DT	_	14	det	_	_
14	time	_	NN	NN	_	12	pobj	_	_
15	we	_	PRP	PRP	_	16	nsubj	_	_
16	sat	_	VBD	VBD	_	14	rcmod	_	_
17	down	_	RP	RP	_	16	prt	_	_
18	and	_	CC	CC	_	16	cc	_	_
19	looked	_	VBD	VBD	_	16	conj	_	_
20	at	_	IN	IN	_	19	prep	_	_
21	the	_	DT	DT	_	22	det	_	_
22	menu	_	NN	NN	_	20	pobj	_	_
23	,	_	,	,	_	0	erased	_	_
24	we	_	PRP	PRP	_	26	nsubj	_	_
25	were	_	VBD	VBD	_	26	cop	_	_
26	interested	_	JJ	JJ	_	0	root	_	_
27	in	_	IN	IN	_	26	prep	_	_
28	more	_	JJR	JJR	_	29	mwe	_	_
29	than	_	IN	IN	_	30	quantmod	_	_
30	toast	_	CD	CD	_	27	pobj	_	_
31	and	_	CC	CC	_	30	cc	_	_
32	fruit	_	NN	NN	_	30	conj	_	_
33	only	_	RB	RB	_	32	advmod	_	_
34	.	_	.	.	_	0	erased	_	_

1	Putting	_	VBG	VBG	_	0	root	_	_
2	that	_	IN	IN	_	5	mark	_	_
3	aside	_	NNP	NNP	_	4	nn	_	_
4	Sable	_	NNP	NNP	_	5	nsubj	_	_
5	offers	_	VBZ	VBZ	_	1	ccomp	_	_
6	an	_	DT	DT	_	8	det	_	_
7	AMAZING	_	NNP	NNP	_	8	nn	_	_
8	brunch	_	NN	NN	_	5	dobj	_	_
9	!	_	.	.	_	0	erased	_	_

1	Top	_	JJ	JJ	_	3	amod	_	_
2	notch	_	JJ	JJ	_	3	amod	_	_
3	service	_	NN	NN	_	14	nsubj	_	_
4	,	_	,	,	_	0	erased	_	_
5	great	_	JJ	JJ	_	6	amod	_	_
6	staff	_	NN	NN	_	3	conj	_	_
7	and	_	CC	CC	_	3	cc	_	_
8	the	_	DT	DT	_	10	det	_	_
9	best	_	JJS	JJS	_	10	amod	_	_
10	breakfast	_	NN	NN	_	3	conj	_	_
11	we	_	PRP	PRP	_	14	nsubj	_	_
12	've	_	VBP	VBP	_	14	aux	_	_
13	ever	_	RB	RB	_	14	advmod	_	_
14	had	_	VBN	VBN	_	0	root	_	_
15	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	6	nsubj	_	_
2	will	_	MD	MD	_	6	aux	_	_
3	definitely	_	RB	RB	_	6	advmod	_	_
4	,	_	,	,	_	0	erased	_	_
5	definitely	_	RB	RB	_	3	advmod	_	_
6	be	_	VB	VB	_	0	root	_	_
7	back	_	RB	RB	_	6	advmod	_	_
8	.	_	.	.	_	0	erased	_	_

