1	My	_	PRP$	PRP$	_	2	poss	_	_

1	Hilary	_	NNP	NNP	_	2	nsubj	_	_
2	knows	_	VBZ	VBZ	_	0	root	_	_
3	a	_	DT	DT	_	7	det	_	_
4	lot	_	NN	NN	_	7	nn	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	shares	_	NNS	NNS	_	4	conj	_	_
7	history	_	NN	NN	_	2	dobj	_	_
8	in	_	IN	IN	_	7	prep	_	_
9	a	_	DT	DT	_	10	det	_	_
10	fun	_	NN	NN	_	8	pobj	_	_
11	,	_	,	,	_	0	erased	_	_
12	entertaining	_	JJ	JJ	_	13	amod	_	_
13	fashion	_	NN	NN	_	10	appos	_	_
14	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	time	_	NN	NN	_	3	nsubj	_	_
3	went	_	VBD	VBD	_	0	root	_	_
4	by	_	IN	IN	_	3	prep	_	_
5	quickly	_	RB	RB	_	4	pcomp	_	_
6	and	_	CC	CC	_	3	cc	_	_
7	we	_	PRP	PRP	_	8	nsubj	_	_
8	felt	_	VBD	VBD	_	3	conj	_	_
9	like	_	IN	IN	_	11	mark	_	_
10	we	_	PRP	PRP	_	11	nsubj	_	_
11	made	_	VBD	VBD	_	8	advcl	_	_
12	a	_	DT	DT	_	14	det	_	_
13	new	_	JJ	JJ	_	14	amod	_	_
14	friend	_	NN	NN	_	11	dobj	_	_
15	when	_	WRB	WRB	_	18	advmod	_	_
16	we	_	PRP	PRP	_	18	nsubjpass	_	_
17	were	_	VBD	VBD	_	18	auxpass	_	_
18	done	_	VBN	VBN	_	11	advcl	_	_
19	.	_	.	.	_	0	erased	_	_

