1	There	_	EX	EX	_	2	expl	_	_
1	The	_	DT	DT	_	2	det	_	_
2	room	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	smaller	_	JJR	JJR	_	0	root	_	_
5	than	_	IN	IN	_	7	mark	_	_
6	I	_	PRP	PRP	_	7	nsubj	_	_
7	anticipated	_	VBD	VBD	_	4	advcl	_	_
8	but	_	CC	CC	_	7	cc	_	_
9	that	_	WDT	WDT	_	12	nsubj	_	_
10	did	_	VBD	VBD	_	12	aux	_	_
11	n't	_	RB	RB	_	12	neg	_	_
12	mean	_	VB	VB	_	7	conj	_	_
13	I	_	PRP	PRP	_	16	nsubj	_	_
14	did	_	VBD	VBD	_	16	aux	_	_
15	n't	_	RB	RB	_	16	neg	_	_
16	LOVE	_	VB	VB	_	12	ccomp	_	_
17	it	_	PRP	PRP	_	16	dobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	adored	_	VBD	VBD	_	0	root	_	_
3	it	_	PRP	PRP	_	2	dobj	_	_
4	!	_	.	.	_	0	erased	_	_

1	A	_	DT	DT	_	2	det	_	_
2	bit	_	RB	RB	_	3	npadvmod	_	_
3	pricier	_	JJR	JJR	_	18	amod	_	_
4	than	_	IN	IN	_	8	mark	_	_
5	I	_	PRP	PRP	_	8	nsubj	_	_
6	would	_	MD	MD	_	8	aux	_	_
7	have	_	VB	VB	_	8	aux	_	_
8	preferred	_	VBN	VBN	_	3	ccomp	_	_
9	but	_	CC	CC	_	14	cc	_	_
10	it	_	PRP	PRP	_	14	nsubj	_	_
11	was	_	VBD	VBD	_	14	cop	_	_
12	so	_	RB	RB	_	14	advmod	_	_
13	wonderfully	_	RB	RB	_	14	advmod	_	_
14	located	_	JJ	JJ	_	8	ccomp	_	_
15	in	_	IN	IN	_	14	prep	_	_
16	downtown	_	NN	NN	_	15	pobj	_	_
17	Chicago	_	NNP	NNP	_	18	nn	_	_
18	I	_	NNP	NNP	_	22	nsubj	_	_
19	just	_	RB	RB	_	22	advmod	_	_
20	could	_	MD	MD	_	22	aux	_	_
21	n't	_	RB	RB	_	22	neg	_	_
22	complain	_	VB	VB	_	0	root	_	_
23	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	highly	_	RB	RB	_	3	advmod	_	_
3	recommend	_	VBP	VBP	_	0	root	_	_
4	!	_	.	.	_	0	erased	_	_

