1	Ah	_	UH	UH	_	5	discourse	_	_
15	when	_	WRB	WRB	_	17	advmod	_	_
16	you	_	PRP	PRP	_	17	nsubj	_	_
17	travel	_	VB	VB	_	10	advcl	_	_
18	-	_	:	:	_	0	erased	_	_
19	probably	_	RB	RB	_	20	advmod	_	_
20	great	_	JJ	JJ	_	17	advmod	_	_
21	for	_	IN	IN	_	20	prep	_	_
22	the	_	DT	DT	_	23	det	_	_
23	winter	_	NN	NN	_	21	pobj	_	_
24	.	_	.	.	_	0	erased	_	_

1	My	_	PRP$	PRP$	_	3	poss	_	_
2	hotel	_	NN	NN	_	3	nn	_	_
3	preferences	_	NNS	NNS	_	4	nsubj	_	_
4	lean	_	VBP	VBP	_	0	root	_	_
5	towards	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	8	det	_	_
7	modern	_	JJ	JJ	_	8	amod	_	_
8	Hyatt	_	NN	NN	_	5	pobj	_	_
9	-	_	:	:	_	0	erased	_	_
10	style	_	NN	NN	_	11	nn	_	_
11	places	_	NNS	NNS	_	8	dep	_	_
12	for	_	IN	IN	_	11	prep	_	_
13	business	_	NN	NN	_	14	nn	_	_
14	trips	_	NNS	NNS	_	12	pobj	_	_
15	,	_	,	,	_	0	erased	_	_
16	but	_	CC	CC	_	4	cc	_	_
17	vacations	_	NNS	NNS	_	18	nsubj	_	_
18	feel	_	VBP	VBP	_	4	conj	_	_
19	more	_	RBR	RBR	_	18	advmod	_	_
20	like	_	IN	IN	_	18	prep	_	_
21	vacations	_	NNS	NNS	_	20	pobj	_	_
22	when	_	WRB	WRB	_	24	advmod	_	_
23	you	_	PRP	PRP	_	24	nsubj	_	_
24	stay	_	VBP	VBP	_	18	advcl	_	_
25	at	_	IN	IN	_	24	prep	_	_
26	a	_	DT	DT	_	27	det	_	_
27	place	_	NN	NN	_	25	pobj	_	_
28	like	_	IN	IN	_	27	prep	_	_
29	this	_	DT	DT	_	28	pobj	_	_
30	.	_	.	.	_	0	erased	_	_

1	Pros	_	NNS	NNS	_	0	root	_	_
2	:	_	:	:	_	0	erased	_	_
3	*	_	SYM	SYM	_	13	dep	_	_
4	surprisingly	_	RB	RB	_	5	advmod	_	_
5	quiet	_	JJ	JJ	_	13	amod	_	_
6	*	_	JJ	JJ	_	13	amod	_	_
7	elegant	_	JJ	JJ	_	13	amod	_	_
8	without	_	IN	IN	_	7	prep	_	_
9	being	_	JJ	JJ	_	10	amod	_	_
10	pretentious	_	NNS	NNS	_	8	pobj	_	_
11	*	_	JJ	JJ	_	13	amod	_	_
12	comfortable	_	JJ	JJ	_	13	amod	_	_
13	rooms	_	NNS	NNS	_	23	dep	_	_
14	with	_	IN	IN	_	13	prep	_	_
15	nice	_	JJ	JJ	_	16	amod	_	_
16	amenities	_	NNS	NNS	_	14	pobj	_	_
17	*	_	SYM	SYM	_	19	dep	_	_
18	old	_	JJ	JJ	_	19	amod	_	_
19	building	_	NN	NN	_	23	dep	_	_
20	that	_	DT	DT	_	23	nsubj	_	_
21	does	_	VBZ	VBZ	_	23	aux	_	_
22	n't	_	RB	RB	_	23	neg	_	_
23	feel	_	VB	VB	_	1	dep	_	_
24	like	_	IN	IN	_	23	prep	_	_
25	one	_	CD	CD	_	24	pobj	_	_
26	*	_	SYM	SYM	_	25	dep	_	_
27	if	_	IN	IN	_	34	mark	_	_
28	you	_	PRP	PRP	_	34	nsubj	_	_
29	or	_	CC	CC	_	28	cc	_	_
30	your	_	PRP$	PRP$	_	33	poss	_	_
31	significant	_	JJ	JJ	_	33	amod	_	_
32	traveling	_	VBG	VBG	_	33	amod	_	_
33	buddy	_	NN	NN	_	28	conj	_	_
34	live	_	VBP	VBP	_	25	rcmod	_	_
35	to	_	TO	TO	_	36	aux	_	_
36	shop	_	VB	VB	_	34	xcomp	_	_
37	,	_	,	,	_	0	erased	_	_
38	then	_	RB	RB	_	42	advmod	_	_
39	you	_	PRP	PRP	_	42	nsubj	_	_
40	ca	_	MD	MD	_	42	aux	_	_
41	n't	_	RB	RB	_	42	neg	_	_
42	beat	_	VB	VB	_	23	parataxis	_	_
43	this	_	DT	DT	_	44	det	_	_
44	location	_	NN	NN	_	42	dobj	_	_
45	and	_	CC	CC	_	44	cc	_	_
46	hotel	_	NN	NN	_	44	conj	_	_
47	-	_	:	:	_	0	erased	_	_
48	I	_	PRP	PRP	_	51	nsubj	_	_
49	ca	_	MD	MD	_	51	aux	_	_
50	n't	_	RB	RB	_	51	neg	_	_
51	think	_	VB	VB	_	23	parataxis	_	_
52	of	_	IN	IN	_	51	prep	_	_
53	a	_	DT	DT	_	55	det	_	_
54	better	_	JJR	JJR	_	55	amod	_	_
55	place	_	NN	NN	_	52	pobj	_	_
56	in	_	IN	IN	_	55	prep	_	_
57	Chicago	_	NNP	NNP	_	56	pobj	_	_
58	to	_	TO	TO	_	59	aux	_	_
59	drop	_	VB	VB	_	51	xcomp	_	_
60	after	_	IN	IN	_	63	mark	_	_
61	you	_	PRP	PRP	_	63	nsubj	_	_
62	've	_	VBP	VBP	_	63	aux	_	_
63	shopped	_	VBN	VBN	_	59	advcl	_	_
64	.	_	.	.	_	0	erased	_	_

1	Cons	_	NNS	NNS	_	0	root	_	_
2	:	_	:	:	_	0	erased	_	_
3	*	_	SYM	SYM	_	8	dep	_	_
4	my	_	PRP$	PRP$	_	5	poss	_	_
5	room	_	NN	NN	_	8	nsubj	_	_
6	was	_	VBD	VBD	_	8	cop	_	_
7	really	_	RB	RB	_	8	advmod	_	_
8	small	_	JJ	JJ	_	17	advcl	_	_
9	-	_	:	:	_	0	erased	_	_
10	not	_	RB	RB	_	11	dep	_	_
11	much	_	RB	RB	_	17	advmod	_	_
12	room	_	NN	NN	_	17	nsubj	_	_
13	to	_	TO	TO	_	17	prep	_	_
14	move	_	NN	NN	_	13	pobj	_	_
15	around	_	IN	IN	_	14	prep	_	_
16	*	_	SYM	SYM	_	15	dep	_	_
17	limited	_	VBD	VBD	_	1	dep	_	_
18	views	_	NNS	NNS	_	17	dobj	_	_
19	of	_	IN	IN	_	18	prep	_	_
20	anything	_	NN	NN	_	19	pobj	_	_
21	but	_	CC	CC	_	17	prep	_	_
22	Michigan	_	NNP	NNP	_	23	nn	_	_
23	Ave	_	NNP	NNP	_	21	pobj	_	_
24	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
25	which	_	WDT	WDT	_	30	nsubj	_	_
26	is	_	VBZ	VBZ	_	30	cop	_	_
27	not	_	RB	RB	_	30	neg	_	_
28	really	_	RB	RB	_	30	advmod	_	_
29	that	_	RB	RB	_	30	advmod	_	_
30	bad	_	JJ	JJ	_	17	parataxis	_	_
31	actually	_	RB	RB	_	30	advmod	_	_
32	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_

